OriginalName,UpdatedName,Family,Order,Class,Phylum,Genus,Hemisphere,Latitude,Longitude,DevelopmentalMode,EggSize,PlanktonicTime,absLatitude,speed_annual,temperature_annual,Reference,ott_id
Eubranchus exiguus,Eubranchus exiguus,Eubranchidae,Nudibranchia,Gastropoda,Mollusca,Eubranchus,N,41,-71,P,80,NA,41,0.02300504,11.30280972,Clark 1975,ott896651
Polycera dubia,Palio dubia,Polyceridae,Nudibranchia,Gastropoda,Mollusca,Palio,N,41,-71,P,76.4,NA,41,0.02300504,11.30280972,Clark 1975,ott83558
Herrnaea dendritica,Placida dendritica,,Nudibranchia,Gastropoda,Mollusca,Placida,N,41,-71,P,72,NA,41,0.02300504,11.30280972,Clark 1975,ott322147
Polycerella emertoni,Polycerella emertoni,Polyceridae,Nudibranchia,Gastropoda,Mollusca,Polycerella,N,41,-71,P,57.8,NA,41,0.02300504,11.30280972,Clark 1975,ott83556
Tenellia fuscata,Tenellia fuscata,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Tenellia,N,41,-71,L,183.5,NA,41,0.02300504,11.30280972,Clark 1975,ott2876339
Tergipes tergipes,Tergipes tergipes,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Tergipes,N,41,-71,P,79.4,NA,41,0.02300504,11.30280972,Clark 1975,ott917811
Crepidula nivea,Crepidula nivea,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,33,-118,P,135,NA,33,0.018636925,17.13749123,Coe 1949,ott24075
Odostomia columbiana,Odostomia columbiana,Odostomiidae,Stylommatophora,Gastropoda,Mollusca,Odostomia,N,48,-123,P,74,70,48,0.136874763,9.787690163,Collin & Wise 1997,ott165112
Crepidula lingulata,Crepipatella lingulata,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepipatella,N,34,-119,P,150,38,34,0.042084293,16.19820976,Collin 2000,ott687044
Calyptraea mamillaris,Calyptraea mamillaris,Calyptraeidae,Caenogastropoda,Gastropoda,Mollusca,Calyptraea,N,8,-82,P,200,NA,8,0.070643353,28.31451035,Collin 2003,ott297817
Calyptraea pellucida,Calyptraea pellucida,Calyptraeidae,Caenogastropoda,Gastropoda,Mollusca,Calyptraea,N,25,38,P,120,NA,25,0.079708254,26.93510056,Collin 2003,ott297817
Crepidula naticarum,Crepidula naticarum,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,34,-119,P,164,NA,34,0.042084293,16.19820976,Collin 2003,ott24075
Crepidula incurva,Crepidula incurva,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,8,-80,P,150,17,8,0.196556854,27.00659943,Collin 2003,ott24075
Crepidula costata,Crepidula costata,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,S,-36,174,P,256,NA,36,0.091147681,17.83588982,Collin 2003,ott24075
Crepidula lessoni,Crepidula lessoni,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,8,-80,P,213,17,8,0.196556854,27.00659943,Collin 2003,ott24075
Crepidula onyx,Crepidula onyx,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,33,-118,P,172,23,33,0.018636925,17.13749123,Collin 2003,ott24075
Crepidula marginalis,Crepidula marginalis,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,N,9,-80,P,151,19.5,9,0.705341927,27.9847908,Collin 2003,ott24075
Crucibulum spinosum,Crucibulum spinosum,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crucibulum,N,8,-80,P,NA,NA,8,0.196556854,27.00659943,Collin 2003,ott737388
Crucibulum radiatum,Crucibulum,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crucibulum,N,8,-80,P,169,22,8,0.196556854,27.00659943,Collin 2003,ott737388
Calyptraea extinctorum,Desmaulus extinctorium,Calyptraeidae,Caenogastropoda,Gastropoda,Mollusca,Desmaulus,N,22,114,P,208,NA,22,0.145798372,24.54298973,Collin 2003,ott2929376
Obelia commissuralis,Obelia dichotoma,Campanulariidae,Leptothecata,Hydrozoa,Cnidaria,Obelia,N,41,-70,P,130,NA,41,0.031781489,10.3125906,Costello et al. 1957,NA
Obelia geniculata,Obelia geniculata,Campanulariidae,Leptothecata,Hydrozoa,Cnidaria,Obelia,N,41,-70,P,130,NA,41,0.031781489,10.3125906,Costello et al. 1957,NA
Siphonaira virgulata,Siphonaria virgulata,Siphonariidae,,Gastropoda,Mollusca,Siphonaria,S,-33,151,P,100,NA,33,0.585780803,20.54590988,Creese 1980,ott255561
Siphonaria denticulata,Siphonaria denticulata,Siphonariidae,,Gastropoda,Mollusca,Siphonaria,S,-33,151,P,100,NA,33,0.585780803,20.54590988,Creese 1980,ott255561
Pomatoleios kraussii,Spirobranchus kraussii,Serpulidae,Sabellida,Polychaeta,Annelida,Spirobranchus,N,29,48,P,63,NA,29,0.304862262,24.06670952,Crisp 1977,ott906173
Antionella sarsi,Bylgides sarsi,Polynoidae,Phyllodocida,Polychaeta,Annelida,Bylgides,N,69.162558,-53,P,150,NA,69.162558,0.059601692,1.747200012,Curtis 1977,ott2533
Antionella sarsi,Bylgides sarsi,Polynoidae,Phyllodocida,Polychaeta,Annelida,Bylgides,N,69.162558,-53,P,150,NA,69.162558,0.059601692,1.747200012,Curtis 1977,ott2533
Pectinaria hyperborea,Cistenides hyperborea,Pectinariidae,Terebellida,Polychaeta,Annelida,Cistenides,N,69.162558,-53,P,60,NA,69.162558,0.059601692,1.747200012,Curtis 1977,ott177557
Polydora caulleryi,Dipolydora caulleryi,Spionidae,Spionida,Polychaeta,Annelida,Dipolydora,N,69.162558,-53,P,120,NA,69.162558,0.059601692,1.747200012,Curtis 1977,ott382879
Eteone flava,Eteone flava,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,Eteone,N,69.162558,-53,P,120,NA,69.162558,0.059601692,1.747200012,Curtis 1977,ott890243
Gattyana cirrhosa,Gattyana cirrhosa,Polynoidae,Phyllodocida,Polychaeta,Annelida,Gattyana,N,69.162558,-53,P,105,NA,69.162558,0.059601692,1.747200012,Curtis 1977,ott494971
Ophelia limacina,Ophelia limacina,Opheliidae,,Polychaeta,Annelida,Ophelia,N,69.162558,-53,L,120,NA,69.162558,0.059601692,1.747200012,Curtis 1977,ott336914
Cerithium auricoma,Cerithium guinaicum,Cerithiidae,Caenogastropoda,Gastropoda,Mollusca,Cerithium,N,25,-80,P,90,NA,25,1.304444019,26.89179039,D'Asaro 1970,ott409473
Cerithium litteratum,Cerithium litteratum,Cerithiidae,Caenogastropoda,Gastropoda,Mollusca,Cerithium,N,24,-81,P,100,NA,24,1.209522203,26.99490929,D'Asaro 1970,ott409473
Strombus gallus,Lobatus gallus,Strombidae,Littorinimorpha,Gastropoda,Mollusca,Lobatus,N,25,-79,P,170,NA,25,0.504045503,26.65699959,D'Asaro 1970,ott4158559
Nereis diversicolor,Hediste diversicolor,Nereidae,Phyllodocida,Polychaeta,Annelida,Hediste,N,51,1,L,220,NA,51,0.175313729,11.91889954,Dales 1950,ott943098
Autolytus prolifer,Myrianida prolifera,Syllidae,Phyllodocida,Polychaeta,Annelida,Myrianida,N,51,1,L,100,NA,51,0.175313729,11.91889954,Dales 1951,ott181928
Euzonus mucronatus,Thoracophelia mucronata,Opheliidae,,Polychaeta,Annelida,Thoracophelia,N,32.872955,-117,P,65,NA,32.872955,0.188343445,17.75800896,Dales 1952; Kemp 1988,ott221846
Amphibalanus amphitrite,Amphibalanus amphitrite,Balanidae,Sessilia,Maxillopoda,Arthropoda,Amphibalanus,N,13,80,P,NA,8,13,0.308129863,28.25659943,Daniel 1958,ott1042709
Strombus raninus,Lobatus raninus,Strombidae,Mesogastropoda,Gastropoda,Mollusca,Lobatus,N,24,-76,P,140,NA,24,0.020267068,26.52319908,Davis et al. 1993,ott4158559
Strombus gigas,Lobatus gigas,Strombidae,Mesogastropoda,Gastropoda,Mollusca,Lobatus,N,24,-76,P,225,NA,24,0.020267068,26.52319908,Davis et al. 1993,ott4158559
Strombus costatus,Lobatus costatus,Strombidae,Mesogastropoda,Gastropoda,Mollusca,Lobatus,N,24,-76,P,262,NA,24,0.020267068,26.52319908,Davis et al. 1993,ott4158559
Polydora giardi,Dipolydora giardi,Spionidae,Spionida,Polychaeta,Annelida,Dipolydora,N,38.250853,-123,P,80,25,38.250853,0.165433632,11.53059006,Day & Blake 1979,ott382879
Scolecolepis fuliginosa,Scolelepis fulginosa,,Phyllodocida,Polychaeta,Annelida,Scolelepis,N,50,-4,P,130,34,50,0.167980313,12.54950047,Day 1934,ott58639
Myxicola infundibulum,Myxicola infundibulum,Sabellidae,Sabellida,Polychaeta,Annelida,Myxicola,N,44.777936,-67,L,137,6.5,44.777936,0.226419579,7.355999947,Dean et al 1987,ott1015788
Aplysiopsis zebra,Aplysiopsis formosa,Hermaeidae,Sacoglossa,Gastropoda,Mollusca,Aplysiopsis,N,27,-80,P,71,NA,27,1.475588376,26.87420082,DeFreese & Clark 1983,ott903295
Oxynoe azuropunctata,Oxynoe azuropunctata,Oxynoidae,Sacoglossa,Gastropoda,Mollusca,Oxynoe,N,24,-81,L,113,NA,24,1.209522203,26.99490929,DeFreese & Clark 1983,ott588314
Cadlina luteomarginata,Cadlina luteomarginata,Chromodorididae,Nudibranchia,Gastropoda,Mollusca,Cadlina,N,49,-123,P,95,NA,49,0.220556316,10.03800964,Dehnal & Kong 1979,ott981716
Evechinus chloroticus,Evechinus chloroticus,Echinometridae,Echinoida,Echinoidea,Echinodermata,Evechinus,S,-42,174,P,NA,31.3,42,0.220130563,13.87730026,Dix 1969,ott924048
Ficopomatus enigmaticus,Ficopomatus enigmaticus,Serpulidae,Sabellida,Polychaeta,Annelida,Ficopomatus,N,51,1,P,40,NA,51,0.175313729,11.91889954,Dixon 1981,ott631822
Chitinopoma serrula,Chitinopoma serrula,Serpulidae,Sabellida,Polychaeta,Annelida,Chitinopoma,N,69.648491,19,L,180,NA,69.648491,0.205243114,6.667709827,Dons 1933,ott329378
Boccardia polybranchia,Boccardia polybranchia,Spionidae,Spionida,Polychaeta,Annelida,Boccardia,S,-49,69.647827,L,75,NA,49,0.062233934,3.829210043,Duchene 1984,ott132231
Sabellaria floridensis,Sabellaria floridensis,Sabellariidae,Terebellida,Polychaeta,Annelida,Sabellaria,N,30,-84,P,83,NA,30,0.017389743,23.49030876,Eckelbarger 1977,ott638889
Encope michelini,Encope michelini,Mellitidae,Clypeasteroida,Echinoidea,Echinodermata,Encope,N,24,-80,P,175,14,24,0.147893152,26.96759033,Eckert 1995,ott3650799
Austromegabalanus nigres,Austromegabalanus nigrescens,Balanidae,Sessilia,Maxillopoda,Arthropoda,Austromegabalanus,S,-34,151,P,NA,18,34,0.658320463,19.72261047,Egan & Anderson 1987,ott324424
Austrobalanus imperator,Austrobalanus imperator,Austrobalanidae,Sessilia,Maxillopoda,Arthropoda,Austrobalanus,S,-34,151,P,NA,NA,34,0.658320463,19.72261047,Egan & Anderson 1988,ott1026335
Tesseropora rosea,Tesseropora rosea,Tetraclitidae,Sessilia,Maxillopoda,Arthropoda,Tesseropora,S,-34,151,P,NA,NA,34,0.658320463,19.72261047,Egan & Anderson 1988,ott140027
Tetraclitella purpurasce,Tetraclitella purpurascens,Tetraclitidae,Sessilia,Maxillopoda,Arthropoda,Tetraclitella,S,-34,151,P,NA,NA,34,0.658320463,19.72261047,Egan & Anderson 1988,ott324423
Diopatra ornata,Diopatra ornata,Onuphidae,Eunicida,Polychaeta,Annelida,Diopatra,N,33,-117,L,230,NA,33,0.188343445,17.45948982,Emerson 1975,ott1042378
Heliocidaris tuberculata,Heliocidaris tuberculata,Echinometridae,Camarodonta,Echinoidea,Echinodermata,Heliocidaris,S,-33,151,P,93.6,30,33,0.585780803,20.54590988,Emlet & Hoegh-Guldberg 1997,ott146857
Clypeaster subdepressus,Clypeaster subdepressus,Clypeasteridae,Clypeasteroida,Echinoidea,Echinodermata,Clypeaster,N,10,-79,P,165,16,10,0.587371817,27.9405899,Emlet 1986,ott3649596
Clypeaster rosaceus,Clypeaster rosaceus,Clypeasteridae,Clypeasteroida,Echinoidea,Echinodermata,Clypeaster,N,24,-80,P,270,7,24,0.147893152,26.96759033,Emlet 1986,ott3649596
Echinometra lucunter,Echinometra lucunter,Echinometridae,Echinoida,Echinoidea,Echinodermata,Echinometra,N,10,-80,P,82,23,10,0.644591151,27.96689034,Emlet 1995,ott631177
Echinometra vanbrunti,Echinometra vanbrunti,Echinometridae,Echinoida,Echinoidea,Echinodermata,Echinometra,N,10,-80,P,70,18,10,0.644591151,27.96689034,Emlet 1995,ott631177
Nicon aestuariensis,Nicon aestuariensis,Nereidae,Phyllodocida,Polychaeta,Annelida,Nicon,S,-43,172.738037,L,150,NA,43,0.02791059,12.24730968,Estcourt 1966,ott4981890
Arenicola ecaudata,Arenicolides ecaudata,Arenicolidae,,Polychaeta,Annelida,Arenicolides,N,50.356085,-4,L,140,NA,50.356085,0.123523186,12.54950047,Eve & Southward 1958,ott83353
Diopatra marocensis,Diopatra marocensis,Onuphidae,Eunicida,Polychaeta,Annelida,Diopatra,N,31.546942,-10,L,600,NA,31.546942,0.116687436,17.97609138,Fadlaoui et al. 1995,ott1042378
Asterias lincki,Urasterias lincki,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Urasterias,N,70,19,L,600,NA,70,0.285439592,6.7427001,Falk-Peterson & Sargent 1982,ott766849
Ophionereis fasciata,Ophionereis fasciata,Ophionereididae,Ophiurida,Ophiuroidea,Echinodermata,Ophionereis,S,-36,174,P,99,NA,36,0.091147681,17.83588982,Falkner et al. 2006,ott34969
Bulla gouldiana,Bulla gouldiana,Bullidae,Cephalaspidea,Gastropoda,Mollusca,Bulla,N,31,-116,P,NA,NA,31,0.196880733,16.80158997,Farfan & Ramirez 1988,ott848006
Arenicola marina,Arenicola marina,Arenicolidae,,Polychaeta,Annelida,Arenicola,N,53.120405,5,L,130,NA,53.120405,0.047491849,11.23259068,Farke & Berghuis 1979,ott153397
Kingberonuphis pulchra,Kinbergonuphis pulchra,Onuphidae,Eunicida,Polychaeta,Annelida,Kinbergonuphis,N,17,-88,L,330,NA,17,0.115631728,27.84209061,Fauchald 1983,ott4979979
Lumbrinereis luti,Lumbrineris luti,Lumbrinereidae,Eunicida,Polychaeta,Annelida,Lumbrineris,N,38,-122,L,100,NA,38,0.078173553,13.09209061,Fauchald 1983,ott834687
Magellona sacculata,Magelona sacculata,Magelonidae,Spionida,Polychaeta,Annelida,Magelona,N,38,-122,P,130,NA,38,0.078173553,13.09209061,Fauchald 1983,ott1067343
Mediomastus californiens,Mediomastus californiensis,Capitellidae,,Polychaeta,Annelida,Mediomastus,N,38,-122,L,80,NA,38,0.078173553,13.09209061,Fauchald 1983,ott783244
Mooreonuphis jonesi,Mooreonuphis jonesi,Onuphidae,Eunicida,Polychaeta,Annelida,Mooreonuphis,N,32.324276,-64,L,168,NA,32.324276,0.048863549,23.01150894,Fauchald 1983,ott618835
Prionospio pigmea,Prionospio pygmaeus,Spionidae,Spionida,Polychaeta,Annelida,Prionospio,N,38,-122,P,60,NA,38,0.078173553,13.09209061,Fauchald 1983,ott275106
Prionospio cirrifera,Prionospio cirrifera,Spionidae,Spionida,Polychaeta,Annelida,Prionospio,N,38,-122,P,30,NA,38,0.078173553,13.09209061,Fauchald 1983,ott275106
Tridacna squamosa,Tridacna squamosa,Tridacnidae,Veneroida,Bivalvia,Mollusca,Tridacna,N,6,147,P,140,11,6,0.119807783,29.0750103,Fitt & Trench 1981,ott255553
Ophiomastix venosa,Ophiomastix venosa,Ophiocomidae,Ophiurida,Ophiuroidea,Echinodermata,Ophiomastix,S,-23,43,L,525,NA,23,0.387102541,26.2262001,Fourgon et al. 2005,ott3653712
Acteocina canaliculata,Acteocina canaliculata,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Acteocina,N,41,-72,P,91.5,6.5,41,0.123950006,11.35380936,Franz 1971,ott2914885
Tornatina canaliculata,Acteocina canaliculata,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Acteocina,N,41,-71,P,91.5,NA,41,0.02300504,11.30280972,Franz 1971,ott2914885
Pisaster brevispinus,Pisaster brevispinus,Asteriidae,Forcipulata,Asteroidea,Echinodermata,Pisaster,N,50,-123,P,165,NA,50,0.040957509,10.82119083,Fraser et al. 1981,ott76841
Ophiocten hastatum,Ophiocten hastatum,Ophiurudae,Ophiurida,Ophiuroidea,Echinodermata,Ophiocten,N,54,-12,P,140,NA,54,0.056173567,11.94939995,Gage et al. 2004,ott953588
Crepidula fecunda,Crepipatella peruviana,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepipatella,S,-41,-72,P,212,NA,41,0.277179141,12.31289959,Gallardo 1977,ott687044
Asterias rubens,Asterias rubens,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Asterias,N,55,-4,P,175,52.5,55,0.079657719,10.50130939,Gemmil 1914,ott721269
Crossaster papposus,Crossaster papposus,Solasteridae,Spinulodisa,Asteroidea,Echinodermata,Crossaster,N,55,-4,L,800,19,55,0.079657719,10.50130939,Gemmil 1920,ott426293
Porania pulvillus,Porania (Porania) pulvillus,Poraniidae,Spinulodisa,Asteroidea,Echinodermata,Porania,N,55,-4,P,200,NA,55,0.079657719,10.50130939,Gemmill 1913,ott843668
Scolecolepides viridis,Marenzelleria viridis,Spionidae,Spionida,Polychaeta,Annelida,Marenzelleria,N,44.962855,-64,L,230,NA,44.962855,0.284789351,7.91260004,George 1966,ott4324
Arbacia lixula,Arbacia lixula,Arbaciidae,Arbacioida,Echinoidea,Echinodermata,Arbacia,N,43,7,P,72.9,26,43,0.291258875,17.17739105,George at al 1990,ott146854
Naineis laevigata,Naineris laevigata,Orbiniidae,,Polychaeta,Annelida,Naineris,N,40.417678,18,L,240,NA,40.417678,0.21171696,18.57551003,Giangrande & Petraroli  1991,ott760488
Tharyx marioni,Aphelochaeta marioni,Cirratulidae,Spionida,Polychaeta,Annelida,Aphelochaeta,N,51,1,L,190,NA,51,0.175313729,11.91889954,Gibbs 1971,ott1094986
Haminoea vesicula,Haminoea vesicula,Atyidae,Cephalaspidea,Gastropoda,Mollusca,Haminoea,N,49,-125,P,90,32,49,0.040957509,10.52399063,Gibson & Chia 1989,ott120645
Dodecaceria concharum,Dodecaceria concharum,Cirratulidae,Spionida,Polychaeta,Annelida,Dodecaceria,N,55.025857,-1,L,100,NA,55.025857,0.081551171,9.94230938,Gibson 1977,ott1067345
Anasterias minuta,Anasterias antarctica,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Anasterias,S,-45,-67,L,1810,NA,45,0.027789655,11.5770998,Gil et al. 2011,ott985897
Ceratonereis limnetica,Simplisetia limnetica,Nereidae,Phyllodocida,Polychaeta,Annelida,Simplisetia,S,-33,150.886767,L,220,NA,33,0.585780803,20.54590988,Glasby 1986,ott499830
Berthella californica,Berthella californica,Pleurobranchiid,Notaspidea,Gastropoda,Mollusca,Berthella,N,43,-124,P,92.6,NA,43,0.071941822,11.41149998,Goddard 1983,ott165262
Diaphana californica,Diaphana californica,Cephalaspidea,Cephalaspidea,Gastropoda,Mollusca,Diaphana,N,43,-124,P,73,NA,43,0.071941822,11.41149998,Goddard 1983,ott714782
Aldisa sanguinea,Aldisa sanguinea,Dorididae,Nudibranchia,Gastropoda,Mollusca,Aldisa,N,43,-124,P,90.7,NA,43,0.071941822,11.41149998,Goddard 1991,ott779154
Cadlina marginata,Cadlina luteomarginata,Chromodorididae,Nudibranchia,Gastropoda,Mollusca,Cadlina,N,43,-124,P,94,NA,43,0.071941822,11.41149998,Goddard 1991,ott981716
Catriona columbiana,Catriona columbiana,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Catriona,N,43,-124,P,100,NA,43,0.071941822,11.41149998,Goddard 1991,ott2876274
Cuthona fulgens,Cuthona fulgens,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Cuthona,N,43,-124,P,94.3,NA,43,0.071941822,11.41149998,Goddard 1991,ott951821
Cuthona divae,Cuthona divae,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Cuthona,N,43,-124,P,107.1,NA,43,0.071941822,11.41149998,Goddard 1991,ott951821
Cuthona abronia,Cuthona abronia,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Cuthona,N,43,-124,P,94.8,NA,43,0.071941822,11.41149998,Goddard 1991,ott951821
Cuthona cocoachroma,Cuthonella cocoachroma,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Cuthonella,N,43,-124,P,95.4,NA,43,0.071941822,11.41149998,Goddard 1991,ott5735263
Cuthona lagunae,Diaphoreolis lagunae,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Diaphoreolis,N,43,-124,P,102.3,NA,43,0.071941822,11.41149998,Goddard 1991,NA
Discodoris sandiegensis,Diaulula sandiegensis,Discodorididae,Nudibranchia,Gastropoda,Mollusca,Diaulula,N,43,-124,P,83,NA,43,0.071941822,11.41149998,Goddard 1991,ott1098564
Archidoris odhneri,Doris odhneri,Dorididae,Nudibranchia,Gastropoda,Mollusca,Doris,N,43,-124,P,96.1,NA,43,0.071941822,11.41149998,Goddard 1991,ott860557
Discodoris heathi,Geitodoris heathi,Discodorididae,Nudibranchia,Gastropoda,Mollusca,Geitodoris,N,43,-124,P,78.8,NA,43,0.071941822,11.41149998,Goddard 1991,ott593566
Cuthona albocrusta,Trinchesia albocrusta,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Trinchesia,N,43,-124,P,97.2,NA,43,0.071941822,11.41149998,Goddard 1991,ott2876248
Cumanotus beaumonti,Cumanotus beaumonti,Cumanotidae,Nudibranchia,Gastropoda,Mollusca,Cumanotus,N,43,-124,P,73,NA,43,0.071941822,11.41149998,Goddard 1992,ott2876373
Eubranchus olivaceus,Eubranchus olivaceus,Eubranchidae,Nudibranchia,Gastropoda,Mollusca,Eubranchus,N,43,-124,P,85,NA,43,0.071941822,11.41149998,Goddard 1992,ott896651
Flabellina trilineata,Orienthella trilineata,Flabellinidae,Nudibranchia,Gastropoda,Mollusca,Orienthella,N,43,-124,P,65,NA,43,0.071941822,11.41149998,Goddard 1992,NA
Aplysiopsis enteromorpha,Aplysiopsis enteromorphae,Hermaeidae,Sacoglossa,Gastropoda,Mollusca,Aplysiopsis,N,34,-120,P,68,NA,34,0.03318607,15.03299999,Goddard 2004,ott903295
Elysia hedgpethi,Elysia hedgpethi,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,34,-120,P,68,NA,34,0.03318607,15.03299999,Goddard 2004,ott322154
Placida dendritica,Placida dendritica,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Placida,N,34,-120,P,57,NA,34,0.03318607,15.03299999,Goddard 2004,ott322147
Philine auriformis,Philine auriformis,Philinidae,cephalaspidea,Gastropoda,Mollusca,Philine,N,37,-122,P,79.5,NA,37,0.073368934,13.02889061,Gosliner 1995,ott714769
Ophiopsammus maculata,Ophiopsammus maculata,Ophiodermatidae,Ophiurida,Ophiuroidea,Echinodermata,Ophiopsammus,S,-47,167,L,600,NA,47,0.174907208,12.31649017,Gould et al. 2001,ott3654830
Pycnopodia helianthoides,Pycnopodia helianthoides,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Pycnopodia,N,50,-123,P,120,65,50,0.040957509,10.82119083,Greer 1962,ott76846
Melinna palmata,Melinna palmata,Ampharetidae,Ophiurida,Ophiuroidea,Echinodermata,Melinna,N,52,-9,L,290,NA,52,0.383487679,12.12140942,Grehan et al. 1991,ott585618
Gyptis rosea,Gyptis rosea,Hesionidae,Phyllodocida,Polychaeta,Annelida,Gyptis,N,59,10,P,90,NA,59,0.314747601,9.571709633,Haaland & Schram 1983,ott1009761
Ophiodromus flexuosus,Oxydromus flexuosus,Hesionidae,Phyllodocida,Polychaeta,Annelida,Oxydromus,N,59.474384,10,P,108,NA,59.474384,0.157437,9.339609146,Haaland & Schram 1983,ott4166884
Elysia hamatanii,Elysia hamatanii,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,34,135,P,68,NA,34,0.053331872,19.70858955,Hamatani 1960,ott322154
Elysia trisinuata,Elysia trisinuata,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,34,135,P,46,NA,34,0.053331872,19.70858955,Hamatani 1967,ott322154
Pygospio elegans,Pygospio elegans,Spionidae,Spionida,Polychaeta,Annelida,Pygospio,N,58.403151,12,L,300,NA,58.403151,0.00693357,9.55880928,Hannerz 1956,ott608082
Scottolana canadensis,Scottolana canadensis,Canuellidae,Harpacticoida,Maxillopoda,Arthropoda,Scottolana,N,38,-77,P,NA,5,38,0.161090425,14.56690025,Harris 1977,ott2949551
Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,Strongylocentro,Echinoida,Echinoidea,Echinodermata,Strongylocentrotus,N,48,-123,P,155,36.5,48,0.136874763,9.787690163,Hart 1995,ott564714
Brisaster latifrons,Brisaster latifrons,Schizasteridae,Spatangoida,Echinoidea,Echinodermata,Brisaster,N,48,-122,L,365,35,48,0.136874763,10.07400036,Hart 1996,ott262653
Echinarachnius parma,Echinarachnius parma,Echinarachniida,Clypeasteroida,Echinoidea,Echinodermata,Echinarachnius,N,41,-70,P,145,32,41,0.031781489,10.3125906,Harvey 1956,ott3651061
Cantharidus callichroa,Cantharidus callichroa,Trochidae,Archaeogastropo,Gastropoda,Mollusca,Cantharidus,N,26,120,L,446,NA,26,0.193178113,21.01478958,Havenhand 1993,ott96124
Doridella steinbergae,Corambe steinbergae,Corambidae,Nudibranchia,Gastropoda,Mollusca,Corambe,N,48,-123,P,80,34,48,0.136874763,9.787690163,Havenhand 1993,ott2876340
Doridella obscura,Corambe obscura,Corambidae,Nudibranchia,Gastropoda,Mollusca,Corambe,N,48,-123,P,65,13,48,0.136874763,9.787690163,Havenhand 1993,ott2876340
Haminoea callidegenita,Haminoea japonica,Haminoedae,Cephalaspidea,Gastropoda,Mollusca,Haminoea,N,47,-122,L,220,NA,47,0.051839835,10.07400036,Havenhand 1993,ott120645
Phidiana lycnaeus,Phidiana lynceus,Phidianidae,Nudibranchia,Gastropoda,Mollusca,Phidiana,N,17,-88,L,140,7,17,0.115631728,27.84209061,Havenhand 1993,ott617585
Tritonia hombergi,Tritonia hombergii,Tritoniidae,Nudibranchia,Gastropoda,Mollusca,Tritonia,N,34,-4,L,200,43,34,0.420663719,18.26789093,Havenhand 1993,ott650635
Pholoe minuta,Pholoe minuta,Sigalionidae,Phyllodocida,Polychaeta,Annelida,Pholoe,N,55.372868,-1,P,135,NA,55.372868,0.081551171,9.931690216,Heffernanan & Keegan 1988,ott398717
Acanthaster planci,Acanthaster planci,Acanthasteridae,Spinulodisa,Asteroidea,Echinodermata,Acanthaster,S,-10,146,P,175,38,10,0.199498478,27.32588959,Henderson & Lucas 1971,ott337928
Amphiodia pulchella,Amphiodia pulchella,Amphiuridae,Ophiurida,Ophiuroidea,Echinodermata,Amphiodia,N,16,-88,P,65,NA,16,0.095193988,27.94749069,Hendler & Littman 1986,ott573285
Ophionereis reticulata,Ophionereis reticulata,Ophionereididae,Ophiurida,Ophiuroidea,Echinodermata,Ophionereis,N,18,-77,P,250,NA,18,0.120459857,27.76840973,Hendler & Littman 1986,ott34969
Ophiopsila riisei,Ophiopsila riisei,Ophiocomidae,Ophiurida,Ophiuroidea,Echinodermata,Ophiopsila,N,18,-77,L,230,NA,18,0.120459857,27.76840973,Hendler & Littman 1986,ott3653699
Acrocnida brachiata,Acrocnida brachiata,Amphiuridae,Ophiurida,Ophiuroidea,Echinodermata,Acrocnida,N,54,-4,P,140,NA,54,0.079657719,10.7044096,Hendler 1991,ott1069189
