Family,Genus,Species,Genus_species,Body_size,PLD_mean,Egg_type,Group
HAEMULIDAE,Haemulon,aurolineatum,Haemulon aurolineatum,25,19.3,PEL,Resident
HAEMULIDAE,Haemulon,chrysargyreum,Haemulon chrysargyreum,23,22,PEL,Resident
HAEMULIDAE,Haemulon,flavolineatum,Haemulon flavolineatum,30,17,PEL,Resident
HAEMULIDAE,Haemulon,melanurum,Haemulon melanurum,35,18.4,PEL,Resident
HAEMULIDAE,Haemulon,parra,Haemulon parra,41,17.3,PEL,Resident
HAEMULIDAE,Haemulon,plumierii,Haemulon plumierii,53,22.6,PEL,Resident
HAEMULIDAE,Haemulon,striatum,Haemulon striatum,28,21.125,PEL,Resident
HOLOCENTRIDAE,Holocentrus,adscensionis,Holocentrus adscensionis,45,55.6,PEL,Resident
HOLOCENTRIDAE,Holocentrus,rufus,Holocentrus rufus,44,44.1,PEL,Resident
HOLOCENTRIDAE,Myripristis,jacobus,Myripristis jacobus,25,53.8,PEL,Resident
HOLOCENTRIDAE,Myripristis,pralinia,Myripristis pralinia,20,67,PEL,Resident
HOLOCENTRIDAE,Neoniphon,argenteus,Neoniphon argenteus,19,41,PEL,Resident
HOLOCENTRIDAE,Neoniphon,marianus,Neoniphon marianus,22,39.3,PEL,Resident
HOLOCENTRIDAE,Neoniphon,sammara,Neoniphon sammara,30,47,PEL,Resident
HOLOCENTRIDAE,Plectrypops,retrospinis,Plectrypops retrospinis,15,43.6,PEL,Resident
HOLOCENTRIDAE,Sargocentron,coruscum,Sargocentron coruscum,13.5,35.5,PEL,Resident
HOLOCENTRIDAE,Sargocentron,microstoma,Sargocentron microstoma,19,40.3,PEL,Resident
HOLOCENTRIDAE,Sargocentron,punctatissimum,Sargocentron punctatissimum,13,45,PEL,Resident
HOLOCENTRIDAE,Sargocentron,spiniferum,Sargocentron spiniferum,45,39.8,PEL,Resident
HOLOCENTRIDAE,Sargocentron,vexillarium,Sargocentron vexillarium,17.2,35.9,PEL,Resident
LABRIDAE,Anampses,caeruleopunctatus,Anampses caeruleopunctatus,42,25,PEL,Resident
LABRIDAE,Anampses,chrysocephalus,Anampses chrysocephalus,17,29.5,PEL,Resident
LABRIDAE,Anampses,cuvier,Anampses cuvier,31,44.5,PEL,Resident
LABRIDAE,Anampses,twistii,Anampses twistii,18,28.8,PEL,Resident
LABRIDAE,Bodianus,axillaris,Bodianus axillaris,20,23.5,PEL,Resident
LABRIDAE,Bodianus,bilunulatus,Bodianus bilunulatus,55,66.8,PEL,Resident
LABRIDAE,Bodianus,diplotaenia,Bodianus diplotaenia,76,39.85,PEL,Resident
LABRIDAE,Bodianus,eclancheri,Bodianus eclancheri,60,32.3,PEL,Resident
LABRIDAE,Bodianus,mesothorax,Bodianus mesothorax,25,30.3,PEL,Resident
LABRIDAE,Bodianus,perditio,Bodianus perditio,80,59.6,PEL,Resident
LABRIDAE,Bodianus,rufus,Bodianus rufus,50,36.6,PEL,Resident
LABRIDAE,Bolbometopon,muricatum,Bolbometopon muricatum,130,31,PEL,Resident
LABRIDAE,Cheilinus,chlorourus,Cheilinus chlorourus,36,27.1,PEL,Resident
LABRIDAE,Cheilinus,fasciatus,Cheilinus fasciatus,36,25.7,PEL,Resident
LABRIDAE,Cheilinus,trilobatus,Cheilinus trilobatus,40,29.6,PEL,Resident
LABRIDAE,Cheilinus,undulatus,Cheilinus undulatus,229,34.3,PEL,Resident
LABRIDAE,Cheilio,inermis,Cheilio inermis,50,56.1,PEL,Resident
LABRIDAE,Choerodon,anchorago,Choerodon anchorago,38,19.3,PEL,Resident
LABRIDAE,Choerodon,fasciatus,Choerodon fasciatus,30,20,PEL,Resident
LABRIDAE,Choerodon,graphicus,Choerodon graphicus,46,27,PEL,Resident
LABRIDAE,Cirrhilabrus,cyanopleura,Cirrhilabrus cyanopleura,10,25.55,PEL,Resident
LABRIDAE,Cirrhilabrus,scottorum,Cirrhilabrus scottorum,13,27,PEL,Resident
LABRIDAE,Cirrhilabrus,temminkii,Cirrhilabrus temminkii,10,27.3,PEL,Resident
LABRIDAE,Clepticus,parrae,Clepticus parrae,30,38.5,PEL,Resident
LABRIDAE,Coris,aygula,Coris aygula,120,51.5,PEL,Resident
LABRIDAE,Coris,batuensis,Coris batuensis,17,27.55,PEL,Resident
LABRIDAE,Coris,flavovittata,Coris flavovittata,50.8,53,PEL,Resident
LABRIDAE,Coris,gaimard,Coris gaimard,40,45.76,PEL,Resident
LABRIDAE,Coris,picta,Coris picta,25,46.2,PEL,Resident
LABRIDAE,Coris,venusta,Coris venusta,19.3,46.1,PEL,Resident
LABRIDAE,Cymolutes,lecluse,Cymolutes lecluse,17.8,75.9,PEL,Resident
LABRIDAE,Cymolutes,praetextatus,Cymolutes praetextatus,20,71,PEL,Resident
LABRIDAE,Diproctacanthus,xanthurus,Diproctacanthus xanthurus,8,17.3,PEL,Resident
LABRIDAE,Doratonotus,megalepis,Doratonotus megalepis,9.4,21.9,PEL,Resident
LABRIDAE,Epibulus,insidiator,Epibulus insidiator,54,30.4,PEL,Resident
LABRIDAE,Gomphosus,varius,Gomphosus varius,30,56.6,PEL,Resident
LABRIDAE,Halichoeres,adustus,Halichoeres adustus,12.5,33,PEL,Resident
LABRIDAE,Halichoeres,argus,Halichoeres argus,12,25,PEL,Resident
LABRIDAE,Halichoeres,biocellatus,Halichoeres biocellatus,12,24.26,PEL,Resident
LABRIDAE,Halichoeres,bivittatus,Halichoeres bivittatus,22,22.3,PEL,Resident
LABRIDAE,Halichoeres,chierchiae,Halichoeres chierchiae,17.5,31.3,PEL,Resident
LABRIDAE,Halichoeres,chloropterus,Halichoeres chloropterus,19,21.1,PEL,Resident
LABRIDAE,Halichoeres,chrysus,Halichoeres chrysus,12,26.1,PEL,Resident
LABRIDAE,Halichoeres,discolor,Halichoeres discolor,15,32,PEL,Resident
LABRIDAE,Halichoeres,dispilus,Halichoeres dispilus,25,40.25,PEL,Resident
LABRIDAE,Halichoeres,garnoti,Halichoeres garnoti,30,24.9,PEL,Resident
LABRIDAE,Halichoeres,hortulanus,Halichoeres hortulanus,27,32.5,PEL,Resident
LABRIDAE,Halichoeres,insularis,Halichoeres insularis,7,35.5,PEL,Resident
LABRIDAE,Halichoeres,maculipinna,Halichoeres maculipinna,15,29.5,PEL,Resident
LABRIDAE,Halichoeres,margaritaceus,Halichoeres margaritaceus,12.5,21.7,PEL,Resident
LABRIDAE,Halichoeres,marginatus,Halichoeres marginatus,18,22.2,PEL,Resident
LABRIDAE,Halichoeres,melanotis,Halichoeres melanotis,15,35.7,PEL,Resident
LABRIDAE,Halichoeres,melanurus,Halichoeres melanurus,12,24.53,PEL,Resident
LABRIDAE,Halichoeres,nebulosus,Halichoeres nebulosus,12,23.9,PEL,Resident
LABRIDAE,Halichoeres,nicholsi,Halichoeres nicholsi,38,31.4,PEL,Resident
LABRIDAE,Halichoeres,notospilus,Halichoeres notospilus,25,37.7,PEL,Resident
LABRIDAE,Halichoeres,ornatissimus,Halichoeres ornatissimus,18,39.5,PEL,Resident
LABRIDAE,Halichoeres,pictus,Halichoeres pictus,13,24.9,PEL,Resident
LABRIDAE,Halichoeres,poeyi,Halichoeres poeyi,20,24.1,PEL,Resident
LABRIDAE,Halichoeres,prosopeion,Halichoeres prosopeion,13,21.2,PEL,Resident
LABRIDAE,Halichoeres,radiatus,Halichoeres radiatus,51,24.55,PEL,Resident
LABRIDAE,Halichoeres,richmondi,Halichoeres richmondi,19,20.8,PEL,Resident
LABRIDAE,Halichoeres,scapularis,Halichoeres scapularis,20,24.4,PEL,Resident
LABRIDAE,Halichoeres,semicintus,Halichoeres semicintus,38,29.9,PEL,Resident
LABRIDAE,Halichoeres,trimaculatus,Halichoeres trimaculatus,27,26.8,PEL,Resident
LABRIDAE,Hemigymnus,fasciatus,Hemigymnus fasciatus,80,25.8,PEL,Resident
LABRIDAE,Hemigymnus,melapterus,Hemigymnus melapterus,90,23.9,PEL,Resident
LABRIDAE,Iniistius,pavo,Iniistius pavo,41,60.16,PEL,Resident
LABRIDAE,Labrichthys,unilineatus,Labrichthys unilineatus,17.5,19.2,PEL,Resident
LABRIDAE,Labroides,bicolor,Labroides bicolor,15,24.25,PEL,Resident
LABRIDAE,Labroides,dimidiatus,Labroides dimidiatus,14,23.16,PEL,Resident
LABRIDAE,Labroides,pectoralis,Labroides pectoralis,11,26.8,PEL,Resident
LABRIDAE,Labroides,phthirophagus,Labroides phthirophagus,12,32.1,PEL,Resident
LABRIDAE,Labropsis,micronesica,Labropsis micronesica,12,22,PEL,Resident
LABRIDAE,Labropsis,xanthonota,Labropsis xanthonota,13,30.5,PEL,Resident
LABRIDAE,Macropharyngodon,geoffroy,Macropharyngodon geoffroy,15,32.3,PEL,Resident
LABRIDAE,Macropharyngodon,meleagris,Macropharyngodon meleagris,15,27.5,PEL,Resident
LABRIDAE,Macropharyngodon,negrosensis,Macropharyngodon negrosensis,12,25,PEL,Resident
LABRIDAE,Novaculichthys,macrolepidotus,Novaculichthys macrolepidotus,15,70.5,PEL,Resident
LABRIDAE,Novaculichthys,taeniourus,Novaculichthys taeniourus,30,55.1,PEL,Resident
LABRIDAE,Oxycheilinus,bimaculatus,Oxycheilinus bimaculatus,15,50.5,PEL,Resident
LABRIDAE,Oxycheilinus,digramma,Oxycheilinus digramma,30,26.1,PEL,Resident
LABRIDAE,Oxycheilinus,unifasciatus,Oxycheilinus unifasciatus,46,36.2,PEL,Resident
LABRIDAE,Pseudocheilinus,evanidus,Pseudocheilinus evanidus,8,42.5,PEL,Resident
LABRIDAE,Pseudocheilinus,hexataenia,Pseudocheilinus hexataenia,10,35,PEL,Resident
LABRIDAE,Pseudocheilinus,octotaenia,Pseudocheilinus octotaenia,14,41.6,PEL,Resident
LABRIDAE,Pseudocheilinus,tetrataenia,Pseudocheilinus tetrataenia,7.5,49.3,PEL,Resident
LABRIDAE,Pseudojuloides,cerasinus,Pseudojuloides cerasinus,12.3,42.4,PEL,Resident
LABRIDAE,Pteragogus,cryptus,Pteragogus cryptus,9.5,20.6,PEL,Resident
LABRIDAE,Pteragogus,flagellifer,Pteragogus flagellifer,20,23,PEL,Resident
LABRIDAE,Pteragogus,guttatus,Pteragogus guttatus,9,20.5,PEL,Resident
LABRIDAE,Scarus,coeruleus,Scarus coeruleus,120,24,PEL,Resident
LABRIDAE,Scarus,ghobban,Scarus ghobban,75,29.7,PEL,Resident
LABRIDAE,Scarus,iseri,Scarus iseri,27,28.4,PEL,Resident
LABRIDAE,Scarus,rivulatus,Scarus rivulatus,40,37,PEL,Resident
LABRIDAE,Scarus,schlegeli,Scarus schlegeli,38,30.4,PEL,Resident
LABRIDAE,Scarus,taeniopterus,Scarus taeniopterus,35,28.2,PEL,Resident
LABRIDAE,Semicossyphus,darwini,Semicossyphus darwini,70,37,PEL,Resident
LABRIDAE,Semicossyphus,pulcher,Semicossyphus pulcher,90,37.4,PEL,Resident
LABRIDAE,Sparisoma,atomarium,Sparisoma atomarium,15,18,PEL,Resident
LABRIDAE,Sparisoma,aurofrenatum,Sparisoma aurofrenatum,28,48.6,PEL,Resident
LABRIDAE,Sparisoma,viride,Sparisoma viride,64,48.3,PEL,Resident
LABRIDAE,Stethojulis,balteata,Stethojulis balteata,15,38.5,PEL,Resident
LABRIDAE,Stethojulis,bandanensis,Stethojulis bandanensis,15,30.7,PEL,Resident
LABRIDAE,Stethojulis,notialis,Stethojulis notialis,10,40.3,PEL,Resident
LABRIDAE,Stethojulis,strigiventer,Stethojulis strigiventer,15,23.4,PEL,Resident
LABRIDAE,Thalassoma,ballieui,Thalassoma ballieui,39.5,84,PEL,Resident
LABRIDAE,Thalassoma,bifasciatum,Thalassoma bifasciatum,15,48.2,PEL,Resident
LABRIDAE,Thalassoma,duperrey,Thalassoma duperrey,28,89.2,PEL,Resident
LABRIDAE,Thalassoma,grammaticum,Thalassoma grammaticum,32,61.8,PEL,Resident
LABRIDAE,Thalassoma,hardwicke,Thalassoma hardwicke,20,54.5,PEL,Resident
LABRIDAE,Thalassoma,jansenii,Thalassoma jansenii,20,63.3,PEL,Resident
LABRIDAE,Thalassoma,lucasanum,Thalassoma lucasanum,15,72.25,PEL,Resident
LABRIDAE,Thalassoma,lunare,Thalassoma lunare,45,50.12,PEL,Resident
LABRIDAE,Thalassoma,lutescens,Thalassoma lutescens,30,78,PEL,Resident
LABRIDAE,Thalassoma,purpureum,Thalassoma purpureum,46,57.7,PEL,Resident
LABRIDAE,Thalassoma,quinquevittatum,Thalassoma quinquevittatum,17,56.4,PEL,Resident
LABRIDAE,Thalassoma,robertsoni,Thalassoma robertsoni,7.8,58.6,PEL,Resident
LABRIDAE,Thalassoma,trilobatum,Thalassoma trilobatum,30,78.3,PEL,Resident
LABRIDAE,Thalassoma,virens,Thalassoma virens,30,68.8,PEL,Resident
LABRIDAE,Xyrichtys,martinicensis,Xyrichtys martinicensis,15,54.15,PEL,Resident
LABRIDAE,Xyrichtys,mundiceps,Xyrichtys mundiceps,14.5,59.2,PEL,Resident
LABRIDAE,Xyrichtys,novacula,Xyrichtys novacula,38,39,PEL,Resident
LABRIDAE,Xyrichtys,splendens,Xyrichtys splendens,17.5,72.1,PEL,Resident
LABRIDAE,Xyrichtys,victori,Xyrichtys victori,15,73.7,PEL,Resident
LABRIDAE,Xyrichtys,wellingtoni,Xyrichtys wellingtoni,7.2,68,PEL,Resident
LETHRINIDAE,Gnathodentex,aureolineatus,Gnathodentex aureolineatus,30,40,PEL,Resident
LETHRINIDAE,Lethrinus,atkinsoni,Lethrinus atkinsoni,40,26.6,PEL,Resident
LETHRINIDAE,Lethrinus,genivittatus,Lethrinus genivittatus,25,29.05,PEL,Resident
LETHRINIDAE,Lethrinus,ornatus,Lethrinus ornatus,40,26.6,PEL,Resident
LETHRINIDAE,Lethrinus,variegatus,Lethrinus variegatus,20,32,PEL,Resident
LUTJANIDAE,Hoplopagrus,guentherii,Hoplopagrus guentherii,92,21.5,PEL,Resident
LUTJANIDAE,Lutjanus,analis,Lutjanus analis,94,31,PEL,Resident
LUTJANIDAE,Lutjanus,apodus,Lutjanus apodus,67,32,PEL,Resident
LUTJANIDAE,Lutjanus,buccanella,Lutjanus buccanella,75,26,PEL,Resident
LUTJANIDAE,Lutjanus,carponotatus,Lutjanus carponotatus,40,35,PEL,Resident
LUTJANIDAE,Lutjanus,decussatus,Lutjanus decussatus,30,32.3,PEL,Resident
LUTJANIDAE,Lutjanus,fulviflamma,Lutjanus fulviflamma,35,23.26,PEL,Resident
LUTJANIDAE,Lutjanus,fulvus,Lutjanus fulvus,40,27.7,PEL,Resident
LUTJANIDAE,Lutjanus,guttatus,Lutjanus guttatus,80,24.15,PEL,Resident
LUTJANIDAE,Lutjanus,kasmira,Lutjanus kasmira,40,31,PEL,Resident
LUTJANIDAE,Lutjanus,sebae,Lutjanus sebae,100,40,PEL,Resident
LUTJANIDAE,Lutjanus,viridis,Lutjanus viridis,30,37.9,PEL,Resident
LUTJANIDAE,Lutjanus,vitta,Lutjanus vitta,40,31.3,PEL,Resident
LUTJANIDAE,Pristipomoides,filamentosus,Pristipomoides filamentosus,100,45,PEL,Resident
MONACANTHIDAE,Acreichthys,tomentosus,Acreichthys tomentosus,11.5,23.9,PEL,Resident
MONACANTHIDAE,Monacanthus,chinensis,Monacanthus chinensis,38,20,PEL,Resident
MONACANTHIDAE,Monacanthus,tuckeri,Monacanthus tuckeri,9,41.9,PEL,Resident
MONACANTHIDAE,Paraluteres,prionurus,Paraluteres prionurus,11,28,PEL,Resident
MULLIDAE,Parupeneus,barbarinoides,Parupeneus barbarinoides,25,42.3,PEL,Resident
MULLIDAE,Parupeneus,barberinus,Parupeneus barberinus,60,38.6,PEL,Resident
MULLIDAE,Parupeneus,indicus,Parupeneus indicus,35,33,PEL,Resident
MULLIDAE,Parupeneus,multifasciatus,Parupeneus multifasciatus,35,45,PEL,Resident
MULLIDAE,Parupeneus,pleurostigma,Parupeneus pleurostigma,33,50,PEL,Resident
MULLIDAE,Upeneus,tragula,Upeneus tragula,33,31.1,PEL,Resident
NEMIPTERIDAE,Scolopsis,bilineata,Scolopsis bilineata,25,25,PEL,Resident
NEMIPTERIDAE,Scolopsis,taenioptera,Scolopsis taenioptera,30,19,PEL,Resident
OSTRACIIDAE,Lactoria,cornuta,Lactoria cornuta,46,58,PEL,Resident
OSTRACIIDAE,Ostracion,cubicus,Ostracion cubicus,15,44.3,PEL,Resident
OSTRACIIDAE,Ostracion,meleagris,Ostracion meleagris,25,61.5,PEL,Resident
PINGUIPEDIDAE,Parapercis,australis,Parapercis australis,9.2,41.6,PEL,Resident
POMACANTHIDAE,Apolemichthys,trimaculatus,Apolemichthys trimaculatus,26,24.2,PEL,Resident
POMACANTHIDAE,Centropyge,acanthops,Centropyge acanthops,8,34,PEL,Resident
POMACANTHIDAE,Centropyge,argi,Centropyge argi,8,36.8,PEL,Resident
POMACANTHIDAE,Centropyge,bicolor,Centropyge bicolor,15,32,PEL,Resident
POMACANTHIDAE,Centropyge,bispinosa,Centropyge bispinosa,10,32,PEL,Resident
POMACANTHIDAE,Centropyge,eibli,Centropyge eibli,15,25.3,PEL,Resident
POMACANTHIDAE,Centropyge,ferrugata,Centropyge ferrugata,10,38,PEL,Resident
POMACANTHIDAE,Centropyge,fisheri,Centropyge fisheri,7.5,38.33,PEL,Resident
POMACANTHIDAE,Centropyge,flavissima,Centropyge flavissima,14,30.3,PEL,Resident
POMACANTHIDAE,Centropyge,heraldi,Centropyge heraldi,10,32,PEL,Resident
POMACANTHIDAE,Centropyge,interruptus,Centropyge interruptus,15,31.5,PEL,Resident
POMACANTHIDAE,Centropyge,loricula,Centropyge loricula,15,38,PEL,Resident
POMACANTHIDAE,Centropyge,multifasciata,Centropyge multifasciata,12,26.2,PEL,Resident
POMACANTHIDAE,Centropyge,nox,Centropyge nox,10,31.5,PEL,Resident
POMACANTHIDAE,Centropyge,potteri,Centropyge potteri,10,35.5,PEL,Resident
POMACANTHIDAE,Centropyge,tibicen,Centropyge tibicen,19,30,PEL,Resident
POMACANTHIDAE,Centropyge,venusta,Centropyge venusta,12,25,PEL,Resident
POMACANTHIDAE,Centropyge,vroliki,Centropyge vroliki,12,29,PEL,Resident
POMACANTHIDAE,Chaetodontoplus,duboulayi,Chaetodontoplus duboulayi,28,21.64,PEL,Resident
POMACANTHIDAE,Chaetodontoplus,melanosoma,Chaetodontoplus melanosoma,20,22.2,PEL,Resident
POMACANTHIDAE,Chaetodontoplus,mesoleucus,Chaetodontoplus mesoleucus,18,19.9,PEL,Resident
POMACANTHIDAE,Chaetodontoplus,personifer,Chaetodontoplus personifer,35,23.2,PEL,Resident
POMACANTHIDAE,Chaetodontoplus,septentrionalis,Chaetodontoplus septentrionalis,22,23,PEL,Resident
POMACANTHIDAE,Genicanthus,bellus,Genicanthus bellus,18,25,PEL,Resident
POMACANTHIDAE,Genicanthus,melanospilos,Genicanthus melanospilos,18,25,PEL,Resident
POMACANTHIDAE,Holacanthus,bermudensis,Holacanthus bermudensis,45,22.7,PEL,Resident
POMACANTHIDAE,Holacanthus,ciliaris,Holacanthus ciliaris,45,22.4,PEL,Resident
POMACANTHIDAE,Holacanthus,tricolor,Holacanthus tricolor,25,29.7,PEL,Resident
POMACANTHIDAE,Pomacanthus,annularis,Pomacanthus annularis,45,21,PEL,Resident
POMACANTHIDAE,Pomacanthus,arcuatus,Pomacanthus arcuatus,60,19.9,PEL,Resident
POMACANTHIDAE,Pomacanthus,imperator,Pomacanthus imperator,40,22,PEL,Resident
POMACANTHIDAE,Pomacanthus,navarchus,Pomacanthus navarchus,25,22.83,PEL,Resident
POMACANTHIDAE,Pomacanthus,paru,Pomacanthus paru,40,17.7,PEL,Resident
POMACANTHIDAE,Pomacanthus,semicirculatus,Pomacanthus semicirculatus,40,19.5,PEL,Resident
POMACANTHIDAE,Pomacanthus,sexstriatus,Pomacanthus sexstriatus,46,18,PEL,Resident
POMACANTHIDAE,Pomacanthus,xanthometopon,Pomacanthus xanthometopon,38,20.38,PEL,Resident
POMACANTHIDAE,Pygoplites,diacanthus,Pygoplites diacanthus,25,24.5,PEL,Resident
SERRANIDAE,Diplectrum,formosum,Diplectrum formosum,30,17.2,PEL,Resident
SERRANIDAE,Grammistes,sexlineatus,Grammistes sexlineatus,30,42,PEL,Resident
SERRANIDAE,Hypoplectrus,puella,Hypoplectrus puella,15,19.1,PEL,Resident
SERRANIDAE,Pseudanthias,pascalus,Pseudanthias pascalus,20,26,PEL,Resident
SERRANIDAE,Pseudogramma,polyacantha,Pseudogramma polyacantha,8.6,32.3,PEL,Resident
SERRANIDAE,Pseudogramma,xanthum,Pseudogramma xanthum,4.1,30.5,PEL,Resident
SERRANIDAE,Rypticus,saponaceus,Rypticus saponaceus,35,40,PEL,Resident
SERRANIDAE,Serranus,baldwini,Serranus baldwini,7.4,23.6,PEL,Resident
SERRANIDAE,Serranus,tigrinus,Serranus tigrinus,12.3,18.2,PEL,Resident
SIGANIDAE,Siganus,doliatus,Siganus doliatus,25,23.9,PEL,Resident
SIGANIDAE,Siganus,lineatus,Siganus lineatus,43,33,PEL,Resident
SIGANIDAE,Siganus,rivulatus,Siganus rivulatus,27,39,PEL,Resident
SIGANIDAE,Siganus,spinus,Siganus spinus,24,22,PEL,Resident
SIGANIDAE,Siganus,vermiculatus,Siganus vermiculatus,37,23,PEL,Resident
SIGANIDAE,Siganus,vulpinus,Siganus vulpinus,25,23.5,PEL,Resident
SPARIDAE,Acanthopagrus,latus,Acanthopagrus latus,50,33.7,PEL,Resident
SPARIDAE,Archosargus,rhomboidalis,Archosargus rhomboidalis,33,21,PEL,Resident
SPARIDAE,Boops,boops,Boops boops,36,16.7,PEL,Resident
SPARIDAE,Diplodus,puntazzo,Diplodus puntazzo,60,32.7,PEL,Resident
SPARIDAE,Oblada,melanura,Oblada melanura,34,16,PEL,Resident
SPARIDAE,Pagrus,pagrus,Pagrus pagrus,90,38,PEL,Resident
SPARIDAE,Sarpa,salpa,Sarpa salpa,51,31.5,PEL,Resident
SPARIDAE,Spondyliosoma,cantharus,Spondyliosoma cantharus,60,35.85,PEL,Resident
SYNODONTIDAE,Synodus,saurus,Synodus saurus,40,19,PEL,Resident
SYNODONTIDAE,Synodus,variegatus,Synodus variegatus,28,42,PEL,Resident
TETRAODONTIDAE,Arothron,hispidus,Arothron hispidus,48,40.8,PEL,Resident
TETRAODONTIDAE,Canthigaster,valentini,Canthigaster valentini,10,18,PEL,Resident
ZANCLIDAE,Zanclus,cornutus,Zanclus cornutus,23,57.9,PEL,Resident
