,SciName,PLD,database,Family_aqua,Family_fishbase,Family_marshall,Family_manual,Note,References
266,Malacoctenus hubbsi,24,Fish and Inverts (Ramesh),Labrisomidae,Labrisomidae,NA,Labrisomidae,,
267,Medialuna californiensis,90,Fish and Inverts (Ramesh),Kyphosidae,Scorpididae,NA,Kyphosidae,,
268,Mullus surmuletus,30.1,Fish and Inverts (Ramesh),Mullidae,Mullidae,NA,Mullidae,,
269,Mycteroperca NA,42,Fish and Inverts (Ramesh),NA,NA,NA,NA,,
270,Myripristis berndti,55,Fish and Inverts (Ramesh),Holocentridae,Holocentridae,NA,Holocentridae,,
271,Myripristis jacobus,58,Fish and Inverts (Ramesh),Holocentridae,Holocentridae,NA,Holocentridae,,
272,Naso vlamingii,90,Fish and Inverts (Ramesh),Acanthuridae,Acanthuridae,NA,Acanthuridae,,
273,Ocyurus NA,34.5,Fish and Inverts (Ramesh),NA,NA,NA,NA,,
274,Ophioblennius atlanticus,28.6,Fish and Inverts (Ramesh),NA,Blenniidae,NA,Blenniidae,,
275,Ophioblennius steindachneri,50,Fish and Inverts (Ramesh),Blenniidae,Blenniidae,NA,Blenniidae,,
276,Ostorhinchus doederleini,21,Fish and Inverts (Ramesh),Apogonidae,Apogonidae,NA,Apogonidae,,
277,Pagellus NA,43.9,Fish and Inverts (Ramesh),NA,NA,NA,NA,,
278,Paralabrax clathratus,24,Fish and Inverts (Ramesh),Serranidae,Serranidae,NA,Serranidae,,
279,Parupeneus barberinus,7,Fish and Inverts (Ramesh),Mullidae,Mullidae,NA,Mullidae,,
280,Plectroglyphydodon dickii,25,Fish and Inverts (Ramesh),NA,NA,NA,Pomacentridae,,
281,Pomacentrus coelestis,19,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
282,Pomacentrus pavo,25,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
283,Pomatoschistus minutus,35,Fish and Inverts (Ramesh),Gobiidae,Gobiidae,NA,Gobiidae,,
284,Pterapogon kauderni,0,Fish and Inverts (Ramesh),NA,Apogonidae,NA,Apogonidae,,
285,Pterocaesio chrysozona,42,Fish and Inverts (Ramesh),Caesionidae,Caesionidae,NA,Caesionidae,,
286,Rhinecanthus aculeatus,73,Fish and Inverts (Ramesh),Balistidae,Balistidae,NA,Balistidae,,
287,Sarpa salpa,31.7,Fish and Inverts (Ramesh),Sparidae,Sparidae,NA,Sparidae,,
288,Sciaena umbra,22.5,Fish and Inverts (Ramesh),Sciaenidae,Sciaenidae,NA,Sciaenidae,,
289,Scorpaena NA,27,Fish and Inverts (Ramesh),NA,NA,NA,NA,,
290,Sebastes atrovirens,75,Fish and Inverts (Ramesh),Sebastidae,Sebastidae,NA,Sebastidae,,
291,Sebastes auriculatus,90,Fish and Inverts (Ramesh),Sebastidae,Sebastidae,NA,Sebastidae,,
292,Sebastes caurinus,75,Fish and Inverts (Ramesh),Sebastidae,Sebastidae,NA,Sebastidae,,
293,Sebastes crameri,90,Fish and Inverts (Ramesh),Sebastidae,Sebastidae,NA,Sebastidae,,
294,Sebastes rastrelliger,60,Fish and Inverts (Ramesh),Sebastidae,Sebastidae,NA,Sebastidae,,
295,Semicossyphus pulcher,53,Fish and Inverts (Ramesh),Labridae,Labridae,NA,Labridae,,
296,Serranus NA,37.5,Fish and Inverts (Ramesh),NA,NA,NA,NA,,
297,Siganus luridus,14,Fish and Inverts (Ramesh),Siganidae,Siganidae,NA,Siganidae,,
298,Sparisoma viride,57,Fish and Inverts (Ramesh),Scaridae,Scaridae,NA,Scaridae,,
299,Spondyliosoma cantharus,33.7,Fish and Inverts (Ramesh),Sparidae,Sparidae,NA,Sparidae,,
300,Stegastes fasciolatus,34.5,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
301,Stegastes leucostictus,24.5,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
302,Stegastes nigricans,24,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
303,Stegastes nigricans,24,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
304,Thalassoma bifasciatum,45,Fish and Inverts (Ramesh),Labridae,Labridae,NA,Labridae,,
305,Thalassoma bifasciatum,49.3,Fish and Inverts (Ramesh),Labridae,Labridae,NA,Labridae,,
306,Trachinus draco,12.9,Fish and Inverts (Ramesh),Trachinidae,Trachinidae,NA,Trachinidae,,
307,Trigla lucerna,19.1,Fish and Inverts (Ramesh),NA,NA,NA,Triglidae,,
308,Mustelus NA,0,Fish and Inverts (Ramesh),NA,NA,NA,NA,,
309,Sphyrna NA,0,Fish and Inverts (Ramesh),NA,NA,NA,NA,,
310,Carcharhinus NA,0,Fish and Inverts (Ramesh),NA,NA,NA,NA,,
311,Acanthaster planci,21,Fish and Inverts (Ramesh),Acanthasteridae,NA,Acanthasteridae,Acanthasteridae,,
312,Luidia foliolata,100.5,Fish and Inverts (Ramesh),Luidiidae,NA,Luidiidae,Luidiidae,,
313,Patiriella calcar,10,Fish and Inverts (Ramesh),NA,NA,NA,Asterinidae,,
314,Patiriella exigua,0,Fish and Inverts (Ramesh),NA,NA,NA,Asterinidae,,
315,Pisaster ochraceus,152,Fish and Inverts (Ramesh),Asteriidae,NA,Asteriidae,Asteriidae,,
316,Pycnopodia helianthoides,118,Fish and Inverts (Ramesh),Asteriidae,NA,Asteriidae,Asteriidae,,
317,Allocentrotus fragilis,196.5,Fish and Inverts (Ramesh),NA,NA,NA,Strongylocentrotidae,,
318,Brisaster latifrons,117,Fish and Inverts (Ramesh),Schizasteridae,NA,Schizasteridae,Schizasteridae,,
319,Dendraster excentricus,115,Fish and Inverts (Ramesh),Dendrasteridae,NA,Dendrasteridae,Dendrasteridae,,
320,Echinometra lucunter,14,Fish and Inverts (Ramesh),Echinometridae,NA,Echinometridae,Echinometridae,,
321,Heliocidaris erythrogramma,3.5,Fish and Inverts (Ramesh),NA,NA,Echinometridae,Echinometridae,,
322,Heliocidaris tuberculata,21,Fish and Inverts (Ramesh),Echinometridae,NA,Echinometridae,Echinometridae,,
323,Paracentrotus lividus,30,Fish and Inverts (Ramesh),Parechinidae,NA,NA,Parechinidae,,
324,Slrongylocentrotus droebachiensis,101.5,Fish and Inverts (Ramesh),NA,NA,NA,Strongylocentrotidae,,
325,Slrongylocentrotus franciscanus,96.5,Fish and Inverts (Ramesh),NA,NA,NA,Strongylocentrotidae,,
326,Slrongylocentrotus pallidus,63,Fish and Inverts (Ramesh),NA,NA,NA,Strongylocentrotidae,,
327,Strongylocentrotus droebachiens,88,Fish and Inverts (Ramesh),NA,NA,NA,Strongylocentrotidae,,
328,Strongylocentrotus franciscanus,100,Fish and Inverts (Ramesh),NA,NA,NA,Strongylocentrotidae,,
329,Strongylocentrotus purpuratus,60,Fish and Inverts (Ramesh),Strongylocentrotidae,NA,Strongylocentro,Strongylocentrotidae,,
330,Strongylocentrotus purpuratus,88,Fish and Inverts (Ramesh),Strongylocentrotidae,NA,Strongylocentro,Strongylocentrotidae,,
331,Cucumaria miniata,12,Fish and Inverts (Ramesh),Cucumariidae,NA,NA,Cucumariidae,,
332,Cucumaria pseudocurata,0,Fish and Inverts (Ramesh),NA,NA,NA,Cucumariidae,,
333,Holothuria nobilis,28,Fish and Inverts (Ramesh),Holothuriidae,NA,NA,Holothuriidae,,
334,Parastichopus californicus,71,Fish and Inverts (Ramesh),NA,NA,NA,Stichopodidae,,
335,Ophiopholis aculeata,149.5,Fish and Inverts (Ramesh),Ophiopholidae,NA,Ophiactidae,Ophiopholidae,,
336,Crassostrea virginica,17.5,Fish and Inverts (Ramesh),Ostreidae,NA,NA,Ostreidae,,
337,Mytilus chilensis,45,Fish and Inverts (Ramesh),NA,NA,NA,Mytilidae,,
338,Ostrea edulis,10,Fish and Inverts (Ramesh),Ostreidae,NA,NA,Ostreidae,,
339,Panopea abrupta,32,Fish and Inverts (Ramesh),Hiatellidae,NA,NA,Hiatellidae,,
340,Panopea abrupta,32,Fish and Inverts (Ramesh),Hiatellidae,NA,NA,Hiatellidae,,
341,Pecten jacobaeus,24.5,Fish and Inverts (Ramesh),Pectinidae,NA,NA,Pectinidae,,
342,Pecten maximus,24.5,Fish and Inverts (Ramesh),Pectinidae,NA,Pectinidae,Pectinidae,,
343,Tridacna derasa,8.5,Fish and Inverts (Ramesh),Cardiidae,NA,NA,Cardiidae,,
344,Tridacna gigas,8.5,Fish and Inverts (Ramesh),Cardiidae,NA,NA,Cardiidae,,
345,Tridacna maxima,8.5,Fish and Inverts (Ramesh),Cardiidae,NA,NA,Cardiidae,,
346,Tridacna maxima,8.5,Fish and Inverts (Ramesh),Cardiidae,NA,NA,Cardiidae,,
347,Adalaria proxima,1.5,Fish and Inverts (Ramesh),Onchidorididae,NA,NA,Onchidorididae,,
348,Aplysia californica,35,Fish and Inverts (Ramesh),Aplysiidae,NA,Anaspidea,Aplysiidae,,
349,Bedeva hanleyi,0,Fish and Inverts (Ramesh),NA,NA,NA,Muricidae,,
350,Buccinum undatum,0,Fish and Inverts (Ramesh),Buccinidae,NA,NA,Buccinidae,,
351,Cellana ornata,7,Fish and Inverts (Ramesh),NA,NA,NA,Nacellidae,,
352,Cellana radians,7,Fish and Inverts (Ramesh),NA,NA,NA,Nacellidae,,
353,Cominella lineolata,0,Fish and Inverts (Ramesh),NA,NA,NA,Cominellidae,,
354,Cuthona adyarensis,13.83,Fish and Inverts (Ramesh),NA,NA,NA,Cuthonidae,,
355,Dolabella aunculana,131.06,Fish and Inverts (Ramesh),NA,NA,NA,Aplysiidae,,
356,Goniodoris nodosa,80.5,Fish and Inverts (Ramesh),NA,NA,NA,Goniodorididae,,
357,Haliotis cracherodii,7.5,Fish and Inverts (Ramesh),Haliotidae,NA,NA,Haliotidae,,
358,Haliotis midae,6,Fish and Inverts (Ramesh),Haliotidae,NA,NA,Haliotidae,,
359,Littorina littorea,35,Fish and Inverts (Ramesh),Littorinidae,NA,NA,Littorinidae,,
360,Littorina saxatilis,0,Fish and Inverts (Ramesh),Littorinidae,NA,NA,Littorinidae,,
361,Morula marginalba,31.5,Fish and Inverts (Ramesh),NA,NA,NA,Muricidae,,
362,Salmacis bicolor,23,Inverts (Marshall),NA,NA,Temnopleuridae,Temnopleuridae,,
363,Macrophiothrix lorioli,23,Inverts (Marshall),NA,NA,Ophiotricidae,Ophiotricidae,,
364,Macrophiothrix belli,3,Inverts (Marshall),NA,NA,Ophiotricidae,Ophiotricidae,,
365,Macrophiothrix longipeda,14,Inverts (Marshall),Ophiotrichidae,NA,Ophiotricidae,Ophiotrichidae,,
366,Macrophiothrix rhabdota,6.88,Inverts (Marshall),NA,NA,Ophiotricidae,Ophiotricidae,,
367,Macrophiothrix nereidina,2.95,Inverts (Marshall),Ophiotrichidae,NA,Ophiotricidae,Ophiotrichidae,,
368,Macrophiothrix koehleri,32,Inverts (Marshall),Ophiotrichidae,NA,Ophiotricidae,Ophiotrichidae,,
369,Macrophiothrix caenosa,5,Inverts (Marshall),NA,NA,Ophiotricidae,Ophiotricidae,,
370,Asthenosoma ijimai,21,Inverts (Marshall),NA,NA,Echinothuriidae,Echinothuriidae,,
371,Crepidula plana,13,Inverts (Marshall),Calyptraeidae,NA,Calyptraeidae,Calyptraeidae,,
372,Leitoscoloplos fragilis,4,Inverts (Marshall),NA,NA,Orbiniidae,Orbiniidae,,
373,Echinaster echinophorus,6,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
374,Echinaster echinophorus,6,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
375,Echinaster echinophorus,6,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
376,Echinaster echinophorus,6,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
377,Echinaster echinophorus,6,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
378,Echinaster echinophorus,6,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
379,Echinaster echinophorus,6,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
380,Echinaster echinophorus,6,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
381,Coscinasterias calamaria,27,Inverts (Marshall),NA,NA,Asteriidae,Asteriidae,,
382,Stichaster australis,38,Inverts (Marshall),NA,NA,Asteriidae,Asteriidae,,
383,Strongylocentrotus purpuratus,51,Inverts (Marshall),Strongylocentrotidae,NA,Strongylocentro,Strongylocentrotidae,,
384,Melibe leonina,38,Inverts (Marshall),NA,NA,Tethydidae,Tethydidae,,
385,Mediaster aequalis,33,Inverts (Marshall),Goniasteridae,NA,Goniasteridae,Goniasteridae,,
386,Pseudopolydora kempi,2,Inverts (Marshall),Spionidae,NA,Spionidae,Spionidae,,
387,Marenzelleria viridis,12,Inverts (Marshall),NA,NA,Spionidae,Spionidae,,
388,Sabellastarte spectabilis,6.67,Inverts (Marshall),Sabellidae,NA,Sabellidae,Sabellidae,,
389,Cryptasterina pentagona,6,Inverts (Marshall),Asterinidae,NA,Asterinidae,Asterinidae,,
390,Cryptasterina pentagona,6,Inverts (Marshall),Asterinidae,NA,Asterinidae,Asterinidae,,
391,Aplysia californica,35,Inverts (Marshall),Aplysiidae,NA,Anaspidea,Aplysiidae,,
392,Hydroides elegans,4.5,Inverts (Marshall),Serpulidae,NA,Serpulidae,Serpulidae,,
393,Rostanga pulchra,35,Inverts (Marshall),NA,NA,Rostangidae,Rostangidae,,
394,Ophiarachnella gorgonia,2.5,Inverts (Marshall),Ophiodermatidae,NA,Ophiodermatidae,Ophiodermatidae,,
395,Odostomia columbiana,70,Inverts (Marshall),NA,NA,Odostomiidae,Odostomiidae,,
396,Crepipatella lingulata,38,Inverts (Marshall),NA,NA,Calyptraeidae,Calyptraeidae,,
397,Crepidula incurva,17,Inverts (Marshall),NA,NA,Calyptraeidae,Calyptraeidae,,
398,Crepidula lessoni,17,Inverts (Marshall),NA,NA,Calyptraeidae,Calyptraeidae,,
399,Crepidula onyx,23,Inverts (Marshall),NA,NA,Calyptraeidae,Calyptraeidae,,
400,Crepidula marginalis,19.5,Inverts (Marshall),NA,NA,Calyptraeidae,Calyptraeidae,,
401,Crucibulum,22,Inverts (Marshall),NA,NA,Calyptraeidae,Calyptraeidae,,
402,Amphibalanus amphitrite,8,Inverts (Marshall),Balanidae,NA,Balanidae,Balanidae,,
403,Dipolydora giardi,25,Inverts (Marshall),NA,NA,Spionidae,Spionidae,,
404,Scolelepis fulginosa,34,Inverts (Marshall),NA,NA,,Spionidae,,
405,Myxicola infundibulum,6.5,Inverts (Marshall),Sabellidae,NA,Sabellidae,Sabellidae,,
406,Evechinus chloroticus,31.3,Inverts (Marshall),NA,NA,Echinometridae,Echinometridae,,
407,Encope michelini,14,Inverts (Marshall),Mellitidae,NA,Mellitidae,Mellitidae,,
408,Encope michelini,14,Inverts (Marshall),Mellitidae,NA,Mellitidae,Mellitidae,,
409,Austromegabalanus nigrescens,18,Inverts (Marshall),NA,NA,Balanidae,Balanidae,,
410,Heliocidaris tuberculata,30,Inverts (Marshall),Echinometridae,NA,Echinometridae,Echinometridae,,
411,Clypeaster subdepressus,16,Inverts (Marshall),Clypeasteridae,NA,Clypeasteridae,Clypeasteridae,,
412,Clypeaster rosaceus,7,Inverts (Marshall),NA,NA,Clypeasteridae,Clypeasteridae,,
413,Echinometra lucunter,23,Inverts (Marshall),Echinometridae,NA,Echinometridae,Echinometridae,,
414,Echinometra vanbrunti,18,Inverts (Marshall),Echinometridae,NA,Echinometridae,Echinometridae,,
415,Tridacna squamosa,11,Inverts (Marshall),Cardiidae,NA,Tridacnidae,Cardiidae,,
416,Acteocina canaliculata,6.5,Inverts (Marshall),NA,NA,Cylichnidae,Cylichnidae,,
417,Asterias rubens,52.5,Inverts (Marshall),Asteriidae,NA,Asteriidae,Asteriidae,,
418,Crossaster papposus,19,Inverts (Marshall),Solasteridae,NA,Solasteridae,Solasteridae,,
419,Arbacia lixula,26,Inverts (Marshall),Arbaciidae,NA,Arbaciidae,Arbaciidae,,
420,Haminoea vesicula,32,Inverts (Marshall),NA,NA,Atyidae,Atyidae,,
421,Pycnopodia helianthoides,65,Inverts (Marshall),Asteriidae,NA,Asteriidae,Asteriidae,,
422,Scottolana canadensis,5,Inverts (Marshall),NA,NA,Canuellidae,Canuellidae,,
423,Strongylocentrotus droebachiensis,36.5,Inverts (Marshall),Strongylocentrotidae,NA,Strongylocentro,Strongylocentrotidae,,
424,Brisaster latifrons,35,Inverts (Marshall),Schizasteridae,NA,Schizasteridae,Schizasteridae,,
425,Echinarachnius parma,32,Inverts (Marshall),Echinarachniidae,NA,Echinarachniida,Echinarachniidae,,
426,Corambe steinbergae,34,Inverts (Marshall),NA,NA,Corambidae,Corambidae,,
427,Corambe obscura,13,Inverts (Marshall),NA,NA,Corambidae,Corambidae,,
428,Phidiana lynceus,7,Inverts (Marshall),Facelinidae,NA,Phidianidae,Facelinidae,,
429,Tritonia hombergii,43,Inverts (Marshall),NA,NA,Tritoniidae,Tritoniidae,,
430,Acanthaster planci,38,Inverts (Marshall),Acanthasteridae,NA,Acanthasteridae,Acanthasteridae,,
431,Encope michelini,7,Inverts (Marshall),Mellitidae,NA,Mellitidae,Mellitidae,,
432,Encope michelini,7,Inverts (Marshall),Mellitidae,NA,Mellitidae,Mellitidae,,
433,Astropecten aranciacus,80,Inverts (Marshall),Astropectinidae,NA,Astropectinidae,Astropectinidae,,
434,Aquilonastra burtoni,5,Inverts (Marshall),Asterinidae,NA,Asterinidae,Asterinidae,,
435,Arachnoides placenta,10,Inverts (Marshall),Clypeasteridae,NA,Arachnoididae,Clypeasteridae,,
436,Aquilonastra batheri,10,Inverts (Marshall),NA,NA,Asterinidae,Asterinidae,,
437,Echinaster echinophorus,10,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
438,Echinaster echinophorus,10,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
439,Echinaster echinophorus,10,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
440,Echinaster echinophorus,10,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
441,Echinaster echinophorus,10,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
442,Echinaster echinophorus,10,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
443,Echinaster echinophorus,10,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
444,Echinaster echinophorus,10,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
445,Ameritella mitchelli,6.5,Inverts (Marshall),NA,NA,Tellinidae,Tellinidae,,
446,Conus canonicus,21,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
447,Conus moreleti,28,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
448,Conus geographus,27,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
449,Conus imperialis,22,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
450,Conus varius,27,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
451,Conus aristophanes,25,Inverts (Marshall),NA,NA,Conidae,Conidae,,
452,Conus eburneus,28,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
453,Conus bandanus,15,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
454,Conus omaria,12,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
455,Conus chaldaeus,25,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
456,Conus araneosus,1.5,Inverts (Marshall),NA,NA,Conidae,Conidae,,
457,Conus suratensis,23,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
458,Conus distans,28,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
459,Conus planorbis,22,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
460,Conus capitaneus,28.5,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
461,Conus tessulatus,19,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
462,Conus litteratus,23,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
463,Conus miles,21,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
464,Conus striatellus,24,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
465,Conus striolatus,21,Inverts (Marshall),NA,NA,Conidae,Conidae,,
466,Conus pennaceus,17,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
467,Conus stercusmuscarum,20,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
468,Conus coffeae,21,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
469,Conus frigidus,22,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
470,Astropecten gisselbrecht,3.38,Inverts (Marshall),NA,NA,Astropectentida,Astropectentida,,
471,Ctenopleura fisheri,15,Inverts (Marshall),NA,NA,Astropectinidae,Astropectinidae,,
472,Aquilonastra coronata,30,Inverts (Marshall),Asterinidae,NA,Asterinidae,Asterinidae,,
473,Aquilonastra minor,10,Inverts (Marshall),NA,NA,Asterinidae,Asterinidae,,
474,Alderia willowi,1.5,Inverts (Marshall),NA,NA,Limapontiidae,Limapontiidae,,
475,Alderia willowi,1.5,Inverts (Marshall),NA,NA,Limapontiidae,Limapontiidae,,
476,Alderia willowi,32,Inverts (Marshall),NA,NA,Limapontiidae,Limapontiidae,,
477,Alderia willowi,32,Inverts (Marshall),NA,NA,Limapontiidae,Limapontiidae,,
478,Alderia modesta,30.5,Inverts (Marshall),NA,NA,Limapontiidae,Limapontiidae,,
479,Elysia marcusi,5.5,Inverts (Marshall),NA,NA,Plakobranchidae,Plakobranchidae,,
480,Ficopomatus miamiensis,4,Inverts (Marshall),NA,NA,Serpulidae,Serpulidae,,
481,Clione limacina,17.5,Inverts (Marshall),Clionidae,NA,Clionidae,Clionidae,,
482,Branchiomma luctuosum,5,Inverts (Marshall),NA,NA,Sabellidae,Sabellidae,,
483,Echinus esculentus,42,Inverts (Marshall),Echinidae,NA,Echinidae,Echinidae,,
484,Galeolaria caespitosa,12,Inverts (Marshall),NA,NA,Serpulidae,Serpulidae,,
485,Conus consors,7,Inverts (Marshall),Conidae,NA,Conidae,Conidae,,
486,Lytechinus variegatus,37,Inverts (Marshall),Toxopneustidae,NA,Toxopneustidae,Toxopneustidae,,
487,Pteraster tesselatus,11,Inverts (Marshall),Pterasteridae,NA,Pterasteridae,Pterasteridae,,
488,Psolidium bullatum,8,Inverts (Marshall),NA,NA,Psolidae,Psolidae,,
489,Psolus chitonoides,28,Inverts (Marshall),Psolidae,NA,Psolidae,Psolidae,,
490,Doris montereyensis,0.5,Inverts (Marshall),Dorididae,NA,Dorididae,Dorididae,,
491,Eupolymnia heterobranchia,7,Inverts (Marshall),NA,NA,Terebellidae,Terebellidae,,
492,Thelepus crispus,2,Inverts (Marshall),Terebellidae,NA,Terebellidae,Terebellidae,,
493,Eucidaris tribuloides,25,Inverts (Marshall),Cidaridae,NA,Cidaridae,Cidaridae,,
494,Actinopyga serratidens,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
495,Actinopyga echinites,18,Inverts (Marshall),Holothuriidae,NA,Holothuriidae,Holothuriidae,,
496,Amphiura chiajei,7,Inverts (Marshall),Amphiuridae,NA,Amphiuridae,Amphiuridae,,
497,Apostichopus japonicus,14,Inverts (Marshall),Stichopodidae,NA,Stichopodidae,Stichopodidae,,
498,Arbacia punctulata,24,Inverts (Marshall),NA,NA,Curculionoidea,Curculionoidea,,
499,Aslia lefevrei,49,Inverts (Marshall),NA,NA,Cucumariidae,Cucumariidae,,
500,Asterias forbesi,25,Inverts (Marshall),NA,NA,Asteriidae,Asteriidae,,
501,Asteropsis carinifera,30,Inverts (Marshall),Asteropseidae,NA,Poraniidae,Asteropseidae,,
502,Astriclypeus mannii,25,Inverts (Marshall),Astriclypeidae,NA,,Astriclypeidae,,
503,Astropecten velitaris,5.5,Inverts (Marshall),Astropectinidae,NA,Astropectinidae,Astropectinidae,,
504,Astropecten polyacanthus,3.5,Inverts (Marshall),Astropectinidae,NA,Astropectinidae,Astropectinidae,,
505,Certonardoa semiregularis,21,Inverts (Marshall),NA,NA,Ophidiasteridae,Ophidiasteridae,,
506,Cryptasterina pentagona,10,Inverts (Marshall),Asterinidae,NA,Asterinidae,Asterinidae,,
507,Cryptasterina pentagona,10,Inverts (Marshall),Asterinidae,NA,Asterinidae,Asterinidae,,
508,Cucumaria piperata,8.5,Inverts (Marshall),Cucumariidae,NA,Cucumariiadae,Cucumariidae,,
509,Cucumaria frondosa,46,Inverts (Marshall),Cucumariidae,NA,Cucumariidae,Cucumariidae,,
510,Diadema setosum,45,Inverts (Marshall),Diadematidae,NA,Diadematidae,Diadematidae,,
511,Echinaster purpureus,4,Inverts (Marshall),NA,NA,Echinasteridae,Echinasteridae,,
512,Echinocardium cordatum,27,Inverts (Marshall),Loveniidae,NA,Loveniidae,Loveniidae,,
513,Eucidaris metularia,30,Inverts (Marshall),Cidaridae,NA,Cidaridae,Cidaridae,,
514,Eucidaris thouarsii,30,Inverts (Marshall),Cidaridae,NA,Cidaridae,Cidaridae,,
515,Eupentacta fraudatrix,6.5,Inverts (Marshall),NA,NA,Sclerodactylida,Sclerodactylida,,
516,Eupentacta quinquesemita,7,Inverts (Marshall),Sclerodactylidae,NA,Sclerodactylida,Sclerodactylidae,,
517,Fromia ghardaqana,24,Inverts (Marshall),NA,NA,Ophidiasteridae,Ophidiasteridae,,
518,Henricia sanguinolenta,42,Inverts (Marshall),Echinasteridae,NA,Echinasteridae,Echinasteridae,,
519,Henricia lisa,45,Inverts (Marshall),NA,NA,Echinasteridae,Echinasteridae,,
520,Heterocentrotus mamillatus,8,Inverts (Marshall),Echinometridae,NA,Echinometridae,Echinometridae,,
521,Holothuria,14,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
522,Holothuria,14,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
523,Holothuria,14,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
524,Holothuria,14,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
525,Holothuria,14,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
526,Holothuria,14,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
527,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
528,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
529,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
530,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
531,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
532,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
533,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
534,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
535,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
536,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
537,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
538,Holothuria,28,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
539,Holothuria,14,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
540,Holothuria,14,Inverts (Marshall),NA,NA,Holothuriidae,Holothuriidae,,
