"","SciName","family","m_index","movement_keyword","mean_pld","sd_pld","n_mean","mean_pld_family","sd_pld_family","n_mean_family","pld"
"450","Parapercis colias","Pinguipedidae",1,"habitat_coastal",NA,NA,NA,41.6,NA,1,41.6
"451","Prolatilus jugularis","Pinguipedidae",2,"habitat_benthic",NA,NA,NA,41.6,NA,1,41.6
"452","Pseudopercis semifasciata","Pinguipedidae",2,"habitat_benthic",NA,NA,NA,41.6,NA,1,41.6
"453","Grammoplites suppositus","Platycephalidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"454","Platycephalus indicus","Platycephalidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"455","Atheresthes evermanni","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"456","Atheresthes stomias","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"457","Eopsetta jordani","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"458","Glyptocephalus cynoglossus","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"459","Glyptocephalus zachirus","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"460","Hippoglossoides elassodon","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"461","Hippoglossoides platessoides","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"462","Hippoglossus hippoglossus","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"463","Lepidopsetta bilineata","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"464","Limanda aspera","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"465","Limanda ferruginea","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"466","Limanda limanda","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"467","Microstomus kitt","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"468","Microstomus pacificus","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"469","Platichthys flesus","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"470","Platichthys stellatus","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"471","Pleuronectes platessa","Pleuronectidae",3,"migratory",100,0,1,93.5,9.19238815542512,2,100
"472","Psettichthys melanostictus","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"473","Pseudopleuronectes americanus","Pleuronectidae",2,"habitat_benthic",87,0,1,93.5,9.19238815542512,2,87
"474","Reinhardtius hippoglossoides","Pleuronectidae",2,"habitat_benthic",NA,NA,NA,93.5,9.19238815542512,2,93.5
"475","Eleutheronema tetradactylum","Polynemidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"476","Galeoides decadactylus","Polynemidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"477","Pentanemus quinquarius","Polynemidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"478","Polydactylus quadrifilis","Polynemidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"479","Polyprion americanus","Polyprionidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"480","Stereolepis gigas","Polyprionidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"481","Pomacanthus maculosus","Pomacanthidae",2,"habitat_reef",NA,NA,NA,26.7616216216216,6.07931214745436,37,26.7616216216216
"482","Pomatomus saltatrix","Pomatomidae",3,"migratory",NA,NA,NA,NA,NA,NA,43.0493696758551
"483","Callinectes danae","Portunidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"484","Callinectes sapidus","Portunidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"485","Portunus pelagicus","Portunidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"486","Portunus trituberculatus","Portunidae",3,"migratory",NA,NA,NA,NA,NA,NA,43.0493696758551
"487","Scylla serrata","Portunidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"488","Priacanthus macracanthus","Priacanthidae",2,"habitat_reef",NA,NA,NA,NA,NA,NA,43.0493696758551
"489","Ilisha africana","Pristigasteridae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"490","Ilisha elongata","Pristigasteridae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"491","Pellona ditchela","Pristigasteridae",3,"pelagic",NA,NA,NA,NA,NA,NA,43.0493696758551
"492","Psettodes erumei","Psettodidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"493","Rachycentron canadum","Rachycentridae",3,"hms",NA,NA,NA,NA,NA,NA,43.0493696758551
"494","Dipturus innominatus","Rajidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"495","Raja clavata","Rajidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"496","Raja rhina","Rajidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"497","Zearaja chilensis","Rajidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"498","Rhinobatos planiceps","Rhinobatidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"499","Rhynchobatus australiae","Rhinobatidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"500","Rhynchobatus djiddensis","Rhinobatidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"501","Coregonus albula","Salmonidae",3,"migratory",28,0,1,36.6153846153846,34.7312022575725,13,28
"502","Coregonus lavaretus","Salmonidae",2,"habitat_coastal",19,0,1,36.6153846153846,34.7312022575725,13,19
"503","Oncorhynchus gorbuscha","Salmonidae",3,"migratory",NA,NA,NA,36.6153846153846,34.7312022575725,13,36.6153846153846
"504","Oncorhynchus keta","Salmonidae",3,"migratory",NA,NA,NA,36.6153846153846,34.7312022575725,13,36.6153846153846
"505","Oncorhynchus kisutch","Salmonidae",3,"migratory",NA,NA,NA,36.6153846153846,34.7312022575725,13,36.6153846153846
"506","Oncorhynchus masou","Salmonidae",3,"migratory",NA,NA,NA,36.6153846153846,34.7312022575725,13,36.6153846153846
"507","Oncorhynchus nerka","Salmonidae",3,"migratory",NA,NA,NA,36.6153846153846,34.7312022575725,13,36.6153846153846
"508","Oncorhynchus tshawytscha","Salmonidae",3,"migratory",NA,NA,NA,36.6153846153846,34.7312022575725,13,36.6153846153846
"509","Salmo salar","Salmonidae",3,"migratory",NA,NA,NA,36.6153846153846,34.7312022575725,13,36.6153846153846
"510","Salmo trutta","Salmonidae",3,"migratory",NA,NA,NA,36.6153846153846,34.7312022575725,13,36.6153846153846
