"","SpeciesID","SciName","family","Fbname","m_index","movement_keyword","source","notes","alt_species"
"194","Fis-29948","Engraulis mordax","Engraulidae","Californian anchovy",3,"pelagic","FB","FB: ""Usually found in coastal waters within about 30 km from shore, but as far out as 480 km, forming large, tightly packed schools.""",""
"195","Fis-29372","Engraulis ringens","Engraulidae","Anchoveta",3,"pelagic","FB","",""
"196","Fis-24013","Epigonus telescopus","Epigonidae","Black cardinal fish",2,"habitat_deep","FB","FB: ""Adults benthic or benthopelagic on the continental slopes... Non-territorial.""",""
"197","Fis-23124","Etmopterus spinax","Etmopteridae","Velvet belly",2,"deep","IUCN","",""
"198","Fis-32753","Fistularia corneta","Fistulariidae","Pacific cornetfish",2,"habitat_reef","FB","FB: ""Adults occur at depths greater than 30 m, along continental and insular margins (Ref. 36710), over rocky substrates (Ref. 37955).""",""
"199","Fis-22850","Boreogadus saida","Gadidae","Polar cod",3,"migratory","FAO","FAO: ""also found at 50-175 km offshore in the Beaufort and Chulkchi Seas, at depths of 40 to 400 m... Migration patterns are unknown, except for a prespawning migration to nearshore waters in late summer in the Beaufort Sea.""",""
"200","Fis-22874","Eleginus gracilis","Gadidae","Saffron cod",2,"habitat_coastal","FAO","FAO: ""Migrations are not extensive.""",""
"201","Fis-30031","Gadiculus argenteus","Gadidae","Silvery pout",2,"habitat_deep","FB","FB: ""Marine; pelagic-oceanic; non-migratory; depth range 100 - 1000 m (Ref. 35388). """,""
"202","Fis-29393","Gadus macrocephalus","Gadidae","Pacific cod",2,"habitat_deep","FAO","FAO: ""Pacific cod does not undertake migrations as extensive as the Atlantic species but moves only for short distances, such as to and from the shore, or from one bank to the other within a limited region.""",""
"203","Fis-29394","Gadus morhua","Gadidae","Atlantic cod",3,"migratory","FAO","FAO: ""Although some groups of small cod are relatively stationary, individuals or groups may perform astonishingly long migrations.""",""
"204","Fis-29395","Gadus ogac","Gadidae","Greenland cod",2,"habitat_coastal","FAO","FAO: ""Usually lives close to the coast, from 0 to 200 m depth, and is rarely found offshore, in deeper water.""",""
"205","Fis-23633","Melanogrammus aeglefinus","Gadidae","Haddock",3,"migratory","FB","",""
"206","Fis-22726","Merlangius merlangus","Gadidae","Whiting",3,"migratory","FB","",""
"207","Fis-22909","Microgadus tomcod","Gadidae","Atlantic tomcod",2,"habitat_coastal","FB","",""
"208","Fis-29452","Micromesistius australis","Gadidae","Southern blue whiting",3,"migratory","FAO","FAO: ""In warm summers, the population of the Falkland/Malvinas current (on the Patagonian shelves of Argentina and southern Chile) migrates southward to S. Georgia, S. Shetland Islands, Elephant Island and the northern part of the Antarctic Peninsula.""",""
"209","Fis-22729","Micromesistius poutassou","Gadidae","Blue whiting",3,"migratory","FAO","",""
"210","Fis-22732","Pollachius pollachius","Gadidae","Pollack",3,"habitat_coastal","FB","FB: ""Found in inshore waters but also down to 200 m depth, in areas with hard bottoms.""",""
"211","Fis-23728","Pollachius virens","Gadidae","Saithe",3,"migratory","FAO","FAO: ""Migrations are known to occur, especially for spawning, to coastal waters in spring and to deeper waters in winter.""",""
"212","Fis-22964","Theragra chalcogramma","Gadidae","Alaska pollock",2,"habitat_deep","REF","Secondary ref: Bailey, K.M. 2000. Shifting control of recruitment of walleye pollock Theragra chalcogramma af ter a ma j or climatic and ecosystem change. Marine Ecology Progress Series, 198:215-224.",""
"213","Fis-23875","Trisopterus esmarkii","Gadidae","Norway pout",3,"migratory","FAO","FAO: ""Migrates for spawning between the Shetland Islands and Norway and out of the Skagerrak, the mayor spawning grounds being located between NW Scotland, Norway, Faeroe Islands and Iceland.""",""
"214","Fis-23876","Trisopterus luscus","Gadidae","Pouting",2,"habitat_coastal","FB","Secondary ref: França, S,., Vinagre, C., Costa, M.J., Cabral, H.N. 2004. Use of the coastal areas adjacent to the Douro estuary as a nursery area for pouting, Trisopterus luscus Linnaeus, 1758. Journal of Applied Ichtyology, 20(2):99-104.",""
"215","Fis-23313","Trisopterus minutus","Gadidae","Poor cod",2,"habitat_benthic","FB","",""
"216","Fis-30039","Gasterosteus aculeatus","Gasterosteidae","Three-spined stickleback",2,"habitat_coastal","FB","",""
"217","Fis-23582","Lepidocybium flavobrunneum","Gempylidae","Escolar",3,"migratory","REF","Secondary ref: Bredntro, K.S., McDowell, J.R., Graves, J.E. 2008. Population genetic structure of escolar (Lepidocybium flavobrunneum). Marine Biology, 155:11-22.",""
"218","Fis-25421","Promethichthys prometheus","Gempylidae","Roudi escolar",2,"habitat_deep","FB","",""
"219","Fis-27035","Rexea solandri","Gempylidae","Silver gemfish",2,"migratory","FB","FB: ""Dense schools of pre-spawners migrate along the continental slope at about 400 m during winter (Ref. 9563). """,""
"220","Fis-30588","Ruvettus pretiosus","Gempylidae","Oilfish",3,"migratory","FB","FB: ""Migrates far offshore (Ref. 26139). Pelagic (Ref. 5951).""",""
"221","Fis-23309","Thyrsites atun","Gempylidae","Snoek",2,"habitat_coastal","REF","Secondary ref: Griffiths, M.H. 2003. Stock structure of snoek Thyrsites atun in the Benguela: a new hypothesis. African Journal of Marine Science. 25:383-386.",""
"222","Fis-22224","Diapterus auratus","Gerreidae","Irish mojarra",2,"habitat_coastal","FB","",""
"223","Fis-33717","Gerres nigri","Gerreidae","Guinean striped mojarra",2,"habitat_benthic","FB","",""
"224","Fis-31544","Gerres oblongus","Gerreidae","Slender silver-biddy",2,"habitat_reef","FB","",""
"225","Fis-25941","Gerres oyena","Gerreidae","Common silver-biddy",2,"habitat_coastal","FB","",""
"226","W-Bch-107369","Chaceon affinis","Geryonidae","deep-sea red crab",2,"habitat_benthic","SLB","",""
"227","W-Bch-394996","Chaceon fenneri","Geryonidae","Gulf of Mexico golden crab",2,"habitat_benthic","SLB","",""
"228","W-Bch-234117","Chaceon maritae","Geryonidae","West African geryon",2,"habitat_benthic","SLB","",""
"229","W-Bch-158407","Chaceon quinquedens","Geryonidae","red deepsea crab",2,"habitat_benthic","SLB","",""
"230","W-Bch-107373","Geryon longipes","Geryonidae","Mediterranean geryon",2,"habitat_benthic","SLB","",""
"231","Fis-24039","Ginglymostoma cirratum","Ginglymostomatidae","Nurse shark",2,"habitat_reef","FB","",""
"232","W-Msc-140025","Glycymeris glycymeris","Glycymerididae","common European bittersweet",1,"sedentary","SLB","",""
"233","Fis-22712","Aphia minuta","Gobiidae","Transparent goby",2,"habitat_coastal","REF","Secondary ref: Tirelli, V., Legovini, S., Borme, D., Di Poi, E., La Mesa, M. 2014. Diel feeding of the transparent goby Aphia minuta (Pisces, Gobiidae) in the Northwestern Adriatic Sea in spring time. Marine Ecology, 37(4):920-026.",""
"234","SLB-71510","Berryteuthis magister","Gonatidae","schoolmaster gonate squid",3,"deep","SLB","",""
"235","Fis-24044","Gymnura altavela","Gymnuridae","Spiny butterfly ray",2,"habitat_benthic","IUCN","",""
"236","Fis-23040","Brachydeuterus auritus","Haemulidae","Bigeye grunt",2,"habitat_coastal","IUCN","",""
"237","Fis-23096","Conodon nobilis","Haemulidae","Barred grunt",2,"habitat_benthic","IUCN","",""
"238","Fis-25134","Diagramma pictum","Haemulidae","Painted sweetlips",2,"habitat_reef","FB","",""
"239","Fis-148979","Haemulon plumierii","Haemulidae","White grunt",2,"habitat_reef","FB","",""
"240","Fis-22885","Isacia conceptionis","Haemulidae","Cabinza grunt",2,"habitat_coastal","FB","",""
"241","Fis-26649","Plectorhinchus gaterinus","Haemulidae","Blackspotted rubberlip",2,"habitat_reef","FB","",""
"242","Fis-22931","Plectorhinchus mediterraneus","Haemulidae","Rubberlip grunt",2,"habitat_benthic","IUCN","",""
"243","Fis-26963","Plectorhinchus pictus","Haemulidae","Trout sweetlips",2,"habitat_reef","IUCN","IUCN: ""This species inhabits coastal rocky and coral reefs (Carpenter et al. 1997).""",""
"244","Fis-26651","Plectorhinchus schotaf","Haemulidae","Minstrel sweetlips",2,"habitat_reef","FB","",""
"245","Fis-26616","Plectorhinchus sordidus","Haemulidae","Sordid rubberlip",2,"habitat_reef","FB","",""
"246","Fis-22934","Pomadasys argenteus","Haemulidae","Silver grunt",2,"habitat_coastal","FB","",""
"247","Fis-25269","Pomadasys jubelini","Haemulidae","Sompat grunt",2,"habitat_coastal","FB","",""
"248","Fis-25948","Pomadasys kaakan","Haemulidae","Javelin grunter",2,"habitat_coastal","FB","",""
"249","Fis-26653","Pomadasys stridens","Haemulidae","Striped piggy",2,"habitat_coastal","FB","",""
"250","W-Msc-445354","Haliotis rubra","Haliotidae","blacklip abalone",1,"sedentary","SLB","",""
"251","W-Msc-140059","Haliotis tuberculata","Haliotidae","tuberculate abalone",1,"sedentary","SLB","",""
"252","Fis-30094","Hemiramphus balao","Hemiramphidae","Balao halfbeak",3,"pelagic","IUCN","IUCN: ""This offshore, surface dwelling species forms large schools and can be associated with pelagic Sargassum in the North Atlantic Ocean and Gulf of Mexico (Coston-Clements et al. 1991, Collette 1999).""",""
"253","Fis-23537","Hemiramphus brasiliensis","Hemiramphidae","Ballyhoo halfbeak",2,"habitat_coastal","REF","Secondary ref: McBride, R.S., Styer, J.R., Hudson, R. 2003. Spawning cycles and habitats for ballyhoo (Hemiramphus brasiliensis) and balao (H. balao) in south Florida. Fish. Bull 101:583–589.",""
"254","Fis-24672","Hexagrammos decagrammus","Hexagrammidae","Kelp greenling",2,"habitat_reef","FB","",""
"255","Fis-29457","Ophiodon elongatus","Hexagrammidae","Lingcod",3,"migratory","FB","FB: ""Both migratory and non-migratory populations exist (Ref. 6885).""",""
"256","Fis-29480","Pleurogrammus azonus","Hexagrammidae","Okhotsk atka mackerel",2,"habitat_benthic","FB","",""
"257","Fis-24901","Pleurogrammus monopterygius","Hexagrammidae","Atka mackerel",2,"habitat_coastal","FB","",""
"258","Fis-23157","Hexanchus griseus","Hexanchidae","Bluntnose sixgill shark",3,"deep","FB","",""
"259","SLB-68942","Panopea abrupta","Hiatellidae","Pacific geoduck clam",1,"sedentary","SLB","",""
"260","W-Msc-545994","Panopea generosa","Hiatellidae","Pacific geoduck",1,"sedentary","SLB","",""
"261","Fis-26163","Sargocentron spiniferum","Holocentridae","Sabre squirrelfish",2,"habitat_reef","FB","",""
"262","W-Hol-210874","Holothuria fuscogilva","Holothuriidae","white teeth",1,"sedentary","SLB","",""
"263","W-Hol-210835","Holothuria nobilis","Holothuriidae","black teatfish",1,"sedentary","SLB","",""
"264","Fis-22765","Istiophorus albicans","Istiophoridae","Atlantic sailfish",3,"hms","FB","",""
"265","Fis-22766","Istiophorus platypterus","Istiophoridae","Indo-Pacific sailfish",3,"hms","FB","",""
"266","Fis-29447","Makaira nigricans","Istiophoridae","Blue marlin",3,"hms","FB","",""
"267","Fis-30712","Tetrapturus angustirostris","Istiophoridae","Shortbill spearfish",3,"hms","FB","",""
"268","Fis-30713","Tetrapturus belone","Istiophoridae","Mediterranean spearfish",3,"hms","FB","",""
"269","Fis-29562","Tetrapturus pfluegeri","Istiophoridae","Longbill spearfish",3,"hms","FB","",""
"270","Fis-32704","Girella tricuspidata","Kyphosidae","Parore",2,"habitat_coastal","FB","",""
"271","Fis-31463","Cheilinus undulatus","Labridae","Humphead wrasse",2,"habitat_reef","FB","",""
"272","Fis-22752","Ctenolabrus rupestris","Labridae","Goldsinny-wrasse",2,"habitat_reef","FB","",""
"273","Fis-29425","Labrus bergylta","Labridae","Ballan wrasse",2,"habitat_reef","FB","",""
"274","Fis-23577","Lachnolaimus maximus","Labridae","Hogfish",2,"habitat_reef","FB","",""
"275","Fis-24990","Semicossyphus pulcher","Labridae","California sheephead",2,"habitat_reef","IUCN","IUCN: ""The fish tend to stay in the same reef and do not move around a lot, as shown by tag-recapture research (DeMartini et al. 1994).""",""
"276","Fis-23293","Tautoga onitis","Labridae","Tautog",2,"habitat_coastal","REF","Secondary ref: Olla, B.L., Bejda, A.J. and Martin, A.D. 1974. Daily activity, movements, feeding and seasonal occurrence in the tautog, Tautoga onitis. Fishery Bulletin 72(1): 27-35.",""
"277","Fis-25027","Tautogolabrus adspersus","Labridae","Cunner",2,"habitat_coastal","FB","",""
"278","Fis-25198","Xyrichtys novacula","Labridae","Pearly razorfish",2,"habitat_coastal","FB","",""
"279","Fis-22886","Lactarius lactarius","Lactariidae","False trevally",2,"habitat_coastal","FB","",""
"280","Fis-58485","Isurus oxyrinchus","Lamnidae","Shortfin mako",3,"migratory","FB","",""
"281","Fis-22768","Lamna nasus","Lamnidae","Porbeagle",3,"migratory","FB","",""
"282","Fis-23580","Lampris guttatus","Lampridae","Opah",3,"pelagic","FB","",""
"283","Fis-25202","Lateolabrax japonicus","Lateolabracidae","Japanese seabass",2,"habitat_reef","FB","",""
"284","Fis-22888","Lates calcarifer","Latidae","Barramundi",2,"habitat_coastal","FB","",""
"285","Fis-30225","Lethrinus atlanticus","Lethrinidae","Atlantic emperor",2,"habitat_reef","FB","",""
"286","Fis-30226","Lethrinus borbonicus","Lethrinidae","Snubnose emperor",2,"habitat_reef","FB","",""
"287","Fis-23589","Lethrinus harak","Lethrinidae","Thumbprint emperor",2,"habitat_reef","FB","",""
"288","Fis-23590","Lethrinus lentjan","Lethrinidae","Pink ear emperor",2,"habitat_reef","FB","",""
"289","Fis-23894","Lethrinus mahsena","Lethrinidae","Sky emperor",2,"habitat_reef","FB","",""
"290","Fis-30234","Lethrinus microdon","Lethrinidae","Smalltooth emperor",2,"habitat_reef","FB","",""
"291","Fis-23592","Lethrinus nebulosus","Lethrinidae","Spangled emperor",2,"habitat_reef","FB","",""
"292","Fis-23593","Lethrinus obsoletus","Lethrinidae","Orange-striped emperor",2,"habitat_reef","FB","",""
"293","Fis-30241","Lethrinus xanthochilus","Lethrinidae","Yellowlip emperor",2,"habitat_reef","FB","",""
"294","Fis-23642","Monotaxis grandoculis","Lethrinidae","Humpnose big-eye bream",2,"habitat_reef","FB","",""
"295","W-Mer-150514","Limulus polyphemus","Limulidae","horseshoe crab",2,"habitat_benthic","IUCN","",""
"296","SLB-100969","Lithodes santolla","Lithodidae","Southern king crab",2,"habitat_benthic","SLB","",""
"297","ITS-97937","Paralithodes brevipes","Lithodidae",NA,2,"habitat_benthic","SLB","",""
"298","ITS-97935","Paralithodes camtschaticus","Lithodidae","red king crab",2,"habitat_benthic","SLB","",""
"299","ITS-97936","Paralithodes platypus","Lithodidae","blue king crab",2,"habitat_benthic","SLB","",""
"300","SLB-88752","Paralomis granulosa","Lithodidae","false king crab",2,"habitat_benthic","SLB","",""
"301","W-Msc-140262","Littorina littorea","Littorinidae","common periwinkle",1,"sedentary","SLB","",""
"302","W-Msc-140271","Loligo vulgaris","Loliginidae","European squid",3,"migratory","IUCN","IUCN: ""Horizontal migrations also take place due to environmental factors; animals migrate into deeper waters during the winter. Offshore and onshore migrations also take place in relation to reproduction.""",""
"303","W-Msc-220317","Sepioteuthis lessoniana","Loliginidae","bigfin reef squid",2,"habitat_coastal","SLB","",""
"304","Fis-29432","Lophius americanus","Lophiidae","American angler",2,"habitat_benthic","FB","",""
"305","Fis-31236","Lophius budegassa","Lophiidae","Blackbellied angler",2,"habitat_benthic","FB","",""
"306","Fis-30247","Lophius gastrophysus","Lophiidae","Blackfin goosefish",2,"habitat_benthic","FB","",""
"307","Fis-29433","Lophius piscatorius","Lophiidae","Angler",2,"habitat_benthic","FB","",""
"308","Fis-33842","Lophius vomerinus","Lophiidae","Devil anglerfish",2,"habitat_benthic","FB","",""
"309","Fis-22740","Brosme brosme","Lotidae","Tusk",2,"habitat_benthic","FB","",""
"310","Fis-23641","Molva dypterygia","Lotidae","Blue ling",2,"habitat_benthic","FB","or habitat_deep",""
"311","Fis-22730","Molva molva","Lotidae","Ling",2,"habitat_benthic","FB","or habitat_deep",""
"312","Fis-29276","Aphareus rutilans","Lutjanidae","Rusty jobfish",2,"habitat_reef","FB","",""
"313","Fis-29278","Aprion virescens","Lutjanidae","Green jobfish",2,"habitat_reef","FB","",""
"314","Fis-29288","Apsilus fuscus","Lutjanidae","African forktail snapper",2,"habitat_reef","FB","",""
"315","Fis-58147","Hoplopagrus guentherii","Lutjanidae","Mexican barred snapper",2,"habitat_reef","FB","",""
"316","Fis-23611","Lutjanus analis","Lutjanidae","Mutton snapper",2,"habitat_reef","FB","",""
"317","Fis-23614","Lutjanus argentimaculatus","Lutjanidae","Mangrove red snapper",2,"habitat_reef","FB","",""
"318","Fis-23615","Lutjanus argentiventris","Lutjanidae","Yellow snapper",2,"habitat_reef","FB","",""
"319","Fis-23619","Lutjanus bohar","Lutjanidae","Two-spot red snapper",2,"habitat_reef","FB","",""
"320","Fis-23621","Lutjanus buccanella","Lutjanidae","Blackfin snapper",2,"habitat_coastal","FB","",""
"321","Fis-23622","Lutjanus campechanus","Lutjanidae","Northern red snapper",2,"habitat_reef","FB","",""
"322","Fis-23625","Lutjanus cyanopterus","Lutjanidae","Cubera snapper",2,"habitat_reef","FB","",""
"323","Fis-22894","Lutjanus gibbus","Lutjanidae","Humpback red snapper",2,"habitat_reef","FB","",""
"324","Fis-22895","Lutjanus griseus","Lutjanidae","Grey snapper",2,"habitat_reef","FB","",""
"325","Fis-22779","Lutjanus guttatus","Lutjanidae","Spotted rose snapper",2,"habitat_reef","FB","",""
"326","Fis-22896","Lutjanus johnii","Lutjanidae","John's snapper",2,"habitat_reef","FB","",""
"327","Fis-22783","Lutjanus kasmira","Lutjanidae","Common bluestripe snapper",2,"habitat_reef","FB","",""
"328","Fis-22788","Lutjanus malabaricus","Lutjanidae","Malabar blood snapper",2,"habitat_reef","FB","",""
"329","Fis-22792","Lutjanus peru","Lutjanidae","Pacific red snapper",2,"habitat_reef","FB","",""
"330","Fis-22220","Lutjanus purpureus","Lutjanidae","Southern red snapper",2,"habitat_reef","FB","",""
"331","Fis-22793","Lutjanus quinquelineatus","Lutjanidae","Five-lined snapper",2,"habitat_reef","FB","",""
"332","Fis-22798","Lutjanus synagris","Lutjanidae","Lane snapper",2,"habitat_reef","FB","",""
"333","Fis-22802","Lutjanus vivanus","Lutjanidae","Silk snapper",2,"habitat_reef","FB","",""
"334","Fis-22804","Ocyurus chrysurus","Lutjanidae","Yellowtail snapper",2,"habitat_reef","FB","",""
"335","Fis-22946","Rhomboplites aurorubens","Lutjanidae","Vermilion snapper",2,"habitat_reef","FB","or habitat_deep",""
"336","Fis-13666","Coelorinchus chilensis","Macrouridae","Chilean grenadier",2,"habitat_deep","FB","FB: ""Marine; bathydemersal; non-migratory""",""
"337","Fis-29359","Coryphaenoides rupestris","Macrouridae","Roundnose grenadier",2,"habitat_deep","FB","",""
"338","Fis-32851","Lepidorhynchus denticulatus","Macrouridae","Thorntooth grenadier",2,"habitat_deep","FB","",""
"339","Fis-29445","Macrourus berglax","Macrouridae","Roughhead grenadier",2,"habitat_deep","FB","",""
"340","Fis-26408","Macrourus carinatus","Macrouridae","Ridge scaled rattail",2,"habitat_deep","FB","",""
"341","Fis-26409","Macrourus whitsoni","Macrouridae","Whitson's grenadier",2,"habitat_deep","FB","",""
"342","W-Msc-140301","Spisula solida","Mactridae","solid surf clam",1,"sedentary","SLB","",""
"343","W-Msc-156996","Spisula solidissima","Mactridae","Atlantic surfclam",1,"sedentary","SLB","",""
"344","W-Bch-107350","Maja squinado","Majidae","spinous spider crab",2,"habitat_benthic","SLB","",""
"345","Fis-29317","Caulolatilus microps","Malacanthidae","Grey tilefish",1,"sedentary","IUCN","IUCN: ""It is generally not migratory and most likely inhabits burrows as do most of its congeners.""",""
"346","Fis-24482","Caulolatilus princeps","Malacanthidae","Ocean whitefish",2,"habitat_reef","FB","",""
"347","Fis-29435","Lopholatilus chamaeleonticeps","Malacanthidae","Great northern tilefish",1,"sedentary","IUCN","IUCN: ""This bottom dwelling species occurs mostly on silt-clay substrate and is more common where there is suitable substrate for burrow construction, such as scour depressions around boulders or rubble piles; also often near submarine canyons (Valentine et al. 1980, Able et al. 1982, Low and Ulrich 1983, Grossman et al. 1985).""",""
"348","Fis-24763","Malacanthus plumieri","Malacanthidae","Sand tilefish",2,"habitat_benthic","FB","",""
"349","Fis-2518","Megalops atlanticus","Megalopidae","Tarpon",3,"migratory","IUCN","IUCN: ""Tarpon may have resident, migratory, or mixed populations (Robins et al. 1977). Tagging studies indicate that some mature tarpon may undertake substantial and alongshore migrations (Ault et al. 2005, Luo et al. 2008), while others are residents of particular locations (Guindon unpublished data, sensu Robichaud and Rose 2004). These movements may represent repeated migratory patterns, or there may be significant annual variation in the movement pattern of individuals (Ault et al. 2008). Seasonal migrations may also occur. Migrations cross state and federal boundaries, which may impact regulation.""",""
"350","Fis-22902","Megalops cyprinoides","Megalopidae","Indo-Pacific tarpon",2,"habitat_coastal","FB","",""
"351","Fis-22903","Mene maculata","Menidae","Moonfish",2,"habitat_reef","FB","",""
"352","W-Bch-422070","Menippe mercenaria","Menippidae","stone crab",1,"sedentary","SLB","SLB: ""burrows""",""
"353","Fis-29446","Macruronus magellanicus","Merlucciidae","Patagonian grenadier",3,"migratory","REF","Secondary ref: Machado-Schiaffino, G., Garcia-Vasquez, E. 2011. Population structure of long tailed hake Macruronus magellanicus in the Pacific and Atlantic oceans: Implications for fisheries management. Fisheries Research, 111(3):164-169.",""
"354","Fis-23632","Macruronus novaezelandiae","Merlucciidae","Blue grenadier",3,"deep","FB","FB: "" Migrates southward in spring and summer and northward in winter (Ref. 1371)""",""
"355","Fis-23634","Merluccius albidus","Merlucciidae","Offshore silver hake",3,"pelagic","REF","Secondary ref: Traver, M.L., Alade, L., Sosebee, K.A. 2012. Population biology of a data poor species, offshore hake (Merluccius albidus) in the northwest Atlantic, United States. Fisheries Research, 114:42-51.",""
"356","Fis-22905","Merluccius australis","Merlucciidae","Southern hake",3,"migratory","FB","FB: ""Adults probably migrate southward during the southern summer for feeding and return to the north in winter for spawning (Ref. 1371)""",""
"357","Fis-22906","Merluccius bilinearis","Merlucciidae","Silver hake",3,"migratory","FB","FB: ""Exhibits seasonal onshore-offshore migration (Ref. 9988).""",""
"358","Fis-30290","Merluccius capensis","Merlucciidae","Shallow-water Cape hake",3,"migratory","FB","FB: ""Migrates southward in the spring and northward in autumn (Ref. 1371). """,""
"359","Fis-60060","Merluccius gayi","Merlucciidae","South Pacific hake",3,"migratory","FB","FB: ""Moves to southern coastal areas in summer and migrates to northern deeper waters (200-500 m depth) in winter and spring (Ref. 27363).""",""
"360","Fis-29449","Merluccius hubbsi","Merlucciidae","Argentine hake",3,"migratory","FB","FB: ""Migrate inshore during spring and summer, and offshore into deep water wintering areas after spawning; also undertake diel vertical migrations (Ref. 1371).""",""
"361","Fis-22727","Merluccius merluccius","Merlucciidae","European hake",2,"habitat_deep","FB","",""
"362","Fis-29450","Merluccius polli","Merlucciidae","Benguela hake",2,"habitat_deep","FB","",""
"363","Fis-22908","Merluccius productus","Merlucciidae","North Pacific hake",3,"migratory","FB","FB: ""Adults live in large schools in waters overlying the continental shelf and slope except during the spawning season when they are found several hundred miles seaward (Ref. 1371).""",""
"364","Fis-29451","Merluccius senegalensis","Merlucciidae","Senegalese hake",3,"migratory","FB","FB: ""Undergoes seasonal latitudinal migrations (Ref. 9709). """,""
"365","W-Msc-367843","Mesodesma donacium","Mesodesmatidae","Macha clam",1,"sedentary","SLB","",""
"366","W-Msc-505806","Paphies australis","Mesodesmatidae","pipi wedge clam",1,"sedentary","SLB","",""
"367","Fis-23284","Stephanolepis cirrhifer","Monacanthidae","Threadsail filefish",2,"habitat_coastal","IUCN","",""
"368","Fis-23905","Antimora rostrata","Moridae","Blue antimora",3,"deep","FB","",""
"369","Fis-23643","Mora moro","Moridae","Common mora",3,"deep","FB","FB: Ref. 9563, Ref .  4774",""
"370","Fis-24302","Pseudophycis bachus","Moridae","Red codling",2,"habitat_benthic","FB","or habitat_deep",""
"371","Fis-22948","Salilota australis","Moridae","Tadpole codling",3,"deep","FB","",""
"372","Fis-22755","Dicentrarchus labrax","Moronidae","European seabass",2,"habitat_coastal","REF","Secondary ref: Naciri, M., Lemaire, C., Borsa, P., Bonhomme, F. 1999. Genetic study of the Atlantic/Mediterranean transition in sea bass (Dicentrarchus labrax). The Journal of Heredity, 90(6):591-596.",""
"373","Fis-22873","Dicentrarchus punctatus","Moronidae","Spotted seabass",2,"habitat_coastal","FB","",""
"374","Fis-22911","Morone saxatilis","Moronidae","Striped bass",2,"habitat_coastal","FB","",""
"375","Fis-29424","Joturus pichardi","Mugilidae","Bobo mullet",2,"habitat_coastal","FB","",""
"376","Fis-23602","Liza aurata","Mugilidae","Golden grey mullet",2,"habitat_coastal","FB","",""
"377","Fis-131339","Liza klunzingeri","Mugilidae","Klunzinger's mullet",2,"habitat_coastal","IUCN","IUCN: ""Liza klunzingeri lives in shallow coastal waters. In Iraq, Liza klunzingeri is known to ascend rivers for feeding (M. Almukhtar pers. comm. 2014).""",""
"378","Fis-23603","Liza saliens","Mugilidae","Leaping mullet",2,"habitat_coastal","FB","",""
"379","Fis-29454","Mugil cephalus","Mugilidae","Flathead grey mullet",2,"habitat_coastal","FB","",""
"380","Fis-22157","Mugil curema","Mugilidae","White mullet",2,"habitat_coastal","FB","",""
"381","Fis-22305","Mugil liza","Mugilidae","Lebranche mullet",3,"migratory","FB","FB: ""Appear to undergo trophic migrations along the coasts (Ref. 35237).""",""
"382","Fis-25929","Mulloidichthys flavolineatus","Mullidae","Yellowstripe goatfish",2,"habitat_reef","FB","",""
"383","Fis-60981","Mullus argentinae","Mullidae","Argentine goatfish",2,"habitat_benthic","FB","",""
"384","Fis-153573","Mullus barbatus","Mullidae","Red mullet",2,"habitat_benthic","FB","",""
"385","Fis-30320","Mullus surmuletus","Mullidae","Surmullet",2,"habitat_benthic","FB","",""
"386","Fis-29492","Pseudupeneus prayensis","Mullidae","West African goatfish",2,"habitat_benthic","FB","",""
"387","SLB-88651","Cervimunida johni","Munididae","Blue squat lobster",2,"habitat_benthic","SLB","",""
"388","SLB-88792","Pleuroncodes monodon","Munididae","Carrot squat lobster",3,"migratory","REF","Secondary ref: Roa, R. and Tapia, F., 2000. Cohorts in space: geostatistical mapping of the age structure of the squat lobster Pleuroncodes monodon population off central Chile. Marine Ecology Progress Series, 196, pp.239-251. ""...long distances traveled by adult cohorts..."" ""We conclude that cohorts in this population do radiate away from the nursery ground, during a 1-way lifelong migration""",""
"389","Fis-28979","Cynoponticus coniceps","Muraenesocidae","Red pike conger",1,"sedentary","FB","",""
"390","Fis-22912","Muraenesox cinereus","Muraenesocidae","Daggertooth pike conger",1,"sedentary","REF","Secondary ref: Kobayashi, Y., Mototani, T., Murayama, F., Sakamoto, T. 2015. Basic reproductive biology of daggertooth pike conger, Muraenesox cinereus: A possible model for oogenesis in Anguilliformes. Zoological Letters, 1(25).",""
"391","Fis-30321","Muraena helena","Muraenidae","Mediterranean moray",1,"territorial","FB","",""
"392","W-Msc-395353","Concholepas concholepas","Muricidae","Chilean abalone",1,"sedentary","SLB","",""
"393","W-Msc-140430","Mya arenaria","Myidae","softshell clam",1,"sedentary","SLB","",""
"394","Fis-25062","Myliobatis aquila","Myliobatidae","Common eagle ray",2,"habitat_coastal","FB","",""
"395","SLB-88643","Aulacomya ater","Mytilidae","Chilean ribbed mussel",1,"sedentary","SLB","",""
"396","W-Msc-506001","Choromytilus chorus","Mytilidae","Choro mussel",1,"sedentary","SLB","",""
"397","W-Msc-506159","Mytilus coruscus","Mytilidae","Far eastern mussel",1,"sedentary","SLB","",""
"398","W-Msc-140480","Mytilus edulis","Mytilidae","blue mussel",1,"sedentary","SLB","",""
"399","W-Msc-140481","Mytilus galloprovincialis","Mytilidae","Mediterranean mussel",1,"sedentary","SLB","",""
"400","W-Msc-140483","Perna perna","Mytilidae","South American rock mussel",1,"sedentary","SLB","",""
"401","W-Msc-367822","Perna viridis","Mytilidae","Asian brown mussel",1,"sedentary","SLB","",""
