"","SciName","PLD","database","Family","part_of_stock_list"
"83","Theragra chalcogramma",108,"Fish and Inverts (Ramesh)","Gadidae",TRUE
"84","Katsuwonus pelamis",21.1,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"85","Dentex hasta",1.66,"Fish and Inverts (Ramesh)","Sparidae",FALSE
"86","Semicossyphus pulcher",52,"Fish and Inverts (Ramesh)","Labridae",TRUE
"87","Pagrus major",47,"Fish and Inverts (Ramesh)","Sparidae",TRUE
"88","Mugil salmoneus",45.1,"Fish and Inverts (Ramesh)","Mugilidae",FALSE
"89","Mugil salmoneus",45.2,"Fish and Inverts (Ramesh)","Mugilidae",FALSE
"90","Mugil salmoneus",45.11,"Fish and Inverts (Ramesh)","Mugilidae",FALSE
"91","Mugil salmoneus",45,"Fish and Inverts (Ramesh)","Mugilidae",FALSE
"92","Auxis thazard",10,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"93","Sardinops sagax",46.5,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"94","Sardinops sagax",46,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"95","Sardinops sagax",45.75,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"96","Sardinops sagax",47.7,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"97","Mallotus villosus",150,"Fish and Inverts (Ramesh)","Osmeridae",TRUE
"98","Scomber scombrus",46,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"99","Scomber scombrus",46,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"100","Scomber scombrus",42.06,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"101","Scomber scombrus",47.38,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"102","Scomberomorus cavalla",12,"Fish and Inverts (Ramesh)","Scombridae",TRUE
"103","Lutjanus triangulum",22,"Fish and Inverts (Ramesh)","Lutjanidae",FALSE
"104","Micromesistius poutassou",4,"Fish and Inverts (Ramesh)","Gadidae",TRUE
"105","Micromesistius poutassou",11.5,"Fish and Inverts (Ramesh)","Gadidae",TRUE
"106","Scomber thynnus",31,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"107","Scomber maculatus",9.65,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"108","Scomber maculatus",10.02,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"109","Scomber maculatus",10.04,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"110","Decapterus polyaspis",1.5,"Fish and Inverts (Ramesh)","Carangidae",FALSE
"111","Coregonus brevis",28,"Fish and Inverts (Ramesh)","Salmonidae",FALSE
"112","Clupea harengus",160,"Fish and Inverts (Ramesh)","Clupeidae",TRUE
"113","Trachurus symmetricus symmetricus",1.5,"Fish and Inverts (Ramesh)","Carangidae",FALSE
"114","Morone rufa",85,"Fish and Inverts (Ramesh)","Moronidae",FALSE
"115","Coregonus albula",28,"Fish and Inverts (Ramesh)","Salmonidae",TRUE
