"","SciName","PLD","database","Family","part_of_stock_list"
"653","Bugula neritina",0.5,"Inverts (Marshall)","Bugulidae",FALSE
"654","Bugulina stolonifera",0.5,"Inverts (Marshall)","Bugulidae",FALSE
"655","Bugulina simplex",0.5,"Inverts (Marshall)","Bugulidae",FALSE
"656","Elysia chlorotica",14.5,"Inverts (Marshall)","Plakobranchidae",FALSE
"657","Heliocidaris erythrogramma",4.35,"Inverts (Marshall)","Echinometridae",FALSE
"658","Ophelia bicornis",5.5,"Inverts (Marshall)","Opheliidae",FALSE
"659","Haliotis coccoradiata",5,"Inverts (Marshall)","Haliotidae",FALSE
"660","Ophidiaster granifer",9,"Inverts (Marshall)","Ophidiasteridae",FALSE
"661","Culcita novaeguineae",17,"Inverts (Marshall)","Oreasteridae",FALSE
"662","Gomophia egyptiaca",4,"Inverts (Marshall)","Ophidiasteridae",FALSE
"663","Ectopleura crocea",1,"Inverts (Marshall)","Tubulariidae",FALSE
"664","Conus biliosus",26,"Inverts (Marshall)","Conidae",FALSE
"665","Conus coronatus",27,"Inverts (Marshall)","Conidae",FALSE
"666","Scorpaena porcus",29,"Manual input","Scorpaenidae",FALSE
"667","Scorpaena scofra",25,"Manual input","Scorpaenidae",FALSE
"668","Uropterygius micropterus",54.6,"Manual input","Muraenidae",FALSE
"669","Gymnapogon urospilotus",34.6,"Fontoura et al. 2022","Apogonidae",FALSE
"670","Acanthemblemaria aspera",20.7,"Fontoura et al. 2022","Chaenopsidae",FALSE
"671","Gillellus uranidea",20.9,"Fontoura et al. 2022","Dactyloscopidae",FALSE
"672","Barbulifer ceuthoecus",39.2,"Fontoura et al. 2022","Gobiidae",FALSE
"673","Coryphopterus kuna",61.35,"Fontoura et al. 2022","Gobiidae",FALSE
"674","Elacatinus evelynae",22.3,"Fontoura et al. 2022","Gobiidae",FALSE
"675","Elacatinus randalli",38,"Fontoura et al. 2022","Gobiidae",FALSE
"676","Eviota melasma",26.2,"Fontoura et al. 2022","Gobiidae",FALSE
"677","Eviota queenslandica",24.2,"Fontoura et al. 2022","Gobiidae",FALSE
"678","Eviota sigillata",24.7,"Fontoura et al. 2022","Gobiidae",FALSE
"679","Gobiosoma grosvenori",21.3,"Fontoura et al. 2022","Gobiidae",FALSE
"680","Paragobiodon echinocephalus",36,"Fontoura et al. 2022","Gobiidae",FALSE
"681","Paragobiodon lacunicolus",31,"Fontoura et al. 2022","Gobiidae",FALSE
"682","Paragobiodon melanosomus",42.3,"Fontoura et al. 2022","Gobiidae",FALSE
"683","Priolepis hipoliti",55.4,"Fontoura et al. 2022","Gobiidae",FALSE
"684","Trimma benjamini",33.9,"Fontoura et al. 2022","Gobiidae",FALSE
"685","Trimma nasa",33.9,"Fontoura et al. 2022","Gobiidae",FALSE
"686","Axoclinus nigricaudus",18,"Fontoura et al. 2022","Tripterygiidae",FALSE
"687","Enneapterygius atriceps",30,"Fontoura et al. 2022","Tripterygiidae",FALSE
"688","Apogon aurolineatus",19.5,"Fontoura et al. 2022","Apogonidae",FALSE
"689","Apogon binotatus",20.1,"Fontoura et al. 2022","Apogonidae",FALSE
"690","Apogon compressus",24,"Fontoura et al. 2022","Apogonidae",FALSE
"691","Apogon cyanosoma",21.1,"Fontoura et al. 2022","Apogonidae",FALSE
"692","Apogon doederleini",22.6,"Fontoura et al. 2022","Apogonidae",FALSE
"693","Apogon exostigma",33.5,"Fontoura et al. 2022","Apogonidae",FALSE
"694","Apogon fraenatus",25.3,"Fontoura et al. 2022","Apogonidae",FALSE
"695","Apogon imberbis",21.3,"Fontoura et al. 2022","Apogonidae",FALSE
"696","Apogon maculatus",20.7,"Fontoura et al. 2022","Apogonidae",FALSE
"697","Apogon nigrofasciatus",18.5,"Fontoura et al. 2022","Apogonidae",FALSE
"698","Apogon novemfasciatus",29.7,"Fontoura et al. 2022","Apogonidae",FALSE
"699","Apogon properuptus",19.2,"Fontoura et al. 2022","Apogonidae",FALSE
"700","Apogon pseudomaculatus",26.8,"Fontoura et al. 2022","Apogonidae",FALSE
"701","Apogon quadrisquamatus",18.7,"Fontoura et al. 2022","Apogonidae",FALSE
"702","Astrapogon stellatus",20.2,"Fontoura et al. 2022","Apogonidae",FALSE
"703","Cheilodipterus macrodon",16.3,"Fontoura et al. 2022","Apogonidae",FALSE
"704","Cheilodipterus quinquelineatus",17.97,"Fontoura et al. 2022","Apogonidae",FALSE
"705","Foa brachygramma",30.6,"Fontoura et al. 2022","Apogonidae",FALSE
"706","Fowleria marmorata",41.3,"Fontoura et al. 2022","Apogonidae",FALSE
"707","Nectamia bandanensis",24.5,"Fontoura et al. 2022","Apogonidae",FALSE
"708","Phaeoptyx pigmentaria",20,"Fontoura et al. 2022","Apogonidae",FALSE
"709","Sphaeraemia orbicularis",17,"Fontoura et al. 2022","Apogonidae",FALSE
"710","Hypleurochilus bermudensis",25.4,"Fontoura et al. 2022","Blenniidae",FALSE
"711","Ophioblennius macclurei",38,"Fontoura et al. 2022","Blenniidae",FALSE
"712","Ophioblennius steindachneri",50,"Fontoura et al. 2022","Blenniidae",FALSE
"713","Parablennius marmoreus",23.4,"Fontoura et al. 2022","Blenniidae",FALSE
"714","Parablennius pilicornis",30.5,"Fontoura et al. 2022","Blenniidae",FALSE
"715","Petroscirtes fallax",21,"Fontoura et al. 2022","Blenniidae",FALSE
"716","Amblygobius phalaena",19.66,"Fontoura et al. 2022","Gobiidae",FALSE
"717","Bathygobius coalitus",40,"Fontoura et al. 2022","Gobiidae",FALSE
"718","Bathygobius soporator",29,"Fontoura et al. 2022","Gobiidae",FALSE
"719","Nes longus",29,"Fontoura et al. 2022","Gobiidae",FALSE
"720","Labrisomus nuchipinnis",25,"Fontoura et al. 2022","Labrisomidae",FALSE
"721","Malacoctenus hubbsi",24,"Fontoura et al. 2022","Labrisomidae",FALSE
"722","Abudefduf abdominalis",20.85,"Fontoura et al. 2022","Pomacentridae",FALSE
"723","Abudefduf bengalensis",22.8,"Fontoura et al. 2022","Pomacentridae",FALSE
"724","Abudefduf concolor",20.85,"Fontoura et al. 2022","Pomacentridae",FALSE
"725","Abudefduf declivifrons",21.9,"Fontoura et al. 2022","Pomacentridae",FALSE
"726","Abudefduf lorenzi",23,"Fontoura et al. 2022","Pomacentridae",FALSE
"727","Abudefduf saxatilis",23.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"728","Abudefduf sexfasciatus",19.4,"Fontoura et al. 2022","Pomacentridae",FALSE
"729","Abudefduf sordidus",26.1,"Fontoura et al. 2022","Pomacentridae",FALSE
"730","Abudefduf taurus",24.45,"Fontoura et al. 2022","Pomacentridae",FALSE
"731","Abudefduf troschelii",18.1,"Fontoura et al. 2022","Pomacentridae",FALSE
"732","Abudefduf vaigiensis",21.13,"Fontoura et al. 2022","Pomacentridae",FALSE
"733","Abudefduf whitleyi",18.3,"Fontoura et al. 2022","Pomacentridae",FALSE
"734","Acanthochromis polyacanthus",1,"Fontoura et al. 2022","Pomacentridae",FALSE
"735","Amblyglyphidodon aureus",16.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"736","Amblyglyphidodon curacao",15.68,"Fontoura et al. 2022","Pomacentridae",FALSE
"737","Amblyglyphidodon leucogaster",16.35,"Fontoura et al. 2022","Pomacentridae",FALSE
"738","Amblyglyphidodon ternatensis",20,"Fontoura et al. 2022","Pomacentridae",FALSE
"739","Amphiprion akindynos",12.4,"Fontoura et al. 2022","Pomacentridae",FALSE
"740","Amphiprion chrysopterus",17,"Fontoura et al. 2022","Pomacentridae",FALSE
"741","Amphiprion clarkii",12.15,"Fontoura et al. 2022","Pomacentridae",FALSE
"742","Amphiprion melanopus",12.4,"Fontoura et al. 2022","Pomacentridae",FALSE
"743","Amphiprion percula",10.8,"Fontoura et al. 2022","Pomacentridae",FALSE
"744","Amphiprion perideraion",14.3,"Fontoura et al. 2022","Pomacentridae",FALSE
"745","Amphiprion polymnus",11,"Fontoura et al. 2022","Pomacentridae",FALSE
"746","Amphiprion tricinctus",10.1,"Fontoura et al. 2022","Pomacentridae",FALSE
"747","Chromis agilis",32.7,"Fontoura et al. 2022","Pomacentridae",FALSE
"748","Chromis alpha",30,"Fontoura et al. 2022","Pomacentridae",FALSE
"749","Chromis alta",18.7,"Fontoura et al. 2022","Pomacentridae",FALSE
"750","Chromis amboinensis",22.1,"Fontoura et al. 2022","Pomacentridae",FALSE
"751","Chromis atrilobata",30.95,"Fontoura et al. 2022","Pomacentridae",FALSE
"752","Chromis atripectoralis",19,"Fontoura et al. 2022","Pomacentridae",FALSE
"753","Chromis atripes",30,"Fontoura et al. 2022","Pomacentridae",FALSE
"754","Chromis caerulea",26,"Fontoura et al. 2022","Pomacentridae",FALSE
"755","Chromis caudalis",27,"Fontoura et al. 2022","Pomacentridae",FALSE
"756","Chromis chrysura",23.2,"Fontoura et al. 2022","Pomacentridae",FALSE
"757","Chromis cyanea",29.9,"Fontoura et al. 2022","Pomacentridae",FALSE
"758","Chromis delta",24,"Fontoura et al. 2022","Pomacentridae",FALSE
"759","Chromis insolata",25.75,"Fontoura et al. 2022","Pomacentridae",FALSE
"760","Chromis iomelas",24.4,"Fontoura et al. 2022","Pomacentridae",FALSE
"761","Chromis lepidolepis",31.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"762","Chromis limbaughi",23.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"763","Chromis lineata",33.75,"Fontoura et al. 2022","Pomacentridae",FALSE
"764","Chromis margaritifer",31.8,"Fontoura et al. 2022","Pomacentridae",FALSE
"765","Chromis multilineata",28.16,"Fontoura et al. 2022","Pomacentridae",FALSE
"766","Chromis notata",40,"Fontoura et al. 2022","Pomacentridae",FALSE
"767","Chromis ternatensis",28.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"768","Chromis viridis",23.97,"Fontoura et al. 2022","Pomacentridae",FALSE
"769","Chromis weberi",31.2,"Fontoura et al. 2022","Pomacentridae",FALSE
"770","Chromis xanthura",28.2,"Fontoura et al. 2022","Pomacentridae",FALSE
"771","Chrysiptera biocellata",18.4,"Fontoura et al. 2022","Pomacentridae",FALSE
"772","Chrysiptera brownriggii",22.13,"Fontoura et al. 2022","Pomacentridae",FALSE
"773","Chrysiptera cyanea",17.43,"Fontoura et al. 2022","Pomacentridae",FALSE
"774","Chrysiptera flavipinnis",19,"Fontoura et al. 2022","Pomacentridae",FALSE
"775","Chrysiptera galba",23.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"776","Chrysiptera glauca",23.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"777","Chrysiptera hemicyanea",19.3,"Fontoura et al. 2022","Pomacentridae",FALSE
"778","Chrysiptera oxycephala",21.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"779","Chrysiptera rex",19.78,"Fontoura et al. 2022","Pomacentridae",FALSE
"780","Chrysiptera rollandi",19.76,"Fontoura et al. 2022","Pomacentridae",FALSE
"781","Dascyllus albisella",25.9,"Fontoura et al. 2022","Pomacentridae",FALSE
"782","Dascyllus aruanus",21.1,"Fontoura et al. 2022","Pomacentridae",FALSE
"783","Dascyllus flavicaudus",27.7,"Fontoura et al. 2022","Pomacentridae",FALSE
"784","Dascyllus melanurus",22.25,"Fontoura et al. 2022","Pomacentridae",FALSE
"785","Dascyllus reticulatus",22.7,"Fontoura et al. 2022","Pomacentridae",FALSE
"786","Dascyllus trimaculatus",28,"Fontoura et al. 2022","Pomacentridae",FALSE
"787","Dischistodus chrysopoecilus",19.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"788","Dischistodus melanotus",14.85,"Fontoura et al. 2022","Pomacentridae",FALSE
"789","Dischistodus perspicillatus",14.9,"Fontoura et al. 2022","Pomacentridae",FALSE
"790","Dischistodus prosopotaenia",23.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"791","Dischistodus pseudochrysopoecilus",17.6,"Fontoura et al. 2022","Pomacentridae",FALSE
"792","Hemiglyphidodon plagiometopon",18,"Fontoura et al. 2022","Pomacentridae",FALSE
"793","Lepidozygus tapeinosoma",19.35,"Fontoura et al. 2022","Pomacentridae",FALSE
"794","Microspathodon bairdii",25.9,"Fontoura et al. 2022","Pomacentridae",FALSE
"795","Microspathodon chrysurus",25.85,"Fontoura et al. 2022","Pomacentridae",FALSE
"796","Microspathodon dorsalis",31.45,"Fontoura et al. 2022","Pomacentridae",FALSE
"797","Neoglyphidodon melas",15.45,"Fontoura et al. 2022","Pomacentridae",FALSE
"798","Neoglyphidodon nigroris",18.8,"Fontoura et al. 2022","Pomacentridae",FALSE
"799","Neopomacentrus azysron",22,"Fontoura et al. 2022","Pomacentridae",FALSE
"800","Neopomacentrus bankieri",21,"Fontoura et al. 2022","Pomacentridae",FALSE
"801","Neopomacentrus cyanomos",17.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"802","Neopomacentrus filamentosus",20,"Fontoura et al. 2022","Pomacentridae",FALSE
"803","Neopomacentrus nemurus",19.2,"Fontoura et al. 2022","Pomacentridae",FALSE
"804","Nexilosus latifrons",29.2,"Fontoura et al. 2022","Pomacentridae",FALSE
"805","Plectroglyphidodon dickii",26.6,"Fontoura et al. 2022","Pomacentridae",FALSE
"806","Plectroglyphidodon johnstonianus",31.7,"Fontoura et al. 2022","Pomacentridae",FALSE
"807","Plectroglyphidodon lacrymatus",22.35,"Fontoura et al. 2022","Pomacentridae",FALSE
"808","Plectroglyphidodon sindonis",30,"Fontoura et al. 2022","Pomacentridae",FALSE
"809","Pomacentrus alexanderae",20.65,"Fontoura et al. 2022","Pomacentridae",FALSE
"810","Pomacentrus amboinensis",20.14,"Fontoura et al. 2022","Pomacentridae",FALSE
"811","Pomacentrus australis",25,"Fontoura et al. 2022","Pomacentridae",FALSE
"812","Pomacentrus bankanensis",18.4,"Fontoura et al. 2022","Pomacentridae",FALSE
"813","Pomacentrus brachialis",18,"Fontoura et al. 2022","Pomacentridae",FALSE
"814","Pomacentrus burroughi",16.8,"Fontoura et al. 2022","Pomacentridae",FALSE
"815","Pomacentrus chrysurus",17,"Fontoura et al. 2022","Pomacentridae",FALSE
"816","Pomacentrus coelestis",17.82,"Fontoura et al. 2022","Pomacentridae",FALSE
"817","Pomacentrus emarginatus",18.4,"Fontoura et al. 2022","Pomacentridae",FALSE
"818","Pomacentrus grammorhynchus",16.4,"Fontoura et al. 2022","Pomacentridae",FALSE
"819","Pomacentrus lepidogenys",20,"Fontoura et al. 2022","Pomacentridae",FALSE
"820","Pomacentrus moluccensis",19.17,"Fontoura et al. 2022","Pomacentridae",FALSE
"821","Pomacentrus nagasakiensis",22.35,"Fontoura et al. 2022","Pomacentridae",FALSE
"822","Pomacentrus pavo",26.24,"Fontoura et al. 2022","Pomacentridae",FALSE
"823","Pomacentrus philippinus",16,"Fontoura et al. 2022","Pomacentridae",FALSE
"824","Pomacentrus reidi",18,"Fontoura et al. 2022","Pomacentridae",FALSE
"825","Pomacentrus simsiang",15.8,"Fontoura et al. 2022","Pomacentridae",FALSE
"826","Pomacentrus taeniometopon",15.7,"Fontoura et al. 2022","Pomacentridae",FALSE
"827","Pomacentrus vaiuli",21.16,"Fontoura et al. 2022","Pomacentridae",FALSE
"828","Pomacentrus wardi",21.66,"Fontoura et al. 2022","Pomacentridae",FALSE
"829","Pomachromis richardsoni",21.7,"Fontoura et al. 2022","Pomacentridae",FALSE
"830","Premnas biaculeatus",9.2,"Fontoura et al. 2022","Pomacentridae",FALSE
"831","Pristotis obtusirostris",25.3,"Fontoura et al. 2022","Pomacentridae",FALSE
"832","Stegastes acapulcoensis",22,"Fontoura et al. 2022","Pomacentridae",FALSE
"833","Stegastes adustus",23.8,"Fontoura et al. 2022","Pomacentridae",FALSE
"834","Stegastes apicalis",29.7,"Fontoura et al. 2022","Pomacentridae",FALSE
"835","Stegastes arcifrons",27.55,"Fontoura et al. 2022","Pomacentridae",FALSE
"836","Stegastes baldwini",26,"Fontoura et al. 2022","Pomacentridae",FALSE
"837","Stegastes beebei",32.3,"Fontoura et al. 2022","Pomacentridae",FALSE
"838","Stegastes diaencaeus",25.72,"Fontoura et al. 2022","Pomacentridae",FALSE
"839","Stegastes emeryi",22.6,"Fontoura et al. 2022","Pomacentridae",FALSE
"840","Stegastes fasciolatus",29.95,"Fontoura et al. 2022","Pomacentridae",FALSE
"841","Stegastes flavilatus",28.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"842","Stegastes leucorus",32.86,"Fontoura et al. 2022","Pomacentridae",FALSE
"843","Stegastes leucostictus",25.29,"Fontoura et al. 2022","Pomacentridae",FALSE
"844","Stegastes lividus",25,"Fontoura et al. 2022","Pomacentridae",FALSE
"845","Stegastes nigricans",31.68,"Fontoura et al. 2022","Pomacentridae",FALSE
"846","Stegastes partitus",31.41,"Fontoura et al. 2022","Pomacentridae",FALSE
"847","Stegastes planifrons",24.1,"Fontoura et al. 2022","Pomacentridae",FALSE
"848","Stegastes punctatus",25,"Fontoura et al. 2022","Pomacentridae",FALSE
"849","Stegastes rectifraenum",21.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"850","Stegastes redemptus",27.65,"Fontoura et al. 2022","Pomacentridae",FALSE
"851","Stegastes xanthurus",24.5,"Fontoura et al. 2022","Pomacentridae",FALSE
"852","Teixeirichthys jordani",25.3,"Fontoura et al. 2022","Pomacentridae",FALSE
"853","Pseudochromis quinquedentatus",61,"Fontoura et al. 2022","Pseudochromidae",FALSE
"854","Naso lituratus",69.4,"Fontoura et al. 2022","Acanthuridae",FALSE
"855","Caranx melampygus",57.6,"Fontoura et al. 2022","Carangidae",TRUE
"856","Epinephelus adscensionis",40,"Fontoura et al. 2022","Epinephelidae",FALSE
"857","Epinephelus itajara",55,"Fontoura et al. 2022","Epinephelidae",FALSE
"858","Epinephelus marginatus",24.6,"Fontoura et al. 2022","Epinephelidae",TRUE
"859","Epinephelus striatus",42,"Fontoura et al. 2022","Epinephelidae",TRUE
"860","Mycteroperca bonaci",41,"Fontoura et al. 2022","Epinephelidae",FALSE
"861","Mycteroperca microlepis",43,"Fontoura et al. 2022","Epinephelidae",TRUE
"862","Plectropomus leopardus",25.2,"Fontoura et al. 2022","Epinephelidae",TRUE
"863","Lachnolaimus maximus",25.8,"Fontoura et al. 2022","Labridae",TRUE
"864","Lethrinus harak",28,"Fontoura et al. 2022","Lethrinidae",TRUE
"865","Lethrinus nebulosus",32.7,"Fontoura et al. 2022","Lethrinidae",TRUE
"866","Lethrinus obsoletus",25.7,"Fontoura et al. 2022","Lethrinidae",TRUE
"867","Lethrinus olivaceus",30,"Fontoura et al. 2022","Lethrinidae",FALSE
"868","Lethrinus xanthochilus",26.65,"Fontoura et al. 2022","Lethrinidae",TRUE
"869","Monotaxis grandoculis",33.3,"Fontoura et al. 2022","Lethrinidae",TRUE
"870","Lutjanus argentiventris",22.9,"Fontoura et al. 2022","Lutjanidae",TRUE
"871","Lutjanus campechanus",28,"Fontoura et al. 2022","Lutjanidae",TRUE
"872","Lutjanus cyanopterus",29,"Fontoura et al. 2022","Lutjanidae",TRUE
"873","Lutjanus gibbus",54,"Fontoura et al. 2022","Lutjanidae",TRUE
"874","Lutjanus griseus",32.4,"Fontoura et al. 2022","Lutjanidae",TRUE
"875","Lutjanus novemfasciatus",21.75,"Fontoura et al. 2022","Lutjanidae",FALSE
"876","Lutjanus synagris",23.87,"Fontoura et al. 2022","Lutjanidae",TRUE
"877","Ocyurus chrysurus",30.9,"Fontoura et al. 2022","Lutjanidae",TRUE
"878","Mulloidichthys flavolineatus",60.1,"Fontoura et al. 2022","Mullidae",TRUE
"879","Acanthurus bahianus",52.3,"Fontoura et al. 2022","Acanthuridae",FALSE
"880","Acanthurus chirurgus",55.2,"Fontoura et al. 2022","Acanthuridae",FALSE
"881","Acanthurus coeruleus",51.6,"Fontoura et al. 2022","Acanthuridae",FALSE
"882","Acanthurus lineatus",39.5,"Fontoura et al. 2022","Acanthuridae",FALSE
"883","Acanthurus nigricans",59.7,"Fontoura et al. 2022","Acanthuridae",FALSE
"884","Acanthurus nigrofuscus",31,"Fontoura et al. 2022","Acanthuridae",FALSE
"885","Acanthurus olivaceus",59.65,"Fontoura et al. 2022","Acanthuridae",FALSE
"886","Acanthurus tractus",52.3,"Fontoura et al. 2022","Acanthuridae",FALSE
"887","Acanthurus triostegus",47.4,"Fontoura et al. 2022","Acanthuridae",FALSE
"888","Ctenochaetus binotatus",58.5,"Fontoura et al. 2022","Acanthuridae",FALSE
"889","Ctenochaetus flavicauda",31,"Fontoura et al. 2022","Acanthuridae",FALSE
"890","Ctenochaetus striatus",43.87,"Fontoura et al. 2022","Acanthuridae",FALSE
"891","Naso annulatus",62.3,"Fontoura et al. 2022","Acanthuridae",FALSE
"892","Naso brevirostris",79.65,"Fontoura et al. 2022","Acanthuridae",FALSE
"893","Naso hexacanthus",91.2,"Fontoura et al. 2022","Acanthuridae",FALSE
"894","Naso unicornis",73.9,"Fontoura et al. 2022","Acanthuridae",TRUE
"895","Naso vlamingii",77.3,"Fontoura et al. 2022","Acanthuridae",FALSE
"896","Paracanthurus hepatus",37,"Fontoura et al. 2022","Acanthuridae",FALSE
"897","Zebrasoma flavescens",54,"Fontoura et al. 2022","Acanthuridae",FALSE
"898","Zebrasoma scopas",55.2,"Fontoura et al. 2022","Acanthuridae",FALSE
"899","Zebrasoma veliferum",35.75,"Fontoura et al. 2022","Acanthuridae",FALSE
"900","Balistapus undulatus",51.3,"Fontoura et al. 2022","Balistidae",FALSE
"901","Balistes vetula",75,"Fontoura et al. 2022","Balistidae",FALSE
"902","Balistoides conspicillum",36,"Fontoura et al. 2022","Balistidae",FALSE
"903","PSeudobalistes flavimarginatus",44.5,"Fontoura et al. 2022","Balistidae",FALSE
"904","Rhineacanthus aculeatus",45,"Fontoura et al. 2022","Balistidae",FALSE
"905","Rhinecanthus rectangulus",43.5,"Fontoura et al. 2022","Balistidae",FALSE
"906","Chaetodon auriga",44.27,"Fontoura et al. 2022","Chaetodontidae",FALSE
"907","Chaetodon baronessa",35.5,"Fontoura et al. 2022","Chaetodontidae",FALSE
"908","Chaetodon capistratus",38,"Fontoura et al. 2022","Chaetodontidae",FALSE
"909","Chaetodon citrinellus",50.5,"Fontoura et al. 2022","Chaetodontidae",FALSE
"910","Chaetodon collare",43,"Fontoura et al. 2022","Chaetodontidae",FALSE
"911","Chaetodon ephippium",38.5,"Fontoura et al. 2022","Chaetodontidae",FALSE
"912","Chaetodon flavirostris",47.27,"Fontoura et al. 2022","Chaetodontidae",FALSE
"913","Chaetodon kleinii",56,"Fontoura et al. 2022","Chaetodontidae",FALSE
"914","Chaetodon lineolatus",54,"Fontoura et al. 2022","Chaetodontidae",FALSE
"915","Chaetodon lunula",43,"Fontoura et al. 2022","Chaetodontidae",FALSE
"916","Chaetodon lunulatus",39.3,"Fontoura et al. 2022","Chaetodontidae",FALSE
"917","Chaetodon miliaris",60,"Fontoura et al. 2022","Chaetodontidae",FALSE
"918","Chaetodon ocellatus",35.5,"Fontoura et al. 2022","Chaetodontidae",FALSE
"919","Chaetodon ornatissimus",62.5,"Fontoura et al. 2022","Chaetodontidae",FALSE
"920","Chaetodon plebeius",44,"Fontoura et al. 2022","Chaetodontidae",FALSE
"921","Chaetodon rainfordi",31.4,"Fontoura et al. 2022","Chaetodontidae",FALSE
"922","Chaetodon sedentarius",52,"Fontoura et al. 2022","Chaetodontidae",FALSE
"923","Chaetodon speculum",44.7,"Fontoura et al. 2022","Chaetodontidae",FALSE
"924","Chaetodon striatus",49,"Fontoura et al. 2022","Chaetodontidae",FALSE
"925","Chaetodon trifascialis",35.7,"Fontoura et al. 2022","Chaetodontidae",FALSE
"926","Chaetodon ulietensis",41,"Fontoura et al. 2022","Chaetodontidae",FALSE
"927","Chaetodon unimaculatus",35,"Fontoura et al. 2022","Chaetodontidae",FALSE
"928","Chaetodon vagabundus",42.26,"Fontoura et al. 2022","Chaetodontidae",FALSE
"929","Chelmon rostratus",26.25,"Fontoura et al. 2022","Chaetodontidae",FALSE
"930","Forcipiger flavissimus",50.7,"Fontoura et al. 2022","Chaetodontidae",FALSE
"931","Heniochus acuminatus",40.83,"Fontoura et al. 2022","Chaetodontidae",FALSE
"932","Heniochus chrysostomus",32.7,"Fontoura et al. 2022","Chaetodontidae",FALSE
"933","Heniochus diphreutes",32,"Fontoura et al. 2022","Chaetodontidae",FALSE
"934","Cirrhitichthys oxycephalus",51,"Fontoura et al. 2022","Cirrhitidae",FALSE
"935","Neocirrhites armatus",48,"Fontoura et al. 2022","Cirrhitidae",FALSE
"936","Oxycirrhites typus",69,"Fontoura et al. 2022","Cirrhitidae",FALSE
"937","Paracirrhites arcatus",49.7,"Fontoura et al. 2022","Cirrhitidae",FALSE
"938","Dactyloptena orientalis",43.4,"Fontoura et al. 2022","Dactylopteridae",FALSE
"939","Dactylopterus volitans",24,"Fontoura et al. 2022","Dactylopteridae",TRUE
"940","Cephalopholis argus",27.5,"Fontoura et al. 2022","Epinephelidae",TRUE
"941","Cephalopholis boenak",31,"Fontoura et al. 2022","Epinephelidae",TRUE
"942","Cephalopholis urodeta",24.3,"Fontoura et al. 2022","Epinephelidae",FALSE
"943","Cromileptes altivelis",24,"Fontoura et al. 2022","Epinephelidae",TRUE
"944","Epinephelus akaara",30,"Fontoura et al. 2022","Epinephelidae",FALSE
"945","Epinephelus areolatus",18,"Fontoura et al. 2022","Epinephelidae",TRUE
"946","Epinephelus hexagonatus",24.7,"Fontoura et al. 2022","Epinephelidae",FALSE
"947","Epinephelus merra",29.6,"Fontoura et al. 2022","Serranidae",TRUE
"948","Plectropomus maculatus",27,"Fontoura et al. 2022","Epinephelidae",FALSE
"949","Anisotremus surinamensis",19.5,"Fontoura et al. 2022","Haemulidae",FALSE
"950","Anisotremus virginicus",16.95,"Fontoura et al. 2022","Haemulidae",FALSE
"951","Haemulon aurolineatum",19.3,"Fontoura et al. 2022","Haemulidae",FALSE
"952","Haemulon chrysargyreum",22,"Fontoura et al. 2022","Haemulidae",FALSE
"953","Haemulon flavolineatum",17,"Fontoura et al. 2022","Haemulidae",FALSE
"954","Haemulon melanurum",18.4,"Fontoura et al. 2022","Haemulidae",FALSE
"955","Haemulon parra",17.3,"Fontoura et al. 2022","Haemulidae",FALSE
"956","Haemulon plumierii",22.6,"Fontoura et al. 2022","Haemulidae",TRUE
"957","Haemulon striatum",21.125,"Fontoura et al. 2022","Haemulidae",FALSE
"958","Holocentrus adscensionis",55.6,"Fontoura et al. 2022","Holocentridae",FALSE
"959","Holocentrus rufus",44.1,"Fontoura et al. 2022","Holocentridae",FALSE
"960","Myripristis jacobus",53.8,"Fontoura et al. 2022","Holocentridae",FALSE
"961","Myripristis pralinia",67,"Fontoura et al. 2022","Holocentridae",FALSE
"962","Neoniphon argenteus",41,"Fontoura et al. 2022","Holocentridae",FALSE
"963","Neoniphon marianus",39.3,"Fontoura et al. 2022","Holocentridae",FALSE
"964","Neoniphon sammara",47,"Fontoura et al. 2022","Holocentridae",FALSE
"965","Plectrypops retrospinis",43.6,"Fontoura et al. 2022","Holocentridae",FALSE
"966","Sargocentron coruscum",35.5,"Fontoura et al. 2022","Holocentridae",FALSE
"967","Sargocentron microstoma",40.3,"Fontoura et al. 2022","Holocentridae",FALSE
"968","Sargocentron punctatissimum",45,"Fontoura et al. 2022","Holocentridae",FALSE
"969","Sargocentron spiniferum",39.8,"Fontoura et al. 2022","Holocentridae",TRUE
"970","Sargocentron vexillarium",35.9,"Fontoura et al. 2022","Holocentridae",FALSE
"971","Anampses caeruleopunctatus",25,"Fontoura et al. 2022","Labridae",FALSE
"972","Anampses chrysocephalus",29.5,"Fontoura et al. 2022","Labridae",FALSE
"973","Anampses cuvier",44.5,"Fontoura et al. 2022","Labridae",FALSE
