,sovereign1,territory1,Classification,Note
72,Madagascar,Glorioso Islands,Developing,
73,Madagascar,Madagascar,Developing,
74,Malaysia,Malaysia,Developing,
75,Maldives,Maldives,Developing,check this
76,Malta,Malta,Developed,
77,Marshall Islands,Marshall Islands,Developing,check this
78,Mauritius,Chagos Archipelago,Developing,
79,Mexico,Mexico,Developing,
80,Micronesia,Micronesia,Developing,check this
81,Montenegro,Montenegro,In transition,
82,Mozambique,Mozambique,Developing,
83,Myanmar,Myanmar,Developing,
84,Netherlands,Netherlands,Developed,
85,Netherlands,Saba,Developed,
86,Netherlands,Aruba,Developed,
87,Netherlands,Curaçao,Developed,
88,Netherlands,Bonaire,Developed,
89,New Zealand,Cook Islands,Developed,
90,New Zealand,New Zealand,Developed,
91,Nicaragua,Nicaragua,Developing,
92,Norway,Norway,Developed,
93,Oman,Oman,Developing,
94,Pakistan,Pakistan,Developing,
95,Palau,Palau,Developing,check this
96,Panama,Panama,Developing,
97,Papua New Guinea,Papua New Guinea,Developing,
98,Peru,Peru,Developing,
99,Philippines,Philippines,Developing,
100,Poland,Poland,Developed,
101,Portugal,Portugal,Developed,
102,Portugal,Azores,Developed,
103,Portugal,Madeira,Developed,
104,Qatar,Qatar,Developing,
105,Republic of Mauritius,Republic of Mauritius,Developing,check this
106,Romania,Romania,Developed,
107,Russia,Russia,In transition,
108,Saint Kitts and Nevis,Saint Kitts and Nevis,Developing,check this
109,Saint Lucia,Saint Lucia,Developing,check this
110,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Developing,check this
111,Samoa,Samoa,Developing,check this
112,Sao Tome and Principe,Sao Tome and Principe,Developing,
113,Saudi Arabia,Saudi Arabia,Developing,
114,Senegal,Senegal,Developing,
115,Seychelles,Seychelles,Developing,check this
116,Slovenia,Slovenia,Developed,
117,Solomon Islands,Solomon Islands,Developing,check this
118,South Africa,South Africa,Developing,
119,South Korea,South Korea,Developing,check this
120,Spain,Spain,Developed,
121,Spain,Canary Islands,Developed,
122,Sri Lanka,Sri Lanka,Developing,
123,Sudan,Sudan,Developing,
124,Sweden,Sweden,Developed,
125,Taiwan,Taiwan,Developing,
126,Tanzania,Tanzania,Developing,
127,Thailand,Thailand,Developing,check this
128,Tonga,Tonga,Developing,check this
129,Trinidad and Tobago,Trinidad and Tobago,Developing,
130,Tunisia,Tunisia,Developing,
131,Turkey,Turkey,Developing,
132,Ukraine,Ukraine,In transition,
133,United Arab Emirates,United Arab Emirates,Developing,
134,United Kingdom,United Kingdom,Developed,
135,United Kingdom,Guernsey,Developed,
136,United Kingdom,Jersey,Developed,
137,United Kingdom,Gibraltar,Developed,
138,United Kingdom,Bermuda,Developed,
139,United Kingdom,Turks and Caicos Islands,Developed,
140,United Kingdom,Cayman Islands,Developed,
141,United Kingdom,British Virgin Islands,Developed,
142,United Kingdom,Anguilla,Developed,
143,United Kingdom,Ascension,Developed,
144,United States,Alaska,Developed,
145,United States,United States,Developed,
146,United States,Hawaii,Developed,
147,United States,Puerto Rico,Developed,
148,United States,United States Virgin Islands,Developed,
149,United States,Northern Mariana Islands,Developed,
150,United States,Guam,Developed,
151,Vanuatu,Vanuatu,Developing,check this
152,Venezuela,Venezuela,Developing,
153,Vietnam,Vietnam,Developing,
154,Western Sahara,Western Sahara,Developing,check this
