scientific,LarvaeDuration,EggDuration,EggFloating
Harengula jaguana,0,NA,
Salmo muksun,NA,NA,in sand or gravel
Coryphaena hippurus,NA,2,buoyant (pelagic)
Coryphaena hippurus,NA,1.7,buoyant (pelagic)
Leiognathus splendens,NA,NA,
Coregonus sapidissimus,40,NA,
Dicentrarchus lupus,46,4.67,buoyant (pelagic)
Dicentrarchus lupus,46,2.29,buoyant (pelagic)
Dicentrarchus lupus,46,2.57,buoyant (pelagic)
Liza chelo,NA,NA,buoyant (pelagic)
Salmo paucidens,NA,NA,in sand or gravel
Scolopsis taeniopterus,19,NA,
Acanthurus lituratus,NA,NA,buoyant (pelagic)
Opisthonema oglinum,0,NA,
Merluccius productus,88,NA,
Morone labrax,46,4.67,buoyant (pelagic)
Morone labrax,46,2.29,buoyant (pelagic)
Morone labrax,46,2.57,buoyant (pelagic)
Solea senegalensis mbaoensis,NA,NA,buoyant (pelagic)
Stolephorus insularis oceanicus,NA,NA,
Belone belone,NA,35,on the bottom (demersal)
Stolephorus waitei,NA,NA,buoyant (pelagic)
Trachipterus ishikawae,NA,NA,buoyant (pelagic)
Pterocaesio marri,NA,NA,buoyant (pelagic)
Phycis punctatus,NA,2.38,
Bathyraja rosispinis,NA,NA,in sand or gravel
Bathyraja aguja,NA,NA,on the bottom (demersal)
Alosa pseudoharengus,0,2.1,buoyant (pelagic)
Alosa pseudoharengus,0,3.39,buoyant (pelagic)
Alosa pseudoharengus,0,3.7,buoyant (pelagic)
Alosa pseudoharengus,0,4,buoyant (pelagic)
Alosa pseudoharengus,0,4.2,buoyant (pelagic)
Alosa pseudoharengus,0,6,buoyant (pelagic)
Alosa pseudoharengus,0,15,buoyant (pelagic)
Hippocampus kelloggi,NA,NA,in brood pouch
Hydrolagus macrophthalmus,NA,NA,on the bottom (demersal)
Sebastes diploproa,NA,NA,in female (livebearers)
Nectamia savayensis,NA,NA,in mouth (mouthbrooders)
Lophius viviparus,NA,NA,buoyant (pelagic)
Raja campbelli,NA,NA,on the bottom (demersal)
Ammodytes dubius,NA,NA,on the bottom (demersal)
Scomber niger,NA,NA,buoyant (pelagic)
Abudefduf sexatilis,NA,6.56,on the bottom (demersal)
Raja bigelowi,NA,NA,in sand or gravel
Sebastes emphaeus,NA,NA,in female (livebearers)
Caranx trachurus mediterraneus,NA,NA,buoyant (pelagic)
Pegusa lascaris,NA,NA,buoyant (pelagic)
Pleuronectes platessa,100,NA,buoyant (pelagic)
Caranx trachurus,NA,NA,buoyant (pelagic)
Spicara royeri,NA,NA,buoyant (pelagic)
Raja rhina,NA,NA,in sand or gravel
Serranus polyphekadion,NA,0.8,buoyant (pelagic)
Raja lentiginosa,NA,NA,on the bottom (demersal)
Trematomus newnesi,NA,NA,on the bottom (demersal)
Seriola songoro,NA,NA,buoyant (pelagic)
Seriola dumerili,NA,NA,buoyant (pelagic)
Sebastes babcocki,NA,NA,in female (livebearers)
Sebastes melanostomus,NA,NA,in female (livebearers)
Sebastes hopkinsi,NA,NA,in female (livebearers)
Siganus oramin,NA,NA,on the bottom (demersal)
Rajella kukujevi,NA,NA,on the bottom (demersal)
Rajella nigerrima,NA,NA,on the bottom (demersal)
Lateolabrax japonicus,NA,4.5,buoyant (pelagic)
Alosa mediocris,NA,2.46,on the bottom (demersal)
Engraulis japonicus,47,NA,buoyant (pelagic)
Paracirrhites forsteri,NA,NA,buoyant (pelagic)
Acanthurus nigricaudus,NA,NA,buoyant (pelagic)
Salmo warreni,NA,NA,
Salmo tullibee,26,NA,
Belone trachura,NA,NA,on the bottom (demersal)
Polynemus tetradactylus,NA,NA,buoyant (pelagic)
Raja multispinis,NA,NA,on the bottom (demersal)
Rajella ravidula,NA,NA,on the bottom (demersal)
Hydrolagus mitsukurii,NA,NA,on the bottom (demersal)
Sebastes jordani,NA,NA,in female (livebearers)
Oxymonacanthus longirostris,NA,2.23,fixed on plant or stone
Raja murrayi,NA,NA,in sand or gravel
Solea solea,35,10,buoyant (pelagic)
Sciaena umbra,NA,NA,buoyant (pelagic)
Scomber rochei,16,NA,buoyant (pelagic)
Chelidonichthys lucerna,NA,NA,buoyant (pelagic)
Decapterus ronchus,NA,NA,buoyant (pelagic)
Belone subtruncata,NA,NA,on the bottom (demersal)
Raja boesemani,NA,NA,in sand or gravel
Coregonus maraena pommerana,NA,NA,in sand or gravel
Salmo wartmanni,NA,NA,in sand or gravel
Raja garmani,NA,NA,in sand or gravel
Raja crosnieri,NA,NA,on the bottom (demersal)
Stolephorus insularum,NA,NA,buoyant (pelagic)
Oncorhynchus lagocephalus,NA,NA,in sand or gravel
Hippocampus procerus,NA,NA,in brood pouch
Dicentrarchus labrax,46,4.67,buoyant (pelagic)
Dicentrarchus labrax,46,2.29,buoyant (pelagic)
Dicentrarchus labrax,46,2.57,buoyant (pelagic)
Lutjanus stearnsii,NA,NA,buoyant (pelagic)
Stolephorus tapirulus,74,NA,buoyant (pelagic)
Raja spinicauda,NA,NA,in sand or gravel
Sympterygia bonapartii,NA,NA,in sand or gravel
Leucoraja erinacea,NA,NA,in sand or gravel
Siganus luridus,NA,NA,on the bottom (demersal)
Coregonus coulterii,NA,NA,
Stolephorus ischanus,NA,NA,
Salmo stellatus,NA,NA,
Sebastes macrochir,NA,NA,buoyant (pelagic)
Epinephelus multinotatus,NA,NA,buoyant (pelagic)
Ammodytes marinus,NA,NA,in sand or gravel
Alosa squamopinnata,NA,NA,on the bottom (demersal)
Hemiramphus unifasciatus,NA,NA,
Belone canciloides,NA,NA,on the bottom (demersal)
Trachipterus arcticus,NA,NA,buoyant (pelagic)
Opisthonema libertate,NA,NA,buoyant (pelagic)
Raja nidrosiensis,NA,NA,in sand or gravel
Alosa musica,44,2.5,buoyant (pelagic)
Alosa musica,44,2,buoyant (pelagic)
Alosa musica,44,1.75,buoyant (pelagic)
Alosa musica,44,3.7,buoyant (pelagic)
Caranx glaucus,NA,NA,buoyant (pelagic)
Abudefduf abdominalis,NA,NA,on the bottom (demersal)
Seriola lalandi,NA,3,buoyant (pelagic)
Raja plutonia,NA,NA,on the bottom (demersal)
Decapterus santa helenae,NA,NA,buoyant (pelagic)
Bathyraja smirnovi,NA,NA,in sand or gravel
Strongylura incisa,NA,NA,on the bottom (demersal)
Diplodus annularis,NA,NA,
Zenopsis nebulosa,NA,NA,
Raja kukujevi,NA,NA,on the bottom (demersal)
Chaetodipterus faber,NA,1,
Makaira zelandica,NA,NA,
Siganus vitianus,NA,1.04,
Arius graeffei,NA,NA,in open nest
Makaira mazara,NA,NA,buoyant (pelagic)
Raja pulchra,NA,NA,in sand or gravel
Stolephorus pacificus,NA,NA,
Archosargus probatocephalus,NA,1.67,
Serranus stathouderi,NA,1.12,buoyant (pelagic)
Caranx gervaisi,NA,NA,buoyant (pelagic)
Abudefduf vargensis,NA,NA,on the bottom (demersal)
Hippocampus barbouri,NA,NA,in brood pouch
Arctoscopus japonicus,NA,NA,on the bottom (demersal)
Raja rosispinis,NA,NA,in sand or gravel
Uranoscopus micropterygius,NA,NA,buoyant (pelagic)
Raja compagnoi,NA,NA,on the bottom (demersal)
Clupea pallasii pallasii,NA,15,on the bottom (demersal)
Rajella bathyphila,NA,NA,on the bottom (demersal)
Prionotus scitulus,NA,NA,buoyant (pelagic)
Genypterus nigricans,NA,NA,buoyant (pelagic)
Hexagrammos decagrammus,NA,NA,
Raja rouxi,NA,NA,on the bottom (demersal)
Theragra chalcogramma,108,NA,buoyant (pelagic)
Naso lituratus,NA,NA,buoyant (pelagic)
Seriola rivoliana,NA,NA,buoyant (pelagic)
Sebastes glaucus,NA,NA,in female (livebearers)
Trisopterus esmarkii,NA,NA,buoyant (pelagic)
Hydrolagus affinis,NA,NA,on the bottom (demersal)
Haemulon rimator,NA,NA,buoyant (pelagic)
Parachaenichthys georgianus,NA,105,on the bottom (demersal)
Mola buchanani,NA,NA,
Katsuwonus pelamis,20,1.1,buoyant (pelagic)
Lutjanus kasmira,NA,0.75,buoyant (pelagic)
Raja australis,NA,NA,in sand or gravel
Spicara maena maena,NA,NA,on the bottom (demersal)
Caranx richardi,NA,NA,buoyant (pelagic)
Raja parcomaculata,NA,NA,in sand or gravel
Raja teevani,NA,NA,on the bottom (demersal)
Solea ovata,NA,NA,buoyant (pelagic)
Siganus nebulosus,NA,NA,on the bottom (demersal)
Anoplopoma fimbria,NA,NA,buoyant (pelagic)
Scarus dentiens,NA,NA,buoyant (pelagic)
Genypterus brasiliensis,NA,NA,buoyant (pelagic)
Raja caudaspinosa,NA,NA,on the bottom (demersal)
Sphoeroides nephelus,NA,NA,on the bottom (demersal)
Ablennes hians,NA,NA,on the bottom (demersal)
Bathyraja andriashevi,NA,NA,on the bottom (demersal)
Acipenser transmontanus,NA,7,on the bottom (demersal)
Cynoscion xanthulus,NA,NA,buoyant (pelagic)
Chionobathyscus dewitti,NA,NA,on the bottom (demersal)
Belone krefftii,NA,NA,on the bottom (demersal)
Lutjanus campechianus,NA,1,
Chromis chromis,NA,NA,in open nest
Raja scaphiops,NA,NA,on the bottom (demersal)
Trachipterus trachyurus,NA,NA,buoyant (pelagic)
Bathyraja papilonifera,NA,NA,on the bottom (demersal)
Caesio suevicus,NA,NA,buoyant (pelagic)
Muraenesox talabonoides,NA,NA,
Oncorhynchus nerka,NA,NA,in sand or gravel
Sebastes swifti,NA,NA,in female (livebearers)
Dascyllus trimaculatus,NA,NA,
Coregonus thymalloides,NA,NA,
Sciades couma,NA,NA,in mouth (mouthbrooders)
Myoxocephalus quadricornis,NA,90,
Myoxocephalus quadricornis,NA,55,
Myoxocephalus quadricornis,NA,74,
Myoxocephalus quadricornis,NA,97,
Anchoviella ischana,NA,NA,
Platax scalaris,NA,NA,
Sebastes paucispinus,NA,NA,
Anthias anthias,NA,NA,buoyant (pelagic)
Bathyraja asperula,NA,NA,in sand or gravel
Raja badia,NA,NA,on the bottom (demersal)
Aluterus velutinus,NA,NA,
Caesio chrysozonus,NA,NA,buoyant (pelagic)
Trachipterus fukuzakii,NA,NA,buoyant (pelagic)
Acanthurus velifer,NA,NA,buoyant (pelagic)
Plotosus vittatus,NA,NA,on the bottom (demersal)
Dentex hasta,0,1.66,
Sebastes lentiginosus,NA,NA,in female (livebearers)
Salarias fasciatus,NA,NA,on the bottom (demersal)
Lachnolaimus maximus,NA,0.96,
Salmo spirinchus,NA,NA,on the bottom (demersal)
Mesogobius batrachocephalus,NA,NA,on the bottom (demersal)
Trachurus cordyla,NA,NA,buoyant (pelagic)
Scomber amarui,NA,NA,buoyant (pelagic)
Stolephorus rex,NA,NA,buoyant (pelagic)
Paralichthys albigutta,NA,NA,buoyant (pelagic)
Lophius piscatorius,NA,NA,buoyant (pelagic)
Carangoides fusus,NA,NA,buoyant (pelagic)
Hydrolagus novaezelandiae,NA,NA,on the bottom (demersal)
Bathyraja irrasa,NA,NA,in sand or gravel
Siganus siganus,NA,NA,on the bottom (demersal)
Salmo hucho,NA,30,in sand or gravel
Sebastes entomelas,NA,NA,in female (livebearers)
Solea variegata,NA,NA,buoyant (pelagic)
Belone robusta,NA,NA,on the bottom (demersal)
Bathylagus nigrigenys,NA,NA,buoyant (pelagic)
Trematomus skotti,NA,NA,on the bottom (demersal)
Scomber hippos,NA,NA,buoyant (pelagic)
Dorosoma petenense,NA,3,fixed on plant or stone
Trachinus draco,NA,4.5,buoyant (pelagic)
Hippocampus subelongatus,NA,NA,in brood pouch
Stolephorus advenus,NA,NA,
Salmo olidus,NA,11,
Salmo olidus,NA,18,
Sebastes helvomaculatus,NA,NA,in female (livebearers)
Salmo salar,NA,220,in covered nest (i.e. burrow or tunnel)
Bathyraja scaphiops,NA,NA,on the bottom (demersal)
Merluccius bilinearis,NA,2,buoyant (pelagic)
Tylosurus raphidoma,NA,NA,on the bottom (demersal)
Dorosoma chacunda,NA,NA,buoyant (pelagic)
Sebastes paucispinis,NA,NA,
Bathyraja eatonii,NA,NA,on the bottom (demersal)
Gobius niger,NA,NA,on the bottom (demersal)
Semicossyphus pulcher,52,NA,
Pagrus major,47,NA,
Mugil salmoneus,44,1.1,buoyant (pelagic)
Mugil salmoneus,44,1.2,buoyant (pelagic)
Mugil salmoneus,44,1.11,buoyant (pelagic)
Mugil salmoneus,44,1,buoyant (pelagic)
Cynoscion regalis,NA,1.7,buoyant (pelagic)
Salmo thymalloides,NA,NA,
Auxis thazard,10,NA,
Caesio xanthonotus,NA,NA,buoyant (pelagic)
Raja herwigi,NA,NA,on the bottom (demersal)
Belone strongylurus,NA,NA,on the bottom (demersal)
Arripis trutta,NA,NA,buoyant (pelagic)
Scomber gunneri,NA,NA,buoyant (pelagic)
Pterocaesio trilineata,NA,NA,buoyant (pelagic)
Mullus fasciatus,NA,NA,in mouth (mouthbrooders)
Cypselurus californicus,NA,NA,fixed on plant or stone
Stolephorus compressus,NA,NA,buoyant (pelagic)
Caesio erythrogaster,NA,NA,buoyant (pelagic)
Chelidonichthys kumu,NA,7,buoyant (pelagic)
Tylosurus sagitta,NA,NA,on the bottom (demersal)
Elagatis bipinnulata,NA,NA,buoyant (pelagic)
Salmo omiscomaycus,NA,NA,on the bottom (demersal)
Trigla peronii,NA,7,buoyant (pelagic)
Hydrolagus barbouri,NA,NA,on the bottom (demersal)
Clupea bentincki,NA,NA,buoyant (pelagic)
Sardinops sagax,44,2.5,buoyant (pelagic)
Sardinops sagax,44,2,buoyant (pelagic)
Sardinops sagax,44,1.75,buoyant (pelagic)
Sardinops sagax,44,3.7,buoyant (pelagic)
Mallotus villosus,150,NA,in sand or gravel
Dentex setigerus,NA,1.17,buoyant (pelagic)
Lepidonotothen nudifrons,NA,120,on the bottom (demersal)
Salmo microps,NA,NA,buoyant (pelagic)
Apogonichthys ocellatus,NA,NA,on the bottom (demersal)
Sebastes inermis,NA,NA,in female (livebearers)
Hippocampus coronatus,NA,NA,in brood pouch
Raja rondeleti,NA,NA,on the bottom (demersal)
Anchoviella waitei,NA,NA,buoyant (pelagic)
Thaleichthys pacificus,NA,21,in sand or gravel
Dorosoma nasus,NA,NA,buoyant (pelagic)
Ostorhinchus lateralis,NA,NA,in mouth (mouthbrooders)
Sphoeroides parvus,NA,NA,on the bottom (demersal)
Scarus festivus,NA,NA,buoyant (pelagic)
Salvelinus pluvius,NA,NA,in sand or gravel
Uranoscopus y graecum,NA,NA,buoyant (pelagic)
Platybelone argalus platyura,NA,NA,on the bottom (demersal)
Muraenolepis microps,NA,NA,buoyant (pelagic)
Raja cooperi,NA,NA,in sand or gravel
Scomber scombrus,40,6,buoyant (pelagic)
Scomber scombrus,40,6,buoyant (pelagic)
Scomber scombrus,40,2.06,buoyant (pelagic)
Scomber scombrus,40,7.38,buoyant (pelagic)
Trematomus loennbergii,NA,NA,on the bottom (demersal)
Liza auratus,NA,NA,buoyant (pelagic)
Bathyraja diplotaenia,NA,NA,in sand or gravel
Siganus rivulatus,NA,NA,on the bottom (demersal)
Oncorhynchus nerka kennerlyi,NA,NA,in sand or gravel
Harengula abrau,NA,0.5,buoyant (pelagic)
Pomadasys crocro,NA,NA,
Leucoraja naevus,NA,NA,in sand or gravel
Raja macloviana,NA,NA,on the bottom (demersal)
Liza saliens furcata,NA,NA,
Selar boops,NA,NA,buoyant (pelagic)
Scomberomorus cavalla,12,NA,
Terapon jarbua,NA,NA,buoyant (pelagic)
Bathyraja spinosissima,NA,NA,on the bottom (demersal)
Tylosurus impotens,NA,NA,on the bottom (demersal)
Dipturus nidarosiensis,NA,NA,in sand or gravel
Decapterus punctatus,NA,NA,buoyant (pelagic)
Hippocampus vulgaris,NA,NA,in brood pouch
Raja ecuadoriensis,NA,NA,on the bottom (demersal)
Trachipterus trachypterus,NA,NA,buoyant (pelagic)
Rajella caudaspinosa,NA,NA,on the bottom (demersal)
Callorhinchus capensis,NA,NA,on the bottom (demersal)
Raja taaf,NA,NA,on the bottom (demersal)
Sebastes itinus,NA,NA,in female (livebearers)
Bathylagus pacificus,NA,NA,buoyant (pelagic)
Lutjanus triangulum,22,NA,
Haemulon luteus,NA,NA,buoyant (pelagic)
Tylosurus pacificus,NA,NA,on the bottom (demersal)
Molva maculosa,NA,30,on the bottom (demersal)
Molva maculosa,NA,71,on the bottom (demersal)
Raja equitorialis,NA,NA,on the bottom (demersal)
Mugil ramado,NA,NA,
Stolephorus perthecatus,NA,NA,buoyant (pelagic)
Coregonus nasus,NA,NA,
Gymnothorax muraena,NA,NA,buoyant (pelagic)
Myoxocephalus verrucosus,NA,NA,on the bottom (demersal)
Sebastes capensis,NA,NA,in female (livebearers)
Sebastes melanops,NA,NA,in female (livebearers)
Rhinochimaera atlantica,NA,NA,on the bottom (demersal)
Hydrolagus waitei,NA,NA,on the bottom (demersal)
Salmo trutta,NA,NA,on the bottom (demersal)
Decapterus russelli,NA,NA,buoyant (pelagic)
Raja innominata,NA,NA,on the bottom (demersal)
Stolephorus tri,NA,NA,buoyant (pelagic)
Sphyraena acus,NA,NA,on the bottom (demersal)
Chaenocephalus aceratus,NA,105,on the bottom (demersal)
Chaenocephalus aceratus,NA,120,on the bottom (demersal)
Serranus vitta,NA,NA,
Genypterus maculatus,NA,NA,buoyant (pelagic)
Prionotus strigatus,NA,NA,buoyant (pelagic)
Micromesistius poutassou,0,4,buoyant (pelagic)
Micromesistius poutassou,0,11.5,buoyant (pelagic)
Raja georgiana,NA,NA,on the bottom (demersal)
Brotula armata,NA,NA,buoyant (pelagic)
Anchoviella delicatissima,NA,NA,buoyant (pelagic)
Belone leiuroides,NA,NA,on the bottom (demersal)
Raja bullisi,NA,NA,on the bottom (demersal)
Decapterus macarellus,NA,0.38,buoyant (pelagic)
Gobionotothen gibberifrons,NA,50,on the bottom (demersal)
Belone vulgaris,NA,35,on the bottom (demersal)
Scomber unicolor,NA,NA,buoyant (pelagic)
Stolephorus opercularis,NA,NA,buoyant (pelagic)
Mullus imberbis,NA,NA,in mouth (mouthbrooders)
Brotula jerdoni,NA,NA,buoyant (pelagic)
Raja ravidula,NA,NA,on the bottom (demersal)
Alosa tanaica,NA,NA,buoyant (pelagic)
Raja garricki,NA,NA,on the bottom (demersal)
Acanthocybium solandri,NA,NA,buoyant (pelagic)
Lepophidium brevibarbe,NA,NA,buoyant (pelagic)
Genypterus microstomus,NA,NA,buoyant (pelagic)
Belone lovii,NA,NA,on the bottom (demersal)
Acipenser sturio,NA,5,
Salmo pluvius,NA,NA,in sand or gravel
Mola rotunda,NA,NA,buoyant (pelagic)
Brama brama,NA,NA,buoyant (pelagic)
Neopagetopsis ionah,NA,NA,on the bottom (demersal)
Sebastes caenaematicus,NA,NA,in female (livebearers)
Mugil curema,NA,NA,buoyant (pelagic)
Scomber thynnus,28,3,buoyant (pelagic)
Tylosurus chorum,NA,NA,on the bottom (demersal)
Caranx trecae,NA,NA,buoyant (pelagic)
Callorhinchus milii,NA,NA,on the bottom (demersal)
Oncorhynchus gorbuscha,NA,NA,
Scomber maculatus,9,0.65,
Scomber maculatus,9,1.02,
Scomber maculatus,9,1.04,
Salmo tsuppitch,NA,NA,
Plectropomus leopardus,NA,1.07,buoyant (pelagic)
Raja clarkii,NA,NA,on the bottom (demersal)
Amblyraja hyperborea,NA,NA,in sand or gravel
Terapon timorensis,NA,NA,buoyant (pelagic)
Genypterus chilensis,NA,NA,buoyant (pelagic)
Bathyraja albomaculata,NA,NA,on the bottom (demersal)
Platycephalus indicus,NA,1,
Scomber djedaba,NA,NA,buoyant (pelagic)
Decapterus polyaspis,0,1.5,buoyant (pelagic)
Seriola bipinnulata,NA,NA,buoyant (pelagic)
Salmo schokur,NA,NA,
Rachycentron canadum,NA,NA,buoyant (pelagic)
Epinephelus coioides,NA,NA,buoyant (pelagic)
Hippocampus jayakari,NA,NA,in brood pouch
Raja radula,NA,NA,in sand or gravel
Trachinotus ovatus,NA,NA,buoyant (pelagic)
Caranx hippos,NA,NA,buoyant (pelagic)
Trematomus eulepidotus,NA,150,on the bottom (demersal)
Rajella eisenhardti,NA,NA,on the bottom (demersal)
Salvelinus fontinalis,NA,NA,
Cetengraulis edentulus,NA,NA,
Arius acutivelis,NA,NA,
Peprilus triacanthus,NA,3,buoyant (pelagic)
Atherina boyeri,NA,NA,fixed on plant or stone
Hemiramphus cuspidatus,NA,NA,buoyant (pelagic)
Arnoglossus laterna,NA,6,buoyant (pelagic)
Dipturus oxyrinchus,NA,NA,in sand or gravel
Trigla milvus,NA,7,buoyant (pelagic)
Trigla milvus,NA,5,buoyant (pelagic)
Belone latimana,NA,NA,on the bottom (demersal)
Rajella leopardus,NA,NA,in sand or gravel
Belone esocina,NA,NA,on the bottom (demersal)
Coregonus brevis,28,NA,on the bottom (demersal)
Stenodus leucichthys,NA,NA,on the bottom (demersal)
Osmerus eperlanus,NA,NA,on the bottom (demersal)
Clupea harengus,160,NA,on the bottom (demersal)
Trigla palmipes,NA,2.5,buoyant (pelagic)
Trigla palmipes,NA,3.71,buoyant (pelagic)
Trachurus symmetricus symmetricus,0,1.5,buoyant (pelagic)
Raja frerichsi,NA,NA,on the bottom (demersal)
Bathyraja maccaini,NA,NA,in sand or gravel
Acanthurus xanthurus,NA,NA,buoyant (pelagic)
Mugil forsteri,NA,NA,buoyant (pelagic)
Caesio gymnopterus,NA,NA,buoyant (pelagic)
Morone rufa,85,NA,
Albula glossodonta,NA,NA,buoyant (pelagic)
Kyphosus incisor,NA,NA,buoyant (pelagic)
Trematomus nicolai,NA,NA,on the bottom (demersal)
Trigla lucerna,NA,NA,buoyant (pelagic)
Harengula zeylanica,NA,NA,buoyant (pelagic)
Amblyraja taaf,NA,NA,on the bottom (demersal)
Salmo friderici,NA,NA,buoyant (pelagic)
Atlantoraja cyclophora,NA,NA,on the bottom (demersal)
Mugil troschellii,NA,0.96,
Sardinella fimbricata,NA,NA,
Pterothrissus belloci,NA,NA,buoyant (pelagic)
Raja leopardus,NA,NA,in sand or gravel
Tylosurus strongylurus,NA,NA,on the bottom (demersal)
Raja heemstrai,NA,NA,on the bottom (demersal)
Lactophrys tricornis,NA,2,buoyant (pelagic)
Terapon richardsoni,NA,0.5,buoyant (pelagic)
Chionodraco myersi,NA,NA,on the bottom (demersal)
Sebastes minor,NA,NA,in female (livebearers)
Pleuronichthys decurrens,NA,7,buoyant (pelagic)
Gerres oblongus,NA,NA,buoyant (pelagic)
Salmo pacificus,NA,21,in sand or gravel
Platichthys stellatus,NA,2.83,
Platichthys stellatus,NA,4.58,
Ammodytes hexapterus,NA,NA,on the bottom (demersal)
Hippocampus capensis,NA,NA,in brood pouch
Salmo rivularis,NA,17,fixed on plant or stone
Salmo rivularis,NA,14,fixed on plant or stone
Pagrus auratus,NA,NA,buoyant (pelagic)
Sebastes viviparus,NA,NA,
Anchoviella lucida,NA,NA,
Pagellus centrodontus,NA,NA,
Conodon nobilis,NA,NA,buoyant (pelagic)
Cypselurus hubbsi,NA,NA,fixed on plant or stone
Scatophagus argus,NA,0.92,buoyant (pelagic)
Acanthurus dussumieri,NA,NA,buoyant (pelagic)
Spicara maena,NA,NA,on the bottom (demersal)
Raja batis,NA,NA,in sand or gravel
Coregonus albula,28,NA,on the bottom (demersal)
Bathyraja macloviana,NA,NA,on the bottom (demersal)
Sebastes flavidus,NA,NA,in female (livebearers)
Hippoglossoides elassodon,NA,NA,buoyant (pelagic)
Scomberomorus tritor,NA,NA,buoyant (pelagic)
Thryssa hamiltonii,NA,NA,buoyant (pelagic)
Rioraja agassizii,NA,NA,on the bottom (demersal)
Scomber fasciatus,NA,NA,buoyant (pelagic)
Eutrigla gurnardus,NA,7,buoyant (pelagic)
Eutrigla gurnardus,NA,5,buoyant (pelagic)
Apogon trimaculatus,NA,NA,in mouth (mouthbrooders)
Lycodes vachonii,NA,NA,on the bottom (demersal)
Scomber vulgaris,40,6,buoyant (pelagic)
Scomber vulgaris,40,6,buoyant (pelagic)
Scomber vulgaris,40,2.06,buoyant (pelagic)
Scomber vulgaris,40,7.38,buoyant (pelagic)
Lutjanus scandens,NA,NA,buoyant (pelagic)
Encrasicholina punctifer,NA,NA,buoyant (pelagic)
Prionotus pileatus,NA,2.5,buoyant (pelagic)
Prionotus pileatus,NA,3.71,buoyant (pelagic)
Encrasicholina devisi,NA,NA,buoyant (pelagic)
Raja aleutica,NA,NA,in sand or gravel
Lutjanus virescens,NA,NA,on the bottom (demersal)
Salmo sikus,NA,NA,
Coregonus sardinella,NA,NA,in sand or gravel
Scomber sloanei,25,1.34,buoyant (pelagic)
Scomber sloanei,25,1.4,buoyant (pelagic)
Scomber sloanei,25,1.85,buoyant (pelagic)
Pseudobalistes flavimarginatus,NA,NA,in sand or gravel
Hippocampus reidi,NA,NA,in brood pouch
Thunnus sibi,NA,0.88,buoyant (pelagic)
Hippocampus kaupii,NA,NA,in brood pouch
Dicologlossa cuneata,NA,NA,buoyant (pelagic)
Coregonus lavaretus,19,NA,
Zoramia gilberti,NA,NA,in mouth (mouthbrooders)
Isurus oxyrinchus,NA,NA,in female (livebearers)
Genypterus capensis,NA,NA,buoyant (pelagic)
Myxine glutinosa,NA,NA,on the bottom (demersal)
Decapterus russellii,NA,NA,buoyant (pelagic)
Apogon exostigma,NA,NA,in mouth (mouthbrooders)
Pomadasys fulvomaculatus,NA,NA,buoyant (pelagic)
Raja acutispina,NA,NA,in sand or gravel
Umbrina cirrosa,NA,NA,buoyant (pelagic)
Sebastes moseri,NA,NA,in female (livebearers)
Lutjanus diacanthus,NA,0.67,
Lutjanus diacanthus,NA,0.73,
Lutjanus diacanthus,NA,0.79,
Lutjanus diacanthus,NA,0.85,
Lutjanus diacanthus,NA,1.08,
Salmo socialis,150,NA,in sand or gravel
Tylosurus leiurus,NA,NA,fixed on plant or stone
Bathyraja spinifera,NA,NA,on the bottom (demersal)
Oreochromis mossambicus,0,NA,in mouth (mouthbrooders)
Raja pullopunctata,NA,NA,on the bottom (demersal)
Belone tenuirostris,NA,NA,fixed on plant or stone
Pomadasys pacifici,NA,NA,buoyant (pelagic)
Eucinostomus havana,NA,NA,buoyant (pelagic)
Sebastes macdonaldi,NA,NA,in female (livebearers)
Caranx sanctaehelenae,NA,NA,buoyant (pelagic)
Seriola sparna,NA,2.08,
Bathylagus ochotensis,NA,NA,buoyant (pelagic)
Caesio pisang,NA,NA,buoyant (pelagic)
Bathyraja trachouros,NA,NA,in sand or gravel
Aphia minuta,NA,NA,on the bottom (demersal)
Apogon amboinensis,NA,NA,in mouth (mouthbrooders)
Oncorhynchus mykiss aguabonita,NA,NA,in sand or gravel
Centropomus aureus,NA,NA,in mouth (mouthbrooders)
Raja kincaidii,NA,NA,in sand or gravel
Ammodytes lanceolatus,NA,NA,on the bottom (demersal)
Cephalopholis fulvus,NA,NA,
Trachurus novaezelandiae,NA,NA,buoyant (pelagic)
Belone graii,NA,NA,on the bottom (demersal)
Bathyraja shuntovi,NA,NA,in sand or gravel
Trisopterus minutus,NA,NA,buoyant (pelagic)
Hippocampus bargibanti,NA,NA,in brood pouch
Sardinella longiceps,NA,NA,buoyant (pelagic)
Zebrasoma velifer,NA,NA,buoyant (pelagic)
Tautoga onitis,NA,1.81,buoyant (pelagic)
Raja rubus,NA,NA,in sand or gravel
Thunnus zacalles,25,1.34,buoyant (pelagic)
Thunnus zacalles,25,1.4,buoyant (pelagic)
Thunnus zacalles,25,1.85,buoyant (pelagic)
Sebastes fasciatus,NA,NA,in female (livebearers)
Raja flavirostris,NA,NA,on the bottom (demersal)
Alosa teres,0,1.5,buoyant (pelagic)
Alosa teres,0,2,buoyant (pelagic)
Alosa teres,0,2.08,buoyant (pelagic)
Alosa teres,0,5.62,buoyant (pelagic)
Sebastes alutus,NA,NA,in female (livebearers)
Bathyraja fedorovi,NA,NA,on the bottom (demersal)
Hippocampus multispinus,NA,NA,in brood pouch
