cell_id,suitable
18286,1
18292,1
18293,1
18295,1
18296,1
18300,1
18301,1
18306,1
18500,1
18610,1
18624,1
18626,1
18633,1
18634,1
18637,1
18643,1
18644,1
18647,1
18837,1
18949,1
18954,1
18955,1
18964,1
18977,1
18978,1
18980,1
18981,1
18982,1
18983,1
19179,1
19289,1
19291,1
19295,1
19296,1
19297,1
19298,1
19299,1
19321,1
19322,1
19324,1
19332,1
19528,1
19529,1
19535,1
19537,1
19645,1
19647,1
19648,1
19649,1
19650,1
19651,1
19660,1
19661,1
19662,1
19674,1
19682,1
19683,1
19687,1
19688,1
19697,1
19888,1
19889,1
19891,1
19972,1
19973,1
19974,1
19975,1
19976,1
20006,1
20008,1
20009,1
20010,1
20011,1
20031,1
20034,1
20036,1
20044,1
20046,1
20047,1
20048,1
20052,1
20253,1
20255,1
20259,1
20337,1
20339,1
20372,1
20373,1
20374,1
20375,1
20397,1
20398,1
20399,1
20401,1
20402,1
20411,1
20413,1
20414,1
20415,1
20416,1
20417,1
20421,1
20422,1
20437,1
20623,1
20624,1
20708,1
20710,1
20714,1
20744,1
20766,1
20767,1
20770,1
20779,1
20781,1
20782,1
20783,1
20784,1
20788,1
20803,1
20804,1
20990,1
21081,1
21110,1
21111,1
21112,1
21131,1
21137,1
21138,1
21150,1
21151,1
21152,1
21154,1
21156,1
21174,1
21360,1
21362,1
21450,1
21451,1
21479,1
21480,1
21481,1
21484,1
21486,1
21493,1
21510,1
21511,1
21513,1
21525,1
21528,1
21529,1
21530,1
21531,1
21532,1
21534,1
21548,1
21734,1
21736,1
21739,1
21857,1
21858,1
21859,1
21860,1
21861,1
21863,1
21899,1
21900,1
21901,1
21905,1
21906,1
21907,1
21908,1
21910,1
21926,1
22111,1
22113,1
22114,1
22235,1
22236,1
22237,1
22254,1
22255,1
22269,1
22270,1
22278,1
22279,1
22281,1
22282,1
22494,1
22495,1
22626,1
22629,1
22633,1
22649,1
22650,1
22651,1
22652,1
22655,1
22668,1
22697,1
22873,1
22876,1
22877,1
23030,1
23031,1
23032,1
23033,1
23044,1
23045,1
23046,1
23047,1
23048,1
23075,1
23076,1
23255,1
23256,1
23257,1
23406,1
23407,1
23420,1
23421,1
23422,1
23423,1
23443,1
23444,1
23456,1
23457,1
23458,1
23637,1
23638,1
23639,1
23640,1
23641,1
23642,1
23812,1
24023,1
24024,1
24025,1
24026,1
24027,1
24029,1
24031,1
24032,1
24033,1
24034,1
24160,1
24204,1
24420,1
24421,1
24422,1
24424,1
24425,1
24427,1
24608,1
24609,1
24616,1
24623,1
24813,1
24815,1
24819,1
24821,1
24822,1
24930,1
24987,1
24998,1
25021,1
25207,1
25209,1
25210,1
25323,1
25375,1
25392,1
25395,1
25597,1
25626,1
25758,1
26141,1
26518,1
27124,1
27125,1
27126,1
27127,1
27129,1
27497,1
27502,1
27503,1
27504,1
27505,1
27510,1
27874,1
27875,1
27876,1
27878,1
28030,1
28031,1
28258,1
28266,1
28267,1
28293,1
28416,1
28417,1
28424,1
28425,1
28691,1
28807,1
28815,1
28823,1
28825,1
29063,1
29071,1
29072,1
29092,1
29093,1
29094,1
29210,1
29212,1
29213,1
29214,1
29215,1
29217,1
29218,1
29225,1
29226,1
29227,1
29249,1
29468,1
29477,1
29478,1
29496,1
29497,1
29498,1
29499,1
29615,1
29616,1
29617,1
29618,1
29619,1
29620,1
29622,1
29627,1
29628,1
29882,1
29901,1
29902,1
29903,1
30019,1
30028,1
30029,1
30030,1
30035,1
30082,1
30311,1
30312,1
30313,1
30314,1
30315,1
30438,1
30439,1
30440,1
30445,1
30472,1
30498,1
30729,1
30731,1
30733,1
30734,1
30735,1
30736,1
30856,1
30858,1
30864,1
30868,1
30873,1
30890,1
30891,1
31115,1
31116,1
31121,1
31149,1
31150,1
31151,1
31154,1
31156,1
31276,1
31277,1
31278,1
31282,1
31283,1
31286,1
31293,1
31294,1
31311,1
31312,1
31537,1
31538,1
31553,1
31554,1
31571,1
31572,1
31573,1
31574,1
31575,1
31577,1
31697,1
31698,1
31699,1
31706,1
31713,1
31714,1
31715,1
31998,1
31999,1
32000,1
32003,1
32004,1
32123,1
32125,1
