cell_id,n_dives,n_spots,prop_dives,n_dives_extrap
9526,13,12,1.2821524380621745e-4,5421
9527,2,2,1.9725422124033453e-5,834
9528,5,4,4.9313555310083636e-5,2085
9749,1,1,9.862711062016726e-6,417
9750,29,18,2.8601862079848507e-4,12092
9751,42,4,4.142338646047025e-4,17513
9753,1,1,9.862711062016726e-6,417
9754,49,20,4.832728420388196e-4,20431
9770,15,5,1.479406659302509e-4,6255
9771,59,27,5.818999526589869e-4,24601
9772,7,6,6.90389774341171e-5,2919
9773,33,23,3.25469465046552e-4,13760
9774,356,100,0.003511125138077955,148441
9775,4,3,3.9450844248066906e-5,1668
9776,46,19,4.5368470885276944e-4,19181
9777,33,14,3.25469465046552e-4,13760
9998,1,1,9.862711062016726e-6,417
9999,7,4,6.90389774341171e-5,2919
10000,1,1,9.862711062016726e-6,417
10001,73,23,7.199779075272211e-4,30439
10009,6,6,5.9176266372100366e-5,2502
10016,328,166,0.0032349692283414866,136766
10017,16,14,1.5780337699226762e-4,6672
10018,21,11,2.0711693230235126e-4,8756
10019,13,10,1.2821524380621745e-4,5421
10020,206,62,0.002031718478775446,85896
10021,2,2,1.9725422124033453e-5,834
10022,10,3,9.862711062016727e-5,4170
10156,1,1,9.862711062016726e-6,417
10240,7,5,6.90389774341171e-5,2919
10241,10,5,9.862711062016727e-5,4170
10243,13,6,1.2821524380621745e-4,5421
10244,16,5,1.5780337699226762e-4,6672
10248,8,4,7.890168849613381e-5,3336
10253,4,4,3.9450844248066906e-5,1668
10254,5,5,4.9313555310083636e-5,2085
10255,18,18,1.7752879911630108e-4,7505
10256,3,3,2.9588133186050183e-5,1251
10264,6,6,5.9176266372100366e-5,2502
10265,32,29,3.1560675398453525e-4,13343
10266,74,70,7.298406185892378e-4,30856
10267,3,3,2.9588133186050183e-5,1251
10268,23,15,2.2684235442638472e-4,9590
10269,2,2,1.9725422124033453e-5,834
10270,1,1,9.862711062016726e-6,417
10271,20,16,1.9725422124033454e-4,8339
10272,8,5,7.890168849613381e-5,3336
10274,2,2,1.9725422124033453e-5,834
10279,2,1,1.9725422124033453e-5,834
10485,10,9,9.862711062016727e-5,4170
10486,6,4,5.9176266372100366e-5,2502
10494,2,2,1.9725422124033453e-5,834
10495,12,12,1.1835253274420073e-4,5004
10497,1,1,9.862711062016726e-6,417
10505,177,15,0.0017456998579769606,73803
10506,2,2,1.9725422124033453e-5,834
10507,1,1,9.862711062016726e-6,417
10516,35,22,3.451948871705854e-4,14594
10517,3,2,2.9588133186050183e-5,1251
10736,249,13,0.0024558150544421653,103825
10740,1,1,9.862711062016726e-6,417
10741,1,1,9.862711062016726e-6,417
10742,6,6,5.9176266372100366e-5,2502
10745,5,5,4.9313555310083636e-5,2085
10746,1,1,9.862711062016726e-6,417
10752,1,1,9.862711062016726e-6,417
10757,1,1,9.862711062016726e-6,417
10758,1,1,9.862711062016726e-6,417
